"","Sp.id","phos","temp","id","r.exp"
"97","Asterionella formosa",5,15,1,-0.013118197419835
"98","Asterionella formosa",5,15,1,-0.0368234102159912
"99","Asterionella formosa",5,15,1,-0.0532877671127111
"100","Asterionella formosa",5,15,1,-0.0358378230876209
"101","Asterionella formosa",5,20,1,-0.0817281638302634
"102","Asterionella formosa",5,20,1,0.13273979088182
"103","Asterionella formosa",5,20,1,0.0779856309942998
"104","Asterionella formosa",5,20,1,-0.0495108924452743
"105","Asterionella formosa",5,24,1,-0.0588040032223186
"106","Asterionella formosa",5,24,1,-0.0756731343545151
"107","Asterionella formosa",5,24,1,-0.153645740087218
"108","Asterionella formosa",5,24,1,-0.0725156285430171
"109","Asterionella formosa",5,28,1,-0.22411707466145
"110","Asterionella formosa",5,28,1,-0.213153108476288
"111","Asterionella formosa",5,28,1,-0.256663537316127
"112","Asterionella formosa",5,28,1,-0.291930143830643
"113","Asterionella formosa",5,32,1,-0.0463709688156187
"114","Asterionella formosa",5,32,1,-0.16781104240301
"115","Asterionella formosa",5,32,1,-0.177934386816759
"116","Asterionella formosa",5,32,1,-0.228021482694338
"117","Asterionella formosa",5,35,1,-0.348591155040408
"118","Asterionella formosa",5,35,1,-0.202777905877596
"119","Asterionella formosa",5,35,1,-0.217020379103077
"120","Asterionella formosa",5,35,1,-0.319969618605826
"121","Asterionella formosa",10,15,1,-0.00654264835317458
"122","Asterionella formosa",10,15,1,0.0357056817074292
"123","Asterionella formosa",10,15,1,0.0266435646215947
"124","Asterionella formosa",10,15,1,0.000544484108912628
"125","Asterionella formosa",10,20,1,-0.0155647855682923
"126","Asterionella formosa",10,20,1,0.142839052142346
"127","Asterionella formosa",10,20,1,-0.240031156929536
"128","Asterionella formosa",10,20,1,0.621543985713654
"129","Asterionella formosa",10,24,1,0.317793702926762
"130","Asterionella formosa",10,24,1,0.0686499291011692
"131","Asterionella formosa",10,24,1,0.0288878643643094
"132","Asterionella formosa",10,24,1,0.158163895302389
"133","Asterionella formosa",10,28,1,-0.253598779190434
"134","Asterionella formosa",10,28,1,-0.106732282813044
"135","Asterionella formosa",10,28,1,-0.253539225598231
"136","Asterionella formosa",10,28,1,-0.126724034809401
"137","Asterionella formosa",10,32,1,-0.192149759117325
"138","Asterionella formosa",10,32,1,-0.117013393629192
"139","Asterionella formosa",10,32,1,-0.231851473175392
"140","Asterionella formosa",10,32,1,-0.25306772529772
"141","Asterionella formosa",10,35,1,-0.092955626630304
"142","Asterionella formosa",10,35,1,-0.239647075281432
"143","Asterionella formosa",10,35,1,0.133681409877367
"144","Asterionella formosa",10,35,1,-0.331894315884694
"145","Asterionella formosa",35,15,1,0.410008236008061
"146","Asterionella formosa",35,15,1,0.474925133795907
"147","Asterionella formosa",35,15,1,0.454359714548488
"148","Asterionella formosa",35,15,1,0.478342648978655
"149","Asterionella formosa",35,20,1,0.506060812318562
"150","Asterionella formosa",35,20,1,0.636796147014313
"151","Asterionella formosa",35,20,1,0.504287065830684
"152","Asterionella formosa",35,20,1,0.506464820840387
"153","Asterionella formosa",35,24,1,0.555173685497295
"154","Asterionella formosa",35,24,1,0.530660591787447
"155","Asterionella formosa",35,24,1,0.50956041453401
"156","Asterionella formosa",35,24,1,0.409532916909112
"157","Asterionella formosa",35,28,1,-0.166294734696028
"158","Asterionella formosa",35,28,1,-0.375958092139511
"159","Asterionella formosa",35,28,1,-0.291629684508287
"160","Asterionella formosa",35,28,1,-0.111272293522623
"161","Asterionella formosa",35,32,1,-0.154407402609559
"162","Asterionella formosa",35,32,1,-0.207482890448547
"163","Asterionella formosa",35,32,1,-0.277875218423559
"164","Asterionella formosa",35,32,1,-0.0666096287489727
"165","Asterionella formosa",35,35,1,-0.116502647939168
"166","Asterionella formosa",35,35,1,-0.388130550234077
"167","Asterionella formosa",35,35,1,-0.307048462475434
"168","Asterionella formosa",35,35,1,-0.0958697125487463
"169","Asterionella formosa",50,15,1,0.456198667401105
"170","Asterionella formosa",50,15,1,0.55088221138068
"171","Asterionella formosa",50,15,1,0.522425432950863
