"","Sp.id","Sp.name","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"1",1,"Ankistrodesmus",0.183853416446964,0.172881941477622,0.0669650021117056,0.319825991766643,0,1.27558681031316,1.27399090251242,1.13773911982053,1.44275220861005,0,0.0146842009327816,0.00597610072790345,0.0260960565090443,0,28.4911480818585,25
"2",2,"Chlamydomonas",0.795309672863275,0.736160173036402,0.243248989572411,1.47833303822974,0,1.82395268977605,1.81904826972375,1.53921724552138,2.1316737497166,0,0.0427928351811784,0.0158879880481099,0.0799530536384386,0,28.3155935111546,30
"3",3,"Chlorella",0.87511752709596,0.781203956684175,0.246384847607894,1.68036909361237,0,2.22935256270837,2.22710272354854,1.89734945116656,2.58715527741415,0,0.037050240748141,0.0132089994038796,0.0732565551079116,0,32.3528206427893,35
"4",4,"Monoraphidium",0.481614426329271,0.418789107632347,0.0475508719875479,1.05040206359878,0,1.8199043857097,1.81197770679987,1.49820630269712,2.17510552137845,0,0.0245002085463569,0.00430953645227152,0.0582094126885615,0,33.5748876890843,35
"5",5,"Scenedesmus",2.00383878048482,1.55800870002539,0.0410554956248731,5.41836829153299,0,1.46112053659496,1.44365682799961,1.03529889366689,1.90116714722824,0,0.116616532004488,0.00248842200945772,0.336658144805143,0,NA,35
"6",6,"Raphidocelis",6.37771942938435,6.57026341294645,2.59259392317584,9.99990454620661,0,2.09731977625107,2.10871134522681,1.56209831989839,2.56948990689883,0,0.322313679966655,0.126274156842329,0.458584953459444,0,27.0922421218388,35
