"","Sp.id","Sp.name","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"1",1,"Asterionella formosa",4.17266641587271,3.20962866894057,0.481715391791229,10.1021691827433,0,0.635735251121349,0.631703385982341,0.522585252091434,0.76530817957801,0,0.604755775318081,0.152805421661524,1.73573918712832,0,9.08652925863604,32
"2",2,"Chlorella sp.",24.5290975826949,22.8830101148858,8.48279439073045,43.5547100572445,0,1.16469119833358,1.15974146204098,0.957830021643563,1.38838329711393,0,2.16110758060247,0.923626772086698,3.81005169735003,0,19.0465210927061,35
"3",3,"Coelastrum sp.",0.843717843308338,0.824370152457205,0.469554089921228,1.25472972129421,0,1.62575584220664,1.62516986581653,1.49265525944939,1.76103453612299,0,0.0540976623766045,0.0326258630447132,0.0802697117444754,0,26.9767881535169,28
"4",4,"Cyclotella pseudostelligera",5.10049974304337,2.75587371579413,0.0216908077039352,18.509455338981,0,0.772910864594262,0.766009180072952,0.523461505788829,1.03675725197775,0,0.421363970862779,0.0235561877172525,2.52016691230052,0,20.8576297755394,15
"5",5,"Eudorina elegans",1.17772324545162,1.00201462806843,0.110580482741203,2.710327088986,0,1.08918592078295,1.08785648927219,0.849788087457996,1.31111862201086,0,0.102828573230143,0.0151308263082726,0.259541271538677,0,27.2044995479317,35
"6",6,"Fistulifera saprophila",33.0044844605704,34.7174330494338,11.7614489056249,49.8915648901607,0,1.07516253501464,1.06937837323478,0.557420489862551,1.55212420900996,0,3.3763321017138,0.575107136621755,6.46919644502368,0,26.7449691034304,15
"7",7,"Fragilaria crotonensis",3.79206275553254,3.39318573925466,1.2785712717682,7.04128662384653,0,0.687862221653371,0.685209197928052,0.598724334852003,0.789222749069767,0,0.584419320587084,0.253500947164719,1.14584409214876,0,9.00325960804084,35
"8",8,"Lagerheimia subsalsa",0.19716960597623,0.186577257651487,0.0125140201242319,0.384098945252186,0,1.33573937348379,1.33443211827086,1.20014796746983,1.45578365183028,0,0.0150048443133075,0.00174368662990284,0.0304953034382583,0,28.442627197702,24
"9",9,"Messastrum gracile",0.436496257212302,0.404269323366122,0.109803119452898,0.814559450497964,0,1.37459042413034,1.37285621192515,1.22275077640574,1.52569214535428,0,0.031740787525329,0.00961993911717616,0.0609788695487335,0,30.3438839181866,24
"10",10,"Microcystis aeruginosa",2.36978810934322,2.05702941147947,0.55916462667435,5.09781152776252,0,2.47564140699091,2.47290075155842,2.09281801302607,2.86586664804077,0,0.0866808275414188,0.0214595795557273,0.196723499751108,0,31.0257352555222,28
"11",11,"Microcystis viridis",2.61458072294966,2.60049215149325,2.04826898175776,3.21493500675618,0,2.24250864014148,2.24260021561968,2.13749560458516,2.33051147105793,0,0.121380471371331,0.0975433598551756,0.14643334831011,0,28.5067341458632,28
"12",12,"Nitzschia paela (C )",0.896266100628586,0.884870812515499,0.593245811184211,1.21857699135522,0,2.15667883965592,2.15525198946943,2.02374944257822,2.27661982672143,0,0.0430702474604872,0.0296619463234384,0.057408695169638,0,30.4083309898603,32
"13",13,"Nitzschia paela (G)",3.18398616733524,2.72742883883708,0.80985271701224,6.76154118556639,0,1.57641338110447,1.57178232044619,1.34793808714683,1.82195057816121,0,0.185948521581193,0.0617964049982865,0.421936795353117,0,27.8697981099887,24
"14",14,"Oocystis sp.",0.351488921852065,0.328502449728351,0.0624307880722484,0.695405318187797,0,0.753794976973901,0.752842813926853,0.667106707349756,0.839542708795154,0,0.0499546121187886,0.00997336832039541,0.0995278380205837,0,25.4536223971532,24
"15",15,"Pediastrum boryanum",0.789554609183411,0.780829058746479,0.513501851622608,1.07908478268019,0,1.78007396182435,1.78031183010187,1.67431539260595,1.87723530447746,0,0.0463565357737241,0.0311323708331407,0.0619481776174242,0,31.3781783701557,35
"16",16,"Planktothrix agardhii",25.3042658630894,24.5442040831389,4.74787952594809,49.7554101667439,0,0.164709539787428,0.162925808636819,0.0366385559667042,0.287319257238297,0,25.8497286749017,-326.909663448074,376.927050345643,0,17.8264108501358,24
"17",17,"Scenedesmus arcuatus var. Platydiscus",0.367671619848815,0.359640585642446,0.207612758824911,0.538904819056127,0,1.62612969832765,1.62693345343582,1.53191584507322,1.728332412205,0,0.0236340261741643,0.0135955635049722,0.0338517056407509,0,26.2250033882905,28
"18",18,"Scenedesmus armatus",0.461000959567414,0.441877313700822,0.145632013669599,0.800497461356402,0,1.12749102991253,1.12784915283046,1.01091918964296,1.24004338668844,0,0.0431109821653486,0.0160971535245016,0.0756259802574397,0,27.6066864512145,28
"19",19,"Synechococcus elongatus",44.7138822186538,46.140635649902,35.1440644052997,49.9996122635386,0,0.905255013274551,0.904784039066231,0.75392446639042,1.04997343374175,0,5.61372775432382,4.11776604612379,7.02379034050487,0,29.6946434171737,32
"20",20,"Tetraedron minumum",0.808395479131453,0.735937183960234,0.218995682757985,1.56558445580924,0,0.724756898373611,0.723724637963328,0.630149935167232,0.815138687121828,0,0.118471620765284,0.0405596708836718,0.237241993729547,0,24.2494368663412,35
