"","Sp.id","nit","temp","id","r.exp"
"115","Synechococcus",1000,25,"1.1",0.560866670539233
"116","Synechococcus",1000,25,"1.2",0.573248776927794
"117","Synechococcus",1000,30,"2.1",0.119831447862881
"118","Synechococcus",1000,30,"2.2",-0.029160806973481
"119","Synechococcus",1000,35,"2.1",NA
"120","Synechococcus",1000,35,"2.2",-0.125803480381223
"121","Kirchneriella_subcapitata",1,15,"2.1",-0.283672290232332
"122","Kirchneriella_subcapitata",1,15,"2.2",0.0873873521554936
"123","Kirchneriella_subcapitata",1,20,"1.1",0.222397118211936
"124","Kirchneriella_subcapitata",1,20,"1.2",0.323768941053696
"125","Kirchneriella_subcapitata",1,20,"2.4",0.519032482461557
"126","Kirchneriella_subcapitata",1,20,"2.3",0.665690975316968
"127","Kirchneriella_subcapitata",1,25,"1.1",0.326839884140039
"128","Kirchneriella_subcapitata",1,25,"1.2",0.569901518951274
"129","Kirchneriella_subcapitata",1,30,"2.1",0.639216322249259
"130","Kirchneriella_subcapitata",1,30,"2.2",0.403206827922149
"131","Kirchneriella_subcapitata",1,35,"2.1",0.0479677831056304
"132","Kirchneriella_subcapitata",1,35,"2.2",-0.193720416478899
"133","Kirchneriella_subcapitata",2,15,"2.1",-0.0692793887937016
"134","Kirchneriella_subcapitata",2,15,"2.2",0.29752915495913
"135","Kirchneriella_subcapitata",2,20,"1.1",0.454593070361509
"136","Kirchneriella_subcapitata",2,20,"1.2",0.511647286139632
"137","Kirchneriella_subcapitata",2,20,"2.4",0.728817367160887
"138","Kirchneriella_subcapitata",2,20,"2.3",0.695247634963061
"139","Kirchneriella_subcapitata",2,25,"1.1",0.351228248659961
"140","Kirchneriella_subcapitata",2,25,"1.2",0.326333528595406
"141","Kirchneriella_subcapitata",2,30,"2.1",0.495443833361364
"142","Kirchneriella_subcapitata",2,30,"2.2",0.258284845193776
"143","Kirchneriella_subcapitata",2,35,"2.1",-0.272926468378002
"144","Kirchneriella_subcapitata",2,35,"2.2",-0.181319993511601
"145","Kirchneriella_subcapitata",4,15,"2.1",-0.0482411873026193
"146","Kirchneriella_subcapitata",4,15,"2.2",-0.14839933435688
"147","Kirchneriella_subcapitata",4,20,"1.1",0.0957832222082379
"148","Kirchneriella_subcapitata",4,20,"1.2",0.174389773743975
"149","Kirchneriella_subcapitata",4,20,"2.4",0.455373172287491
"150","Kirchneriella_subcapitata",4,20,"2.3",0.350825094712874
"151","Kirchneriella_subcapitata",4,25,"1.1",0.196776948120466
"152","Kirchneriella_subcapitata",4,25,"1.2",0.176949334163331
"153","Kirchneriella_subcapitata",4,30,"2.1",0.532366976409337
"154","Kirchneriella_subcapitata",4,30,"2.2",0.397314603517221
"155","Kirchneriella_subcapitata",4,35,"2.1",0.0776349189811635
"156","Kirchneriella_subcapitata",4,35,"2.2",-0.013791359521484
"157","Kirchneriella_subcapitata",10,15,"2.1",-0.0857191913287101
"158","Kirchneriella_subcapitata",10,15,"2.2",0.395643546184806
"159","Kirchneriella_subcapitata",10,20,"1.1",0.23263536227336
"160","Kirchneriella_subcapitata",10,20,"1.2",0.30819788816783
"161","Kirchneriella_subcapitata",10,20,"2.4",0.517006318969904
"162","Kirchneriella_subcapitata",10,20,"2.3",0.53095576873878
"163","Kirchneriella_subcapitata",10,25,"1.1",0.275832633165929
"164","Kirchneriella_subcapitata",10,25,"1.2",0.179329687647644
"165","Kirchneriella_subcapitata",10,30,"2.1",0.101290786227837
"166","Kirchneriella_subcapitata",10,30,"2.2",-0.180449634722565
"167","Kirchneriella_subcapitata",10,35,"2.1",-0.0708306167285413
"168","Kirchneriella_subcapitata",10,35,"2.2",0.0633198563054501
"169","Kirchneriella_subcapitata",20,15,"2.1",-0.282369191240831
