"","Sp.id","Sp.name","Study","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"1",62,"Thalassiosira allenii",1,4.24618477861192,2.17670612659599,0.0105656066835257,12.9965683683421,0,1.10866372316498,1.08515207290091,0.944079647648654,1.34761237205909,0,0.22057962319808,0.00117110114303244,1.09158982598748,0,NA,11
"2",5,"Ceratium furca",2,67.4297936433508,72.5779652104958,18.4781802773741,99.9928169813478,0,0.617324298952508,0.618343430733337,0.24831062484921,0.903923997684403,0,13.4983767547505,0.885277054506924,23.6783263914721,0,25.6008514393868,24
"3",6,"Ceratium fusus",2,81.2494982457002,87.4821433055094,41.6181844766454,99.9940360186535,0,0.70233006770705,0.718048659403383,0.514608563470389,0.827160159425856,0,14.0567847832664,7.31937751422966,17.0937640988771,0,26.8407356861971,26
"4",32,"Micractinium pusillum",3,30.823384470935,27.5129351791257,9.50546584541678,61.4749759489997,0,0.646962980121809,0.633620515833509,0.50611823527933,0.846385159330176,0,5.17248106975248,2.68200032678246,8.93732469141351,0,33.8353864300286,35
"5",10,"Chroococcus minutus",4,32.3508219746381,25.4332750340058,8.85375864659319,81.4413401225545,0,1.65419841853603,1.57048770183771,1.12757682878572,2.40224984373261,0,1.73779611380331,0.755332715267852,3.80908520799901,0,29.135557975056,30
"6",33,"Microcystis flos-aquae",4,45.6387663282395,40.0252106105441,10.6466180938376,93.9228117334064,0,2.21840539810915,2.14979466207582,1.29465560149786,3.26300474675803,0,1.93254653256282,0.598491633134923,3.73711839626283,0,NA,35
"7",47,"Planktothrix agardhii",4,24.1187496651002,14.9060919819196,2.80287467925698,79.8691347819968,0,2.16051812307771,2.00012863830328,1.40923332714949,3.54083476105893,0,0.780573772576243,0.241887597193516,2.78263294528741,0,31.4452514473353,30
"8",12,"Coelastrum microporum f. astroidea",5,80.2657511212621,85.103000035907,45.7397128472292,99.9959578643212,0,1.62812045811612,1.64603253294639,1.0454239360192,2.17728729528933,0,5.32113946485726,2.91602893461545,7.36288908703377,0,NA,35
"9",17,"Cosmarium subprotumidum",5,87.9238167618167,91.221211798391,63.9653122999454,99.9980067296552,0,1.09963780285167,1.11276051926731,0.889993306412546,1.25079294868679,0,8.89218755899964,6.76754683683661,10.2692104808633,0,NA,35
"10",54,"Selenastrum minutum",5,81.2653858347303,85.9284333583659,46.8704715590259,99.9957333983224,0,1.71360794002719,1.73765478087285,1.11445830897378,2.16449233544387,0,5.11627640236115,3.20568221572761,7.21866664965667,0,NA,35
"11",4,"Asterionella formosa",6,41.34956973315,38.8475109515644,20.1786934431887,69.1295968318069,0,1.24143726447351,1.22202914563368,0.982486278684145,1.54028063823136,0,3.45501528136681,2.36778317561435,5.06437878126424,0,NA,21
"12",2,"Anabaena cylindrica",7,5.31530758637928,4.83136009920957,1.12903043451525,9.54549710582737,0,0.606142221706623,0.602659244027723,0.544418140862911,0.66797527375281,0,0.961454065905041,0.308299220237756,1.81189149329635,0,30.7853491599423,29
"13",13,"Coelastrum microporum",7,52.8832161112785,50.0366318148233,25.0295137665571,91.2803109793311,0,2.21748915358635,2.19577901447131,1.80192005254417,2.6986706387734,0,2.39987780991586,1.42124891521239,3.72535815900226,0,NA,32
"14",23,"Dictyosphaerium pulchellum",7,42.7959666514858,38.9638066120671,13.5160764033225,87.4477959901489,0,1.61138461829728,1.57887463988679,1.19885730088511,2.10748252867143,0,2.62217443764282,1.23641196437516,4.69879440993168,0,NA,32
"15",26,"Fragilaria bidens",7,21.3927783488753,20.1398558443141,9.44972994345204,35.3404540825724,0,1.00017166737448,0.992931425677718,0.874554604905985,1.14920662845451,0,2.25778629811064,1.29032101092159,3.5495829277753,0,23.2557537399929,20
"16",36,"Monoraphidium minutum",7,85.1417956925588,89.8648548456872,55.6305292937058,99.9964709439182,0,1.95175575030319,1.97804388509468,1.60656440830408,2.24886031180791,0,4.69995298694725,3.36493259017261,5.55619105815426,0,NA,30
"17",43,"Pediastrum boryanum",7,49.557349212186,46.9274301721543,24.450072631894,83.0374983227963,0,1.37704619115714,1.36213510973744,1.1501064912643,1.65383538922551,0,3.73502298659099,2.42230120508693,5.58204884570972,0,NA,32
"18",52,"Scenedesmus crassus",7,61.7857562433633,61.2830689292978,29.9677397749278,99.7563872189758,0,1.99910117317504,1.99774566241598,1.59005586439109,2.4351405220929,0,3.22271653754041,1.74248281669043,4.53141179051869,0,NA,32
"19",53,"Scenedesmus quadricauda",7,58.9157477939909,57.8129526799701,28.352292130327,99.3421934272015,0,1.96462292023742,1.95113326824569,1.56893554566096,2.4632205713966,0,3.1076075783158,1.60649382459183,4.50613927108959,0,NA,32
"20",9,"Chlorella vulgaris",8,28.1221275096354,23.6845465835015,6.12771436294637,66.8397621148272,0,1.2785442123342,1.24429776304151,0.955082577462753,1.68301743973658,0,2.08040639306033,0.772596578236075,4.51615371409723,0,NA,30
"21",29,"Fragilaria crotonensis",8,39.1812732259668,38.5807005393585,26.080796172418,53.0971435631161,0,0.692170955021979,0.689270369202464,0.62690146117489,0.760419156602033,0,6.54644198546898,5.1307947257568,8.36429249905775,0,26.5517877871044,25
"22",56,"Staurastrum pingue",8,83.4821252973741,87.2601667449337,54.826757226014,99.984565212759,0,0.980500648769406,0.991185650455919,0.752317420929443,1.145192681045,0,9.61222301121874,6.69413374488427,11.5202391554016,0,27.0883541767072,25
"23",58,"Synechocystis minima",8,52.7077343297476,50.8900812452605,15.2125121492193,99.4652296320406,0,2.14006328553423,2.08548595526495,1.11057366239555,3.29770404964557,0,2.48815971670906,0.901686943094014,3.81163428988317,0,NA,35
"24",1,"Acutodesmus obliquus",9,30.4222108183586,24.5279507144587,3.17900909325111,74.9573447044543,0,2.03708210138255,1.96749054715822,1.54000673024354,2.73599087306214,0,1.30328682203986,0.321959308895855,3.02009907529011,0,32.3330397405893,30
"25",45,"Phaeodactylum tricornutum",10,46.6337493486387,42.3076978252761,16.8435017914929,88.6584018140262,0,1.93532320752891,1.88783624424701,1.40238826469835,2.5995634567627,0,2.35668760256089,1.30434410456292,4.04511436638565,0,22.4914692963618,23
"26",8,"Chaetoceros deflandrei",11,57.6567181600015,59.0929199307123,13.7309117558979,99.600273743518,0,0.685360982873264,0.677855382458851,0.327944604653561,1.00692459564281,0,9.89557034553518,0.13170725498374,15.9563654580417,0,13.9030675144682,5
"27",14,"Corethron criophilum",11,39.4966316204522,34.1227505164998,4.18403341353285,90.4685568691922,0,0.219989405609992,0.212420811878853,0.144341367308403,0.311029412573923,0,29.5581948914139,5.27489169080849,60.5964614953805,0,2.48309764082516,4
"28",38,"Nitzschia cylindrus",11,65.7036164440732,69.2411573564279,20.7054295772843,99.9640278680976,0,0.571627964999311,0.575573523300481,0.329158940233943,0.795144532592007,0,14.1280553196471,2.9252639559146,22.3589649647255,0,7.15865637388028,5
"29",39,"Nitzschia kerguelensis",11,35.5244068653132,30.7599508709538,10.3168140922588,84.1676315974343,0,0.622656980872899,0.604800717046671,0.496782109574238,0.869738168847691,0,6.05037744029974,2.51362063169421,12.3599303657648,0,3.7001762274197,4
"30",40,"Nitzschia turgiduloides",11,36.4486633158794,30.952979769333,4.77794047782132,86.3505447710858,0,0.564528492148033,0.545703576600519,0.393394174132115,0.78126473298285,0,6.93763087763923,2.08688185363585,14.8394897702493,0,4.79169610169937,3
"31",57,"Stellarima microtrias",11,46.3676879231664,43.7350549237261,20.2624633546055,84.1447875690286,0,0.709736886945528,0.700699076953377,0.583552693611213,0.890671026774827,0,7.26845377575713,4.50007525880525,11.5190183079213,0,NA,4
"32",59,"Synedra sp.",11,37.0205740055214,30.4755875854125,0.900248137340906,85.6739565416281,0,0.474899052747495,0.45393226826155,0.300007207672695,0.676823377774231,0,8.44257297878571,0.709674386870486,18.834603411808,0,NA,5
"33",28,"Fragilaria crotonensis",12,23.6226886317454,23.2514346392909,17.890240720456,30.092940254989,0,0.599996398499701,0.598746266295745,0.570357523310765,0.624417472713923,0,4.66652893813868,3.69541137469405,5.70444505328315,0,NA,23
"34",60,"Synura sphagnicola",13,78.9611512034173,83.5030902049279,42.6728016000201,99.9842681931289,0,1.04200942098413,1.06007265755582,0.613261536658165,1.38639767858083,0,8.39495200794182,5.15486574556129,11.4594645126031,0,16.5355407270992,15
"35",30,"Isochrysis galbana",14,19.964864031525,9.91586570880843,0.019547762235336,75.819672932809,0,2.91767597307137,2.75010720318307,1.83860310148616,4.71247848650129,0,0.371992604492364,0.00123325593745318,2.18103202657028,0,NA,25
"36",51,"Rhodomonas salina",14,22.5418888424657,10.4223895856652,0.0773977722680611,82.9803512448583,0,1.97211242780378,1.76125115933602,1.06456567929027,3.57997176627449,0,0.623744687252186,0.00646759052761487,3.21898867809862,0,NA,25
"37",21,"Dactyliosolen fragilissimus",15,34.7123266135898,25.0152427948261,9.15399265112825e-06,92.1767842053526,0,1.19493647175521,1.01616836127418,0.161690837381052,2.43547963372317,0,2.30059265233372,1.2480592884573e-06,10.4969594500697,0,23.8764341636687,18
"38",50,"Rhizosolenia fragilissima",15,31.865268408126,20.2313879039424,0.00148971265605048,90.9046348561838,0,1.14352348611016,0.978461792790129,0.281145166639664,2.31199003448997,0,1.996285674732,0.000201923885143102,10.1874386112893,0,NA,18
"39",25,"Fragilaria barbararum",30,11.9146305054574,3.36507948180354,0.520907567771771,57.8847660114956,0,1.59737187919611,1.14825141626766,0.809948091663115,4.25505858959403,0,0.322871544580402,0.0655091971500636,1.57815925415839,0,NA,15
"40",27,"Fragilaria cf. striatula",30,9.92669921597248,2.89405365968475,0.148522664809772,48.1839706932157,0,1.87710815636871,1.46290940778509,1.13636022018504,4.4591070157337,0,0.212601588895552,0.0434830826219104,1.30496380488536,0,NA,15
"41",24,"Eucampia zodiacus",16,83.416367773481,85.3493911221632,60.1946132028749,99.988790303201,0,3.33404872901037,3.36036571326783,2.82893802093077,3.79309978165867,0,2.60664446158732,2.01248991306288,3.0234802408239,0,NA,25
"42",15,"Coscinodiscus granii",17,69.626041715334,68.8466321137433,46.0926884051496,97.927324309289,0,1.60770897072854,1.60579447843546,1.3678660083018,1.86340127998243,0,4.57817371962968,3.40591995823719,5.77938581089454,0,NA,20
"43",16,"Coscinodiscus wailesii",17,91.5245029058458,93.9012523771133,75.6044883214686,99.9983388059267,0,1.56505327131935,1.57591989433315,1.40383711775935,1.71106521716972,0,6.30281140131021,5.35844715280729,6.91353872104172,0,NA,20
"44",18,"Cryptomonas sp. 1",18,75.054539047895,74.8124002401058,54.7202679396771,99.9996988766312,0,0.737552612567554,0.737462667317808,0.649389188728766,0.839833402889574,0,11.7377641763987,9.45352224777343,14.0323672992855,0,19.9904517794329,21
"45",19,"Cryptomonas sp. 2",18,82.2180263114556,85.029340270439,56.0780689857835,99.9934029801164,0,1.42444680306857,1.43815847704832,1.15671067052684,1.67548107761877,0,6.26189905442377,4.71014113494189,7.44482543432035,0,NA,25
"46",63,"Thalassiosira curviseriata",19,37.6612877372739,29.757400342468,6.15249770636741,92.7709469169081,0,2.06297585616307,1.90882836786678,1.27977323398445,3.35450636558909,0,1.62632233154786,0.419618924189224,3.28559871776215,0,NA,20
