,Species,dataset,r.max,T.br,Sp.name
29,Oocystella mongolica,"Edwards et al., 2016",0.225847793,30.69227163,Oocystella mongolica
30,Pseudodidymocystis planctonica,"Edwards et al., 2016",0.479374162,19.15244268,Pseudodidymocystis planctonica
31,Chaetoceros calcitrans,"Edwards et al., 2016",1.369883701,13.11163212,Chaetoceros calcitrans
32,Cylindrotheca closterium,"Edwards et al., 2016",0.526107008,21.13290207,Cylindrotheca closterium
33,Diacronema lutheri,"Edwards et al., 2016",0.406782715,14.52619007,Diacronema lutheri
34,Tetraselmis sp.,"Edwards et al., 2016",0.485343208,24.47728083,NA
35,Synechococcus,"Lewington-Pearce et al., 2019",0.781939942,19.81098525,NA
36,Kirchneriella_subcapitata,"Lewington-Pearce et al., 2019",0.681405211,17.28539179,Kirchneriella subcapitata
37,Microcystis_aeruginosa,"Lewington-Pearce et al., 2019",0.400063288,14.21239388,Microcystis aeruginosa
38,Pediastrum_boryanum,"Lewington-Pearce et al., 2019",0.637787357,18.6093939,Pediastrum boryanum
39,Cyclotella_meneghiniana,"Lewington-Pearce et al., 2019",0.833159706,12.23641581,Cyclotella meneghiniana
40,Scenedesmus_acuminatus,"Lewington-Pearce et al., 2019",0.76367789,18.20017868,Scenedesmus acuminatus
41,Asterionella formosa,"Levasseur et al., 2025",0.800955946,27.97290169,Asterionella formosa
42,Chlorella sp.,"Levasseur et al., 2025",0.994814569,32.28380508,NA
43,Coelastrum sp.,"Levasseur et al., 2025",1.185299808,15.4449362,NA
44,Cyclotella pseudostelligera,"Levasseur et al., 2025",0.756801207,26.657758,Cyclotella pseudostelligera
45,Eudorina elegans,"Levasseur et al., 2025",0.991466804,17.79832884,Eudorina elegans
46,Fistulifera saprophila,"Levasseur et al., 2025",1.004451622,18.98654625,Fistulifera saprophila
47,Fragilaria crotonensis,"Levasseur et al., 2025",0.724471063,27.77566175,Fragilaria crotonensis
48,Lagerheimia subsalsa,"Levasseur et al., 2025",1.31691149,15.25660621,Lagerheimia subsalsa
49,Messastrum gracile,"Levasseur et al., 2025",1.63089956,16.65871154,Messastrum gracile
50,Microcystis aeruginosa,"Levasseur et al., 2025",1.734295979,14.23441016,Microcystis aeruginosa
51,Microcystis viridis,"Levasseur et al., 2025",1.252639252,16.14126865,Microcystis viridis
52,Nitzschia paela (C ),"Levasseur et al., 2025",1.965785001,19.03457318,Nitzschia paela
53,Nitzschia paela (G),"Levasseur et al., 2025",1.648954516,18.3774089,Nitzschia paela
54,Oocystis sp.,"Levasseur et al., 2025",0.791666391,17.13928163,NA
55,Pediastrum boryanum,"Levasseur et al., 2025",1.574701854,17.23564041,Pediastrum boryanum
56,Planktothrix agardhii,"Levasseur et al., 2025",0.161023645,19.44387,Planktothrix agardhii
57,Scenedesmus arcuatus var. Platydiscus,"Levasseur et al., 2025",1.272289785,15.60634025,Scenedesmus arcuatus
58,Scenedesmus armatus,"Levasseur et al., 2025",1.233128952,17.49296766,Scenedesmus armatus
59,Synechococcus elongatus,"Levasseur et al., 2025",1.513324793,14.34660175,Synechococcus elongatus
60,Tetraedron minumum,"Levasseur et al., 2025",0.521763431,17.86496101,Tetraedron minumum
61,Akashiwo sanguinea,"Thomas et al., 2012",0.286615473,13.18753627,Akashiwo sanguinea
62,Alexandrium fundyense strain BoF,"Thomas et al., 2012",0.226824664,15.02990003,Alexandrium fundyense
63,Alexandrium fundyense strain MI,"Thomas et al., 2012",0.389357577,13.59682641,Alexandrium fundyense
64,Alexandrium ostenfeldii clone LF-37,"Thomas et al., 2012",0.208962865,11.22997385,Alexandrium ostenfeldii
65,Alexandrium tamarense clone GTMP,"Thomas et al., 2012",0.309497761,15.03840903,Alexandrium tamarense
66,Amphiprora sp.,"Thomas et al., 2012",0.855936625,12.79301682,NA
67,Asterionellopsis glacialis,"Thomas et al., 2012",1.816071102,15.59164295,Asterionellopsis glacialis
68,Asterionellopsis glacialis,"Thomas et al., 2012",1.008254115,25.51665077,Asterionellopsis glacialis
69,Asterionellopsis glacialis,"Thomas et al., 2012",2.233002677,17.52429875,Asterionellopsis glacialis
70,Calcidiscus leptoporus strain N482-1,"Thomas et al., 2012",0.476528321,11.97259,Calcidiscus leptoporus
