"population","rep.ID","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"25","25.B02",8.13613460800096,3.02199281538015,11.3333834827909,0.0015,40.2146903539067,39.889891795737,40.5546646640843,0.000166666666666667,32.6212305184441,32.1951346405738,33.7825876716223,4.34983321289065,3.9102321800256,4.78716721035976,20.9298522477196,19.589498651203,22.6960366664424,5e-04,38.4521675078645,38.1935233607884,38.9648690867402,0.000166666666666667,0.0707945144130867,-1.72629349428123,41.1937749729072,5.60440196121814,0.0692886855109043,-1.67844892019552,41.1562857744446,5.36779969668851
"6","6.C02",4.79422446046498,-10.3566326180947,14.6790961415557,0.0065,40.1583288835643,39.6355901968376,41.324640040888,0,35.0573108290145,32.3195936785843,38.2804329398699,4.30423888735437,2.82667259981167,5.61061368920709,23.421826420207,18.0326015099851,28.0177163322049,0.000833333333333333,39.1854430135057,38.1576952671835,39.9349366445436,0,0.0524055836731266,-1.28350635577256,40.6113187438861,2.34915080937941,0.0534758281303353,-1.31261299563861,40.7782900545881,2.63544227979649
"24","24.D02",5.42133721163202,2.72111281758797,8.26150724774739,0.000166666666666667,40.4508673212973,40.2816205099788,40.6542768448077,0,33.9116442650492,33.0679787167739,34.5971179937462,4.01171063491851,3.7958849235648,4.21311596277776,21.8093371093336,20.6848124828987,22.6461149914383,0,39.0050381221021,38.7894538323226,39.2067501432323,0,0.0562423038100287,-1.35595685037903,41.1294737387871,3.60832826917987,0.0564682370937302,-1.35912466448045,41.150202766081,3.66468263568176
"1","1.E02",6.8400827695283,-1.62922149296268,15.3576603892766,0.00633333333333333,40.1887483230388,39.7357084129867,41.1750584806621,0.000166666666666667,34.7665605656414,32.1706211046463,37.5882823533501,3.91037393157809,2.81052212613615,5.00581109710162,23.3365742685269,19.1001745026634,27.4975916633558,0.00133333333333333,39.0822281963356,38.2742975061492,39.8483051773284,0.000166666666666667,0.0521805045295136,-1.4282070741487,40.769924843167,2.62871804292846,0.0529432726609706,-1.43940184204494,40.8762529522956,2.83129796248217
"25","25.F02",6.33294333160738,-6.80738563242385,13.9640241654717,0.00566666666666667,40.100021001046,39.5001034100555,41.0194012447453,0,33.7621960526308,31.827579663152,36.6382029490217,4.05979721652443,2.89956405425019,4.99940280652502,22.062744657029,17.8636746659867,26.3342502279587,0.001,38.7532944332056,37.9085992899464,39.7422402821343,0,0.0567346502264002,-1.42938921905995,40.7841256892634,3.53162895636057,0.0570601357058697,-1.42085352794077,40.8479628115456,3.57341705447815
"11","11.G02",5.07027343839689,-8.45050677827497,15.360762791796,0.0106666666666667,40.0682461743367,39.355050612964,41.1216228039074,0,35.0586444253498,32.1661025319218,38.4915576940878,4.17068654708185,2.85689819511556,5.65607315812361,23.4839753193895,18.1077150756591,28.2979255668032,0.00283333333333333,39.1048820185416,37.9583967106831,39.9315935255611,0,0.0517068474749145,-1.29607481000855,40.5099506905773,2.270055443113,0.0526777431941737,-1.32088354737548,40.6692845435462,2.57600925373382
"28","28.B02",7.59163401741752,-4.35171690164994,14.1859999238039,0.00383333333333333,40.268749409249,39.6584864173136,41.0470641487343,0,33.6998451045219,32.1963379309329,36.0183091038808,4.94937966417577,3.73186675585981,6.01461957428908,22.3173520893344,19.0063288531393,25.7094988176392,0.000666666666666667,38.8297866526935,38.2042429248511,39.7582663425768,0,0.0645140489442907,-1.62652726872379,40.9584096119598,4.0138119305125,0.0645033707088881,-1.59697270142554,40.9883251823368,3.98089033944517
"21","21.C02",5.84023409108211,-9.63562433610632,14.2256150140107,0.007,40.2271725978222,39.5440755596018,41.1451620297057,0.000166666666666667,33.052183484873,31.6965079915967,35.407754621259,4.76317903059359,3.6430017525575,5.81158406193378,21.0641505068237,17.4385565446653,24.5758387799658,5e-04,38.617525087276,37.853134808838,39.5841260997182,0.000166666666666667,0.0665960337630591,-1.4617418875307,40.9426109316224,4.74712723599127,0.0656860763187439,-1.41211737046268,40.9497825045583,4.5416125936099
"18","18.D02",5.4730094117257,-8.33267123209873,13.1788692498757,0.00583333333333333,41.0442164393007,40.1856603314427,42.0133349257781,0.000166666666666667,33.5258848656539,32.2543941380507,35.7325204555431,3.51487109015844,2.79565387974848,4.20347793942735,20.8442123794027,17.0052656853112,24.3330797128661,0.000666666666666667,39.3719860012747,38.6538322456114,40.310720263988,0.000166666666666667,0.0562067759768913,-1.35304280565526,41.9664695981775,4.70237023583984,0.055418515400571,-1.31364608561355,41.9310063217334,4.50301678532271
"26","26.E02",7.76999426092544,-7.98551273240659,15.764801229614,0.0095,39.9291207768273,39.1092085416425,41.0124269412446,0.000833333333333333,33.031751172007,31.2700676440477,35.9425180137131,3.80556293945049,2.55466097572135,4.82590708309167,21.4630871193027,16.6529833199292,25.5395698564265,0.00316666666666667,38.3950253300649,37.5636084571369,39.6949983139139,0.000833333333333333,0.0597470363794685,-1.58231386457298,40.8162588492443,4.3005667446885,0.0589149167375607,-1.53564957680781,40.8434334248585,4.1948613398509
