"","Sp.id","Sp.name","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"1",1,"Asterionella formosa",8.79566858691486,9.10147849595635,6.54880192971524,9.99929619716468,0,0.45004268264198,0.450703031931457,0.329267601576484,0.565664038107214,0,2.51460282253317,1.76513876154268,3.60590284957552,0,9.08652925863604,28
"2",2,"Chlorella sp.",7.99920842521788,8.36990544859819,4.90304846949791,9.99914255703294,0,1.14694084950177,1.14972569512771,0.926410435104646,1.36337263809974,0,0.77810739247869,0.496357070598034,1.0028604617613,0,19.0465210927061,20
"3",3,"Coelastrum sp.",0.00891876525673495,0.00816776174622163,0.00232594539199014,0.0177662784553777,0,1.07467035243818,1.07379668719898,0.985648605770762,1.17231839371942,0,0.000840329760097466,0.000247673190078566,0.00179690829700643,0,26.9767881535169,28
"4",4,"Cyclotella pseudostelligera",7.48205068320332,7.83208857361417,3.87879434802566,9.99765481538758,0,0.71102746078681,0.71111549259823,0.495146637495961,0.928623932456763,0,1.23305027970859,0.649165916906579,1.91623721992029,0,20.8576297755394,24
"5",5,"Eudorina elegans",8.08739451425835,8.50599785180973,4.75813784768756,9.99620750572794,0,0.8393221019685,0.842504568810704,0.606451257310362,1.05177622952182,0,1.10733295526598,0.677150605517588,1.57737141646313,0,27.2044995479317,35
"6",6,"Fistulifera saprophila",7.57737498709187,8.03724357761891,3.82903131164985,9.99975772889091,0,1.11134358848418,1.11517045055925,0.78364609290398,1.41576990797845,0,0.758088824132043,0.369864112211324,1.09531005439848,0,26.7449691034304,20
"7",7,"Fragilaria crotonensis",8.60550782478497,8.96346851602242,6.00846134968432,9.99885732105597,0,0.56153490735235,0.561911211302185,0.414122584499652,0.703086444856224,0,1.87592391830419,1.20091220572755,2.56779033146197,0,9.00325960804084,20
"8",8,"Lagerheimia subsalsa",2.57240505583121,0.91630440335679,0.000988546351575076,8.60023800161663,0,1.00778501331679,0.934963592773989,0.64714324048405,1.46385989300591,0,0.108496878337472,0.000173154525322745,0.689438992461968,0,28.442627197702,28
"9",9,"Messastrum gracile",8.93051590629035,9.13548431748326,7.15650029754032,9.99983649689845,0,1.56047180790038,1.56589855278846,1.37796618659718,1.74626164576833,0,0.616979225724188,0.499757358201282,0.717962695456987,0,30.3438839181866,32
"10",10,"Microcystis aeruginosa",7.16940923504506,7.66754926017058,2.93436162959874,9.99917157441194,0,0.325726925574462,0.32653657467281,0.218920179850557,0.431709499185668,0,3.18450234297668,1.1640450251974,5.36365907519752,0,31.0257352555222,32
"11",11,"Microcystis viridis",9.33335234366609,9.51055214673432,8.07016498346507,9.99946332435677,0,0.660304653726869,0.660327689131698,0.593835787702634,0.729577954280422,0,1.67259794722156,1.42527230741218,1.90186368055564,0,28.5067341458632,35
"12",12,"Nitzschia paela (C )",4.42221132344883,4.15958218274767,1.09363483166908,8.55001032445071,0,2.06075846879613,2.05444068172454,1.63103316171343,2.54116608602274,0,0.210647111586779,0.0720758248649745,0.378516335228006,0,30.4083309898603,32
"13",13,"Nitzschia paela (G)",2.58752438533396,1.41590052920482,0.010351673121551,8.41746078579632,0,1.26555026425284,1.22395166516937,0.847139109866338,1.79414122687212,0,0.126305399822877,0.00126382401116482,0.53679406082261,0,27.8697981099887,35
"14",14,"Oocystis sp.",0.0210161659201727,0.0154554137568298,0.000668129053591608,0.0543855428663932,0,0.547063326627553,0.54555356700153,0.473881401614028,0.625279319408995,0,0.00344550546682426,0.000161604723630466,0.0114667466327074,0,25.4536223971532,28
"15",15,"Pediastrum boryanum",6.41445832118075,6.57959523391687,2.5237594171004,9.99834750132322,0,1.35515696006698,1.36206587993237,1.04082386087844,1.6627350088559,0,0.514773630281597,0.196708612168326,0.751604665702277,0,31.3781783701557,35
"16",16,"Planktothrix agardhii",4.53234844033955,4.41401978705004,0.0174075623697291,9.45769833825306,0,0.0734594593352046,0.07161287587512,0.0218516560012637,0.131504625988872,0,-8.22902874480744,-161.135352191893,203.000868553335,0,17.8264108501358,28
"17",17,"Scenedesmus arcuatus var. Platydiscus",3.90483831324234,3.57266336296383,0.0123269740740839,8.48200942662009,0,1.44453823580483,1.44861795733335,1.03051734680528,1.85451359405343,0,0.264288285175883,0.00175346516403525,0.521920305992952,0,26.2250033882905,28
"18",18,"Scenedesmus armatus",1.4881759588858,0.395069351878954,0.00229099357819014,7.49289544885671,0,0.864293165561112,0.823171920911152,0.588620755115433,1.25206990696532,0,0.0549930004182897,0.000467209196465787,0.662354935062773,0,27.6066864512145,28
"19",19,"Synechococcus elongatus",8.70383327968606,8.85517144961123,7.04408735154144,9.99749340626883,0,1.16169169283642,1.16449354644001,1.06805626131267,1.25124983402103,0,0.826201541848932,0.681283757991228,0.929254798972382,0,29.6946434171737,28
"20",20,"Tetraedron minumum",6.10957727212555,6.04726509614304,2.97052650929716,9.99853298885471,0,0.613565061159773,0.613564400257882,0.49074095207171,0.741134620989604,0,1.16723980786867,0.627937810855804,1.7794739726861,0,24.2494368663412,24
