curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
5,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,1,6,396,1.4165,NA,NA,
5,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,1,7,470,1.5681,NA,NA,
5,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,1,8,401,1.705,NA,NA,
5,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,1,9,363,1.8091,NA,NA,
5,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,1,10,338,1.7981,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,1,42,1.0586,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,2,55,1.0717,55,1.0717,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,3,91,1.0906,91,1.0906,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,4,152,1.149,152,1.149,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,5,239,1.1885,239,1.1885,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,6,309,1.2842,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,7,334,1.4012,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,8,298,1.5181,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,9,264,1.5898,NA,NA,
6,3,Microcystis_aeruginosa,Pomati,,nitrate,25,1000,140.6,1,2,10,268,1.6785,NA,NA,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,1,133,1.1671,133,1.1671,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,2,258,1.1367,258,1.1367,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,3,640,1.1536,640,1.1536,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,4,1252,1.1794,1252,1.1794,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,5,2157,1.2066,2157,1.2066,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,6,3266,1.2597,3266,1.2597,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,7,3887,1.2445,3887,1.2445,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,8,4499,1.2483,NA,NA,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,9,5807,1.317,NA,NA,
7,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,1,10,6834,1.3563,NA,NA,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,1,174,0.9587,174,0.9587,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,2,386,0.9895,386,0.9895,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,3,829,1.0108,829,1.0108,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,4,1222,1.0694,1222,1.0694,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,5,1867,1.0349,1867,1.0349,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,6,2763,1.0644,2763,1.0644,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,7,3916,1.1596,3916,1.1596,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,8,5205,1.2292,5205,1.2292,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,9,6668,1.2756,NA,NA,
8,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,1000,140.6,1,2,10,6742,1.4032,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,1,424,1.3445,424,1.3445,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,2,1219,1.3464,1219,1.3464,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,3,2250,1.4258,2250,1.4258,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,4,1710,1.4859,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,5,2258,1.4637,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,6,2159,1.468,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,7,2080,1.4532,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,8,2049,1.4555,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,9,1756,1.4604,NA,NA,
9,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,1,10,1581,1.4382,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,1,474,0.8728,474,0.8728,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,2,1392,0.9294,1392,0.9294,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,3,2529,1.0273,2529,1.0273,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,4,2495,1.1149,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,5,2834,1.0805,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,6,2797,1.0971,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,7,2718,1.1213,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,8,2584,1.1192,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,9,2196,1.1193,NA,NA,
10,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,1000,140.6,1,2,10,1812,1.169,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,1,225,0.9787,225,0.9787,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,2,885,1.1174,885,1.1174,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,3,2765,1.139,2765,1.139,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,4,5592,1.2295,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,5,9455,1.3447,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,6,13353,1.5209,NA,NA,
