"","Species","dataset","r.max","R","comp"
"64","Cyclotella_meneghiniana","Lewington-Pearce et al., 2019",1.23391539307458,4.86633813022813,0.205493324392796
"65","Scenedesmus_acuminatus","Lewington-Pearce et al., 2019",0.684586995563835,3.12383218872027,0.320119628580198
"66","Chlamydomonas_reinhardtii","Lewington-Pearce et al., 2019",1.08002935400008,1.75514519870845,0.569753431645351
"67","Asterionella formosa","Levasseur et al., 2025",0.761497590823568,2.25656498526358,0.443151429952368
"68","Chlorella sp.","Levasseur et al., 2025",1.18995076213137,0.600183448975063,1.66615724193612
"69","Coelastrum sp.","Levasseur et al., 2025",1.51972587325272,2.11545313496808,0.472711961078301
"70","Cyclotella pseudostelligera","Levasseur et al., 2025",1.01364142482448,0.556986464049943,1.79537576681636
"71","Eudorina elegans","Levasseur et al., 2025",1.19002346206855,3.09606714573943,0.322990411036829
"72","Fistulifera saprophila","Levasseur et al., 2025",1.17582615259609,5.47286808505651,0.182719551149144
"73","Fragilaria crotonensis","Levasseur et al., 2025",0.491195368745208,2.19717059654648,0.455130794837599
"74","Lagerheimia subsalsa","Levasseur et al., 2025",1.48144364564925,2.3002045122304,0.434743951975969
"75","Messastrum gracile","Levasseur et al., 2025",1.73068017738059,1.99412372893884,0.501473396804793
"76","Microcystis viridis","Levasseur et al., 2025",1.33062874816912,0.583910526143109,1.71259115091704
"77","Nitzschia paela (C )","Levasseur et al., 2025",2.35632960575789,1.35501528991309,0.737999052441792
"78","Nitzschia paela (G)","Levasseur et al., 2025",2.46610933472782,2.25756255858908,0.442955609887938
"79","Oocystis sp.","Levasseur et al., 2025",1.02626566658599,4.69236917269979,0.213111961824743
"80","Pediastrum boryanum","Levasseur et al., 2025",1.76188417330289,1.46395267159151,0.683082192071734
"81","Scenedesmus arcuatus var. Platydiscus","Levasseur et al., 2025",1.58732017945278,1.69792291013624,0.588954889547819
"82","Scenedesmus armatus","Levasseur et al., 2025",1.39806585914358,1.34462307732481,0.743702839006412
"83","Tetraedron minumum","Levasseur et al., 2025",0.613946154938856,4.30836152842327,0.232106798234727
"84","Actinastrum hantzschii ","Narwani et al., 2015",1.796146,0.937413,1.06676566252015
"85","Ankistrodesmus falcatus","Narwani et al., 2015",0.4703815,0.877619,1.1394466163563
"86","Arthrodesmus convergens","Narwani et al., 2015",0.255406,0.977597,1.02291639602004
"87","Botryococcus braunii","Narwani et al., 2015",0.3061119,0.802917,1.24545874604723
"88","Botryococcus sudeticus","Narwani et al., 2015",0.7588419,0.784562,1.27459652646955
"89","Chlamydocapsa ampla","Narwani et al., 2015",1.3801,1.62668,0.614749059433939
"90","Chlorella sorokiniana","Narwani et al., 2015",0.9982451,1.04369,0.958138910979314
"91","Chlorococcum aquaticum ","Narwani et al., 2015",1.22698,0.999712,1.00028808296789
"92","Coelastrum cambricum","Narwani et al., 2015",0.651015,0.649421,1.53983317447388
"93","Coelastrum microporum","Narwani et al., 2015",0.9071787,0.523071,1.91178635405136
"94","Coelastrum reticulatum","Narwani et al., 2015",1.169209,1.01025,0.989853996535511
"95","Cosmarium botrytis","Narwani et al., 2015",0.6185089,1.40967,0.709385884639667
"96","Cosmarium turpinii","Narwani et al., 2015",0.6884805,0.903932,1.10627790586018
"97","Crucigenia tetrapedia","Narwani et al., 2015",0.8763568,1.23398,0.810385905768327
"98","Dictyosphaerium ehrenbergianum","Narwani et al., 2015",1.183461,0.941612,1.06200855554092
"99","Elakatothrix viridis","Narwani et al., 2015",0.5076739,0.999903,1.00009700940991
"100","Gloeomonas kupfferi","Narwani et al., 2015",0.3395763,1.60962,0.621264646314037
"101","Monoraphidium minutum","Narwani et al., 2015",1.268607,0.748452,1.33609102520937
"102","Monoraphidium arcuatum","Narwani et al., 2015",1.038019,0.380897,2.62538166485953
"103","Oocystis parva","Narwani et al., 2015",0.7220038,1.56033,0.640890068126614
"104","Oocystis polymorpha ","Narwani et al., 2015",1.381854,0.477272,2.09524128798672
"105","Oocystis solitaria","Narwani et al., 2015",0.6964549,2.44251,0.409414905159037
"106","Pandorina charkowiensis","Narwani et al., 2015",0.7187422,1.53973,0.649464516506141
"107","Pediastrum boryanum","Narwani et al., 2015",0.6473504,0.489869,2.04136207843321
"108","Pediastrum duplex","Narwani et al., 2015",0.6738454,2.10924,0.474104416756747
"109","Pediastrum tetras","Narwani et al., 2015",0.8572004,0.811073,1.23293464336749
"110","Planktosphaeria botryoides","Narwani et al., 2015",1.584183,0.615952,1.62350313011403
"111","Quadrigula closterioides","Narwani et al., 2015",0.3985955,1.26388,0.791214355793272
"112","Radiococcus polycoccus","Narwani et al., 2015",0.7514775,1.21754,0.821328252049214
"113","Scenedesmus acuminatus","Narwani et al., 2015",1.082324,2.3041,0.434008940584176
"114","Selenastrum capricornutum","Narwani et al., 2015",1.214062,0.509584,1.96238500423875
"115","Sphaerocystis schroeteri","Narwani et al., 2015",0.5980179,1.051,0.951474785918173
"116","Spondylosium planum","Narwani et al., 2015",0.4304931,3.19772,0.312722815005692
"117","Staurastrum cingulum","Narwani et al., 2015",0.4849764,1.74027,0.574623477966063
"118","Staurastrum punctulatum","Narwani et al., 2015",0.7275168,1.20967,0.826671736919986
"119","Staurastrum tetracerum","Narwani et al., 2015",0.6708826,1.15508,0.86574090106313
"120","Tetraedron minutum","Narwani et al., 2015",0.6570455,1.63196,0.612760116669526
"121","Tetrastrum heteracantum","Narwani et al., 2015",0.5982583,1.12191,0.891337094775873
