"population","light","well.ID","µ"
"8",27.5,"D03_13",0
"25",27.5,"E03_13",0
"19",27.5,"F03_13",0
"33",27.5,"G03_13",0
"4",27.5,"B03_14",0
"9",27.5,"C03_14",0
"22",27.5,"D03_14",0
"28",27.5,"E03_14",0
"4",27.5,"F03_14",0
"9",27.5,"G03_14",0
"3",27.5,"B03_15",0
"30",27.5,"C03_15",0
"20",27.5,"D03_15",0
"30",27.5,"E03_15",0
"7",27.5,"F03_15",0
"19",50,"B03_16",0
"33",50,"C03_16",0
"8",50,"D03_16",0
"25",50,"E03_16",0
"19",50,"F03_16",0
"33",50,"G03_16",0
"19",82.5,"B03_19",0
"33",82.5,"C03_19",0
"8",82.5,"D03_19",0
"25",82.5,"E03_19",0
"19",82.5,"F03_19",0
"33",82.5,"G03_19",0
"4",0.25,"B03_2",0
"9",0.25,"C03_2",0
"22",0.25,"D03_2",0
"28",0.25,"E03_2",0
"4",0.25,"F03_2",0
"9",0.25,"G03_2",0
"19",125,"B03_22",0
"33",125,"C03_22",0
"8",125,"D03_22",0
"25",125,"E03_22",0
"19",125,"F03_22",0
"33",125,"G03_22",0
"19",175,"B03_25",0
"33",175,"C03_25",0
"8",175,"D03_25",0
"25",175,"E03_25",0
"19",175,"F03_25",0
"33",175,"G03_25",0
"19",250,"B03_28",0
"33",250,"C03_28",0
"8",250,"D03_28",0
"25",250,"E03_28",0
"19",250,"F03_28",0
"33",250,"G03_28",0
"3",0.25,"B03_3",0
"30",0.25,"C03_3",0
"20",0.25,"D03_3",0
"30",0.25,"E03_3",0
"7",0.25,"F03_3",0
"19",1.5,"B03_4",0
"33",1.5,"C03_4",0
"8",1.5,"D03_4",0
"25",1.5,"E03_4",0
"19",1.5,"F03_4",0
"33",1.5,"G03_4",0
"4",1.5,"B03_5",0
"9",1.5,"C03_5",0
"22",1.5,"D03_5",0
"28",1.5,"E03_5",0
"4",1.5,"F03_5",0
"9",1.5,"G03_5",0
"3",1.5,"B03_6",0
"30",1.5,"C03_6",0
"20",1.5,"D03_6",0
"30",1.5,"E03_6",0
"7",1.5,"F03_6",0
"19",5,"B03_7",0
"33",5,"C03_7",0
"8",5,"D03_7",0
"25",5,"E03_7",0
"19",5,"F03_7",0
"33",5,"G03_7",0
"4",5,"B03_8",0
"9",5,"C03_8",0
"22",5,"D03_8",0
"28",5,"E03_8",0
"4",5,"F03_8",0
"9",5,"G03_8",0
"3",5,"B03_9",0
"30",5,"C03_9",0
"20",5,"D03_9",0
"30",5,"E03_9",0
"7",5,"F03_9",0
"4",50,"B03_17",0
"9",50,"C03_17",0
"22",50,"D03_17",0
"28",50,"E03_17",0
"4",50,"F03_17",0
"9",50,"G03_17",0
"3",50,"B03_18",0
"30",50,"C03_18",0
"20",50,"D03_18",0
"30",50,"E03_18",0
"7",50,"F03_18",0
"4",82.5,"B03_20",0
"9",82.5,"C03_20",0
"22",82.5,"D03_20",0
"28",82.5,"E03_20",0
"4",82.5,"F03_20",0
"9",82.5,"G03_20",0
"3",82.5,"B03_21",0
"30",82.5,"C03_21",0
"20",82.5,"D03_21",0
"30",82.5,"E03_21",0
"7",82.5,"F03_21",0
"4",125,"B03_23",0
"9",125,"C03_23",0
"22",125,"D03_23",0
"28",125,"E03_23",0
"4",125,"F03_23",0
"9",125,"G03_23",0
"3",125,"B03_24",0
"30",125,"C03_24",0
"20",125,"D03_24",0
"30",125,"E03_24",0
"7",125,"F03_24",0
"4",175,"B03_26",0
"9",175,"C03_26",0
"22",175,"D03_26",0
"28",175,"E03_26",0
"4",175,"F03_26",0
"9",175,"G03_26",0
"3",175,"B03_27",0
"30",175,"C03_27",0
"20",175,"D03_27",0
"30",175,"E03_27",0
"7",175,"F03_27",0
"4",250,"B03_29",0
"9",250,"C03_29",0
"22",250,"D03_29",0
"28",250,"E03_29",0
"4",250,"F03_29",0
"9",250,"G03_29",0
"3",250,"B03_30",0
"30",250,"C03_30",0
"20",250,"D03_30",0
"30",250,"E03_30",0
"7",250,"F03_30",0
"14",0.25,"B04_1",0
"32",0.25,"C04_1",0
"19",0.25,"D04_1",0
"6",0.25,"F04_1",0
"14",12.5,"B04_10",0
"32",12.5,"C04_10",0
"19",12.5,"D04_10",0
"6",12.5,"F04_10",0
"31",12.5,"B04_11",0
"35",12.5,"C04_11",0
"4",12.5,"D04_11",0
"2",12.5,"E04_11",0
"21",12.5,"F04_11",0
"cc1690",12.5,"B04_12",0
"5",12.5,"C04_12",0
"anc4",12.5,"D04_12",0
"16",12.5,"E04_12",0
"29",12.5,"F04_12",0
"14",27.5,"B04_13",0
"32",27.5,"C04_13",0
"19",27.5,"D04_13",0
"6",27.5,"F04_13",0
"31",27.5,"B04_14",0
"35",27.5,"C04_14",0
"4",27.5,"D04_14",0
"2",27.5,"E04_14",0
"21",27.5,"F04_14",0
"cc1690",27.5,"B04_15",0
"5",27.5,"C04_15",0
"anc4",27.5,"D04_15",0
"16",27.5,"E04_15",0
"29",27.5,"F04_15",0
"14",50,"B04_16",0
"32",50,"C04_16",0
"19",50,"D04_16",0
"6",50,"F04_16",0
"14",82.5,"B04_19",0
"32",82.5,"C04_19",0
"19",82.5,"D04_19",0
"6",82.5,"F04_19",0
"31",0.25,"B04_2",0
"35",0.25,"C04_2",0
"4",0.25,"D04_2",0
"2",0.25,"E04_2",0
"21",0.25,"F04_2",0
"14",125,"B04_22",0
"32",125,"C04_22",0
"19",125,"D04_22",0
"6",125,"F04_22",0
"14",175,"B04_25",0
"32",175,"C04_25",0
"19",175,"D04_25",0
"6",175,"F04_25",0
"14",250,"B04_28",0
"32",250,"C04_28",0
"19",250,"D04_28",0
"6",250,"F04_28",0
"cc1690",0.25,"B04_3",0
"5",0.25,"C04_3",0
"anc4",0.25,"D04_3",0
"16",0.25,"E04_3",0
"29",0.25,"F04_3",0
"14",1.5,"B04_4",0
"32",1.5,"C04_4",0
"19",1.5,"D04_4",0
"6",1.5,"F04_4",0
"31",1.5,"B04_5",0
"35",1.5,"C04_5",0
"4",1.5,"D04_5",0
"2",1.5,"E04_5",0
"21",1.5,"F04_5",0
"cc1690",1.5,"B04_6",0
"5",1.5,"C04_6",0
"anc4",1.5,"D04_6",0
"16",1.5,"E04_6",0
"29",1.5,"F04_6",0
"14",5,"B04_7",0
"32",5,"C04_7",0
"19",5,"D04_7",0
"6",5,"F04_7",0
"31",5,"B04_8",0
"35",5,"C04_8",0
"4",5,"D04_8",0
"2",5,"E04_8",0
"21",5,"F04_8",0
"cc1690",5,"B04_9",0
"5",5,"C04_9",0
"anc4",5,"D04_9",0
"16",5,"E04_9",0
"29",5,"F04_9",0
"31",50,"B04_17",0
"35",50,"C04_17",0
"4",50,"D04_17",0
