trait.x,trait.y,P.pareto,P.evol
I.µ.max,I.comp,0.001,0.676
N.µ.max,N.comp,0.001,0.196
P.µ.max,P.comp,0.001,0.001
S.µ.max,S.c,0.008,0.001
T.µ.max,T.br,0.001,NA
N.comp,I.comp,0.515,0.0436
P.comp,I.comp,0.012,0.001
S.c,I.comp,0.451,0.001
T.br,I.comp,0.001,1
P.comp,N.comp,0.047,0.001
S.c,N.comp,0.001,0.001
T.br,N.comp,0.594,0.44
S.c,P.comp,0.043,0.001
T.br,P.comp,0.072,1
T.br,S.c,0.001,0.0015
