SpeciesName,SpeciesNb,Temperature_fact,Temperature_c,Phosphate_fact,Phosphate_c,Replicate,id_STR,LOG10N0,lag,LOG10Nmax,mu
Ankistrodesmus,1,T20,20,P40,40,1,1:20:01,2.309811647,0.349658219,5.578358244,0.76288714
Ankistrodesmus,1,T20,20,P40,40,2,1:20:02,2.082639683,0.260092122,3.890613031,0.850299358
Ankistrodesmus,1,T20,20,P40,40,3,1:20:03,2.301029996,1.21993264,3.852287718,0.904144386
Ankistrodesmus,1,T25,25,P0.01,0.01,1,1:25:01,2.610080712,0.840053588,3.093378779,0.077760659
Ankistrodesmus,1,T25,25,P0.01,0.01,2,1:25:02,2.650301249,6.975094061,2.897926871,0.281583
Ankistrodesmus,1,T25,25,P0.01,0.01,3,1:25:03,2.851261221,0.007177882,2.985651181,0.017198212
Ankistrodesmus,1,T25,25,P00.1,0.1,1,1:25:01,2.898444144,13.83627868,3.245811839,0.192098271
Ankistrodesmus,1,T25,25,P00.1,0.1,2,1:25:02,2.899217787,0,3.22417619,0.083138265
Ankistrodesmus,1,T25,25,P00.1,0.1,3,1:25:03,3,0.999999999,3.173943415,0.099274384
Ankistrodesmus,1,T25,25,P00.5,0.5,1,1:25:01,2.078700657,0.17426603,5.22908149,0.933733861
Ankistrodesmus,1,T25,25,P00.5,0.5,2,1:25:02,2.551666864,0.481158874,5.270637949,0.7153433
Ankistrodesmus,1,T25,25,P00.5,0.5,3,1:25:03,3,6.999999989,5.318964485,2.481894528
Ankistrodesmus,1,T25,25,P01,1,1,1:25:01,2.150514998,11.92564344,5.286231854,0.68274845
Ankistrodesmus,1,T25,25,P01,1,2,1:25:02,2.164123303,12.99999997,5.327154512,0.825808219
Ankistrodesmus,1,T25,25,P01,1,3,1:25:03,2.060205999,9.410609827,5.137986733,0.617278479
Ankistrodesmus,1,T25,25,P02,2,1,1:25:01,2.041188495,0.838778551,6.336309017,0.999584936
Ankistrodesmus,1,T25,25,P02,2,2,1:25:02,2.063934784,0.840629051,6.255519143,1.070974493
Ankistrodesmus,1,T25,25,P02,2,3,1:25:03,2.602059989,1.480994764,6.318593809,0.95038626
Ankistrodesmus,1,T25,25,P04,4,1,1:25:01,2.150514997,3.780236576,5.293726577,0.877937885
Ankistrodesmus,1,T25,25,P04,4,2,1:25:02,2.451544994,3.846357671,4.682391591,0.621656936
Ankistrodesmus,1,T25,25,P04,4,3,1:25:03,2.476714961,3.550214495,4.665597746,0.533354841
Ankistrodesmus,1,T25,25,P06,6,1,1:25:01,2.100343332,11.42994538,5.006764507,0.834340377
Ankistrodesmus,1,T25,25,P06,6,2,1:25:02,2.150514998,11.53154649,5.363423933,0.797885441
Ankistrodesmus,1,T25,25,P06,6,3,1:25:03,2.050171666,11.51357862,4.198657087,0.510554968
Ankistrodesmus,1,T25,25,P08,8,1,1:25:01,2.477121253,2.782102732,5.869548069,1.164150252
Ankistrodesmus,1,T25,25,P08,8,2,1:25:02,2.013972412,0.680314689,5.957626512,1.069623963
Ankistrodesmus,1,T25,25,P08,8,3,1:25:03,2.00000792,0.953092308,5.574620196,1.184933252
Ankistrodesmus,1,T25,25,P10,10,1,1:25:01,2.334877509,4.999999968,5.438117873,0.473169091
Ankistrodesmus,1,T25,25,P10,10,2,1:25:02,2,10.36387114,5.309797721,1.172320427
Ankistrodesmus,1,T25,25,P10,10,3,1:25:03,2,10.88035279,5.18179894,0.961875085
Ankistrodesmus,1,T25,25,P20,20,1,1:25:01,2.301029995,1.172435188,5.566732773,0.88870256
Ankistrodesmus,1,T25,25,P20,20,2,1:25:02,2.301029991,2.159777409,5.582071706,0.959897286
Ankistrodesmus,1,T25,25,P20,20,3,1:25:03,2.007399022,0.842418949,5.465712024,0.600130169
Ankistrodesmus,1,T25,25,P30,30,1,1:25:01,2.602059992,1.299393214,5.932888507,1.106556883
Ankistrodesmus,1,T25,25,P30,30,2,1:25:02,2.012491202,0.832339325,5.994138104,1.223827279
Ankistrodesmus,1,T25,25,P30,30,3,1:25:03,2.005995223,0.693042415,5.973069349,1.06181523
Ankistrodesmus,1,T30,30,P0.01,0.01,1,1:30:01,0,0,0,0
Ankistrodesmus,1,T30,30,P0.01,0.01,2,1:30:02,0,0,0,0
Ankistrodesmus,1,T30,30,P0.01,0.01,3,1:30:03,0,0,0,0
Ankistrodesmus,1,T30,30,P00.1,0.1,1,1:30:01,2.506494513,0.821036412,2.777908524,0.149547572
Ankistrodesmus,1,T30,30,P00.1,0.1,2,1:30:02,2.632554459,6.954119437,2.687771908,0.062145798
Ankistrodesmus,1,T30,30,P00.1,0.1,3,1:30:03,2.419754097,6.395015873,2.770300278,0.175280187
Ankistrodesmus,1,T30,30,P00.5,0.5,1,1:30:01,2.045127767,0.433734642,4.945248553,1.280990991
Ankistrodesmus,1,T30,30,P00.5,0.5,2,1:30:02,2.477121255,1.401756376,5.01043945,1.326620986
Ankistrodesmus,1,T30,30,P00.5,0.5,3,1:30:03,2.301029996,1.834921618,4.931252636,1.537887491
Ankistrodesmus,1,T30,30,P01,1,1,1:30:01,2.301029996,2.373097033,4.833795519,1.244183436
Ankistrodesmus,1,T30,30,P01,1,2,1:30:02,2.477121256,2.88428757,5.10062177,1.310436755
Ankistrodesmus,1,T30,30,P01,1,3,1:30:03,2.301029999,2.026556206,5.221169547,1.200748984
Ankistrodesmus,1,T30,30,P02,2,1,1:30:01,2.030900501,0.926693365,5.901760129,1.323108615
Ankistrodesmus,1,T30,30,P02,2,2,1:30:02,2.602059991,1.432822496,5.871939257,1.179803226
Ankistrodesmus,1,T30,30,P02,2,3,1:30:03,2.698970004,2.151418532,6.072891385,1.302210768
Ankistrodesmus,1,T30,30,P08,8,1,1:30:01,2.602059991,1.813750364,5.588715577,1.1811084
Ankistrodesmus,1,T30,30,P08,8,2,1:30:02,2.000000001,1.450080194,5.810899014,1.406342596
Ankistrodesmus,1,T30,30,P08,8,3,1:30:03,2.477121253,2.289288088,5.774772328,1.43124617
Ankistrodesmus,1,T30,30,P10,10,1,1:30:01,2.150514996,4.444211869,5.060990548,0.623843383
Ankistrodesmus,1,T30,30,P10,10,2,1:30:02,2.204857402,6.194924675,5.027325288,0.955018449
Ankistrodesmus,1,T30,30,P10,10,3,1:30:03,2.200686908,5.98731652,4.880471597,0.879896017
Ankistrodesmus,1,T30,30,P20,20,1,1:30:01,2.301029995,2.508956537,4.751357887,1.031783593
Ankistrodesmus,1,T30,30,P20,20,2,1:30:02,2.301029996,2.162399018,4.69076866,0.928393021
Ankistrodesmus,1,T30,30,P20,20,3,1:30:03,2.301029995,2.48697651,5.223201444,1.338260566
Ankistrodesmus,1,T30,30,P30,30,1,1:30:01,2.301029994,1.327092628,5.729517582,1.268793454
Ankistrodesmus,1,T30,30,P30,30,2,1:30:02,2.004683621,0.998620477,5.567515783,1.366973071
Ankistrodesmus,1,T30,30,P30,30,3,1:30:03,2,1.24394899,5.537658554,1.412756531
Ankistrodesmus,1,T35,35,P0.01,0.01,1,1:35:01,2.18981967,0.000952154,2.214949688,0.011575003
Ankistrodesmus,1,T35,35,P0.01,0.01,2,1:35:02,0,0,0,0
Ankistrodesmus,1,T35,35,P0.01,0.01,3,1:35:03,0,0,0,0
Ankistrodesmus,1,T35,35,P00.1,0.1,1,1:35:01,0,0,0,0
Ankistrodesmus,1,T35,35,P00.1,0.1,2,1:35:02,2.075257499,8.577324384,2.474956273,0.109861229
Ankistrodesmus,1,T35,35,P00.1,0.1,3,1:35:03,2.25085833,12.66666667,2.835508367,0.34657359
Ankistrodesmus,1,T35,35,P00.5,0.5,1,1:35:01,2.159040417,5.462700961,3.788745375,0.18438055
Ankistrodesmus,1,T35,35,P00.5,0.5,2,1:35:02,2.225772496,8.834184562,3.851411281,0.273235453
Ankistrodesmus,1,T35,35,P00.5,0.5,3,1:35:03,2.511691315,8.999999956,4.711850783,0.714304129
Ankistrodesmus,1,T35,35,P01,1,1,1:35:01,2.571370837,2.999999961,4.698837638,0.371806006
Ankistrodesmus,1,T35,35,P01,1,2,1:35:02,2.216402063,2.999999992,4.301520023,0.459231882
Ankistrodesmus,1,T35,35,P01,1,3,1:35:03,2.335836512,0.817614315,4.498301622,0.327962943
Ankistrodesmus,1,T35,35,P02,2,1,1:35:01,2.301030001,2.299964563,5.232869927,1.141953602
Ankistrodesmus,1,T35,35,P02,2,2,1:35:02,2.000000019,1.164926981,5.302425899,0.559675387
Ankistrodesmus,1,T35,35,P02,2,3,1:35:03,2.496702445,0.826493946,5.238502684,0.547890515
Ankistrodesmus,1,T35,35,P08,8,1,1:35:01,2.000000002,4.583840955,5.353529653,0.656046229
Ankistrodesmus,1,T35,35,P08,8,2,1:35:02,2.602059992,5.050941307,5.306456908,0.710774773
Ankistrodesmus,1,T35,35,P08,8,3,1:35:03,2,1.236029096,5.48756932,0.618884419
Ankistrodesmus,1,T35,35,P10,10,1,1:35:01,2.141651305,8.999999928,4.955058244,0.618643088
Ankistrodesmus,1,T35,35,P10,10,2,1:35:02,2.194537813,8.791328043,4.827507603,1.047413685
Ankistrodesmus,1,T35,35,P10,10,3,1:35:03,2.150514999,8.030779213,4.54061753,0.661297513
Ankistrodesmus,1,T35,35,P20,20,1,1:35:01,2.301029998,2.824399455,5.040571655,0.680905635
Ankistrodesmus,1,T35,35,P20,20,2,1:35:02,2.261428469,4.999999955,4.819681975,0.835443217
Ankistrodesmus,1,T35,35,P20,20,3,1:35:03,2,1.963304665,4.562562755,0.691788239
Ankistrodesmus,1,T35,35,P30,30,1,1:35:01,2.301029985,1.26821713,5.07461865,0.608274363
Ankistrodesmus,1,T35,35,P30,30,2,1:35:02,2.02414553,0.244177344,5.013896067,0.640039849
Ankistrodesmus,1,T35,35,P30,30,3,1:35:03,2.002909475,0.985381518,4.904603879,0.692092233
Chlamydomonas,2,T15,15,P0.01,0.01,1,2:15:01,2.652184666,4.951268907,3.210238152,0.127873422
Chlamydomonas,2,T15,15,P0.01,0.01,2,2:15:02,2.34319759,4.745794722,2.755228425,0.420873852
Chlamydomonas,2,T15,15,P0.01,0.01,3,2:15:03,2.210446025,4.999999979,2.831111821,0.308781398
Chlamydomonas,2,T15,15,P00.1,0.1,1,2:15:01,2.462027794,4.999999978,3.199760847,0.177329843
Chlamydomonas,2,T15,15,P00.1,0.1,2,2:15:02,2.147407966,4.989567023,2.961824784,0.932766251
Chlamydomonas,2,T15,15,P00.1,0.1,3,2:15:03,2,0.194599876,3.087745985,0.25133465
Chlamydomonas,2,T15,15,P00.5,0.5,1,2:15:01,2,4.999999998,3.390146354,1.242453325
Chlamydomonas,2,T15,15,P00.5,0.5,2,2:15:02,2.159040418,5.298268108,3.388187155,0.493520249
Chlamydomonas,2,T15,15,P00.5,0.5,3,2:15:03,2,0.465289024,3.641726855,0.418568404
Chlamydomonas,2,T15,15,P01,1,1,2:15:01,2.100343332,6.74593145,4.26243944,1.81879308
Chlamydomonas,2,T15,15,P01,1,2,2:15:02,2,7,3.82689244,1.472219489
Chlamydomonas,2,T15,15,P01,1,3,2:15:03,2,6.352218924,3.572775514,1.070033082
Chlamydomonas,2,T15,15,P02,2,1,2:15:01,2,6.994113282,4.104574807,2.415870515
Chlamydomonas,2,T15,15,P02,2,2,2:15:02,2,6.664432936,4.09748267,2.067862855
Chlamydomonas,2,T15,15,P02,2,3,2:15:03,2,7,3.846440547,1.445185879
Chlamydomonas,2,T15,15,P06,6,1,2:15:01,2.150514999,4.871852062,4.887028273,0.662283383
Chlamydomonas,2,T15,15,P06,6,2,2:15:02,2.000000001,4.770866943,4.840035711,0.449998447
