"","Sp.name","r.max.T","T.br","r.max.N","comp.N","r.max.P","comp.P","r.max.L","comp.L"
"64","Nannochloropsis oceanica",1.540563638,17.51080973,NA,NA,NA,NA,2.028097643,0.839480499
"65","Neoceratium furca",0.4039091215,13.364097765,NA,NA,NA,NA,NA,NA
"66","Neoceratium fusus",0.3223585375,14.648262655,NA,NA,NA,NA,NA,NA
"67","Neoceratium lineatum",0.252793362,13.20730537,NA,NA,NA,NA,NA,NA
"68","Nitzschia cylindrus",0.51503203,11.49344556,NA,NA,NA,NA,0.575573523,0.07078115
"69","Nitzschia kerguelensis",0.493344799,8.768715745,NA,NA,NA,NA,0.604800717,0.165278945
"70","Nitzschia paela",1.8073697585,18.70599104,1.8635171545,14.297858133,1.6391961735,6.3322969925,2.4112194705,0.590477331
"71","Nitzschia paleacea",0.391397833,19.0006871,NA,NA,NA,NA,NA,NA
"72","Nitzschia turgiduloides",0.466617838,8.855119769,NA,NA,NA,NA,0.545703577,0.144141425
"73","Odontella mobiliensis",1.309784738,14.48282926,NA,NA,NA,NA,NA,NA
"74","Olisthodiscus luteus",0.955526288,23.44164911,NA,NA,NA,NA,NA,NA
"75","Oocystella mongolica",0.225847793,30.69227163,NA,NA,NA,NA,0.346457372,0.076233536
"76","Pediastrum boryanum",1.1062446055,17.922517155,1.07552764,11.031290722,0.93345364,55.3797449245,1.1112427665,0.7882162245
"77","Pernambugia tuberosa",0.327259015,14.35685173,NA,NA,NA,NA,NA,NA
"78","Phaeocystis antarctica",0.253037782,6.89800019,NA,NA,NA,NA,NA,NA
"79","Phaeocystis globosa",0.768536194,16.26292133,NA,NA,NA,NA,NA,NA
"80","Phaeocystis pouchetii",2.584371383,9.836528031,NA,NA,NA,NA,1.861538044,0.228899562
"81","Phaeodactylum tricornutum",1.09027339766667,20.1032766466667,NA,NA,NA,NA,1.887836244,0.424324378
"82","Picochlorum atomus",0.567555833,16.76037757,NA,NA,NA,NA,NA,NA
"83","Planktothrix agardhii",1.0439666505,15.722973825,0.5114629045,3.1860092295,0.553333333333333,180.236462866667,1.264443152,0.7584032065
"84","Prochlorococcus marinus",0.533765778,10.7245839864286,NA,NA,NA,NA,NA,NA
"85","Prorocentrum gracile",0.545493876,11.66839345,NA,NA,NA,NA,NA,NA
"86","Prorocentrum micans",0.534862157,14.3661972,NA,NA,NA,NA,NA,NA
"87","Prorocentrum minimum",0.697564968,16.29407294,NA,NA,NA,NA,NA,NA
"88","Pseudo-nitzschia americana",2.957719666,16.04202996,NA,NA,NA,NA,NA,NA
"89","Pseudo-nitzschia granii",0.906853439,15.90578012,NA,NA,NA,NA,NA,NA
"90","Pseudo-nitzschia multiseries",0.452059405,18.64101106,NA,NA,NA,NA,NA,NA
"91","Pseudo-nitzschia turgiduloides",0.472717126,9.09621293,NA,NA,NA,NA,NA,NA
"92","Pseudochattonella farcimen",0.54039125,12.99428995,NA,NA,NA,NA,0.846301795,0.121529306
"93","Pseudodidymocystis planctonica",0.479374162,19.15244268,NA,NA,NA,NA,0.795923361,0.105009803
"94","Pyrodinium bahamense",0.260743203,15.27004406,NA,NA,NA,NA,NA,NA
"95","Rhizosolenia setigera",0.874376269,15.469844195,NA,NA,NA,NA,NA,NA
"96","Scenedesmus acuminatus",0.76367789,18.20017868,NA,NA,0.6868754,118.8495365,0.883455498,0.377064285
"97","Scenedesmus arcuatus",1.272289785,15.60634025,1.626933453,42.31187664,1.448617957,3.783746977,1.587320179,0.58895489
"98","Scenedesmus armatus",1.233128952,17.49296766,1.127849153,23.19594567,0.823171921,18.18413239,1.398065859,0.743702839
"99","Scrippsiella trochoidea",0.45952283,20.94354423,NA,NA,NA,NA,NA,NA
"100","Skeletonema ardens",2.1065852402,17.212310468,NA,NA,NA,NA,NA,NA
"101","Skeletonema costatum",1.10822999214286,18.9377380328571,0.62,1.3,0.71,11.2962963,1.44272629,0.210061599
"102","Skeletonema japonicum",1.6083761786,22.965630526,NA,NA,NA,NA,NA,NA
"103","Skeletonema marinoi",1.71184172,27.5102394275,NA,NA,NA,NA,NA,NA
"104","Skeletonema menzelii",2.096267694,24.152808295,NA,NA,NA,NA,NA,NA
"105","Skeletonema pseudocostatum",1.82662283,19.28584675,NA,NA,NA,NA,NA,NA
"106","Skeletonema tropicum",1.63342958033333,14.9942905266667,NA,NA,NA,NA,NA,NA
"107","Staurastrum pingue",0.668730704,25.31390058,NA,NA,NA,NA,0.99118565,0.104034207
"108","Stellarima microtrias",0.564476714,8.97458685,NA,NA,NA,NA,0.700699077,0.137580843
"109","Stephanopyxis palmeriana",1.10302058,11.0505874,NA,NA,NA,NA,NA,NA
"110","Synechococcus elongatus",1.513324793,14.34660175,0.904784039,0.178134752,1.164493546,1.210358429,NA,NA
"111","Synura sphagnicola",0.711049314,13.37940754,NA,NA,NA,NA,1.060072658,0.119119204
"112","Tetraedron minumum",0.521763431,17.86496101,0.723724638,8.440840039,0.6135644,0.856721981,0.613946155,0.232106798
"113","Thalassionema nitzschioides",1.3390806845,17.55425739,NA,NA,NA,NA,NA,NA
"114","Thalassiosira nordenskioeldii",1.061398838,15.15159761,NA,NA,NA,NA,NA,NA
"115","Thalassiosira pseudonana",1.945175556,16.11220293,NA,NA,NA,NA,NA,NA
"116","Thalassiosira rotula",1.277745229,19.379889295,NA,NA,NA,NA,NA,NA
"117","Trichodesmium erythraeum",0.420135334,11.2131157,NA,NA,0.215,7.175324673,NA,NA
"118","Alexandrium catenella",NA,NA,0.54,0.571428571,0.47,5.138888889,NA,NA
"119","Asterionella glacialis",NA,NA,1.34,9.185185185,NA,NA,NA,NA
"120","Chaetoceros curvisetum",NA,NA,0.6,1.89542483666667,NA,NA,NA,NA
"121","Chlamydomonas reinhardtii",NA,NA,0.860679032,0.993094356,NA,NA,1.080029354,0.569753432
