"","Sp.id","Sp.name","Parameter","mean","Rhat","n.eff"
"67",43,"Pediastrum boryanum","r_max",1.37704619115714,1.00076228623206,3000
"68",43,"Pediastrum boryanum","r_pred_new[508]",1.14996919850743,1.00066935137148,3000
"69",52,"Scenedesmus crassus","K_s",61.7857562433633,1.00446766863674,1600
"70",52,"Scenedesmus crassus","deviance",-8.16502025294597,1.00084914420941,3000
"71",52,"Scenedesmus crassus","r_max",1.99910117317504,1.00120619896727,3000
"72",52,"Scenedesmus crassus","r_pred_new[452]",1.56601937643634,1.00244236122706,3000
"73",53,"Scenedesmus quadricauda","K_s",58.9157477939909,1.00385920834993,3000
"74",53,"Scenedesmus quadricauda","deviance",-7.51473655572572,1.00049844187434,3000
"75",53,"Scenedesmus quadricauda","r_max",1.96462292023742,1.00151250403333,3000
"76",53,"Scenedesmus quadricauda","r_pred_new[468]",1.56525170193547,1.00979479727812,2200
"77",9,"Chlorella vulgaris","K_s",28.1221275096354,1.00097454016782,3000
"78",9,"Chlorella vulgaris","deviance",-6.96033612182676,1.00054515432794,3000
"79",9,"Chlorella vulgaris","r_max",1.2785442123342,1.00189390406541,1800
"80",9,"Chlorella vulgaris","r_pred_new[448]",1.13198762798964,1.00246077221936,1400
"81",29,"Fragilaria crotonensis","K_s",39.1812732259668,1.00122344178308,2800
"82",29,"Fragilaria crotonensis","deviance",-38.2129821853301,1.00269906662911,1700
"83",29,"Fragilaria crotonensis","r_max",0.692170955021979,1.00149274516188,2700
"84",29,"Fragilaria crotonensis","r_pred_new[428]",0.584559360928946,1.00230780466944,3000
"85",56,"Staurastrum pingue","K_s",83.4821252973741,1.00335724361444,1500
"86",56,"Staurastrum pingue","deviance",-15.8638808157202,1.00185265990127,2900
"87",56,"Staurastrum pingue","r_max",0.980500648769406,1.00149000217637,2000
"88",56,"Staurastrum pingue","r_pred_new[438]",0.708489617258543,1.00137011997814,2600
"89",58,"Synechocystis minima","K_s",52.7077343297476,1.00086439372792,3000
"90",58,"Synechocystis minima","deviance",-3.26999175487098,1.00065703036831,3000
"91",58,"Synechocystis minima","r_max",2.14006328553423,1.00059307591064,3000
