"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Ankistrodesmus","a",0.11170285679149,0.0561170284937056,0.0719609882929552
"2",1,"Ankistrodesmus","b",-0.001,0.818982007299284,0.999047623396205
"3",1,"Ankistrodesmus","tmax",37.1626036076247,2.70033391222144,2.81163903075915e-08
"4",1,"Ankistrodesmus","delta_t",8.47655336056887,3.14808575201838,0.0209314753065174
"5",2,"Chlamydomonas","a",0.0600040298431372,4.19346717511628,0.988839742893786
"6",2,"Chlamydomonas","b",-0.631966080788589,57.9184921714366,0.991489593248701
"7",2,"Chlamydomonas","tmax",40.3476302133279,84.3984381179302,0.641966013233646
"8",2,"Chlamydomonas","delta_t",9.17234396303645,419.048623115485,0.982928908860534
"9",3,"Chlorella","a",0.0981590316924592,0.103012162314975,0.36111685613293
"10",3,"Chlorella","b",-1.56141194301225,2.7522022774289,0.581881877278434
"11",3,"Chlorella","tmax",41.3687009662312,5.57107367152918,1.3168461763751e-05
"12",3,"Chlorella","delta_t",8.27022424653952,1.28849846921123,4.9524407799408e-05
"13",4,"Monoraphidium","a",0.0358326695452515,0.0096244037164523,0.0033635564391322
"14",4,"Monoraphidium","b",-1.14654269759171,0.430107878283917,0.0219616389894213
"15",4,"Monoraphidium","tmax",37,58.1289791469537,0.537460460650062
"16",4,"Monoraphidium","delta_t",1.00867725942366,28.7786320807003,0.972668196620852
"17",6,"Raphidocelis","a",0.0657066660180056,5.22317631126142,0.990188273225406
"18",6,"Raphidocelis","b",-0.926859328042727,75.4140074438204,0.990414096015312
"19",6,"Raphidocelis","tmax",38.344943811644,116.855874643426,0.748968004291086
"20",6,"Raphidocelis","delta_t",8.73232160863021,413.794608878724,0.983541398623575
