"","population","temp","well.ID","µ"
"846","16",28,"E11_56",3.38511054708295
"847","24",34,"B11_61",4.14551755300181
"848","anc5",34,"C11_61",4.14425805114076
"849","11",34,"D11_61",4.92200316935791
"850","24",34,"E11_61",3.79757553709087
"851","1",34,"F11_61",4.32941188754715
"852","18",34,"B11_66",3.54231240664445
"853","17",34,"C11_66",4.65674980016781
"854","27",34,"D11_66",2.64311540541019
"855","18",34,"E11_66",3.24233162269455
"856","26",34,"F11_66",3.71578302656204
"857","anc4",34,"B11_71",4.01967129737754
"858","15",34,"C11_71",4.08784519325798
"859","10",34,"D11_71",3.71737143776659
"860","16",34,"E11_71",3.86975758442412
"861","24",40,"B11_76",0.342456465664904
"862","anc5",40,"C11_76",1.08877401722969
"863","11",40,"D11_76",0.126408082129919
"864","24",40,"E11_76",0.275498158215372
"865","1",40,"F11_76",0.283831894817915
"866","18",40,"B11_81",1.26204219833871
"867","17",40,"C11_81",0.574042288699128
"868","27",40,"D11_81",0.168429349150247
"869","18",40,"E11_81",1.25900701911107
"870","26",40,"F11_81",0.0919949732033357
"871","anc4",40,"B11_86",0.457741956593761
"872","15",40,"C11_86",0.597851528304536
"873","10",40,"D11_86",0.329648977325427
"874","16",40,"E11_86",0.269236687205045
"875","24",10,"B11_1",0.487226509486696
"876","anc5",10,"C11_1",0.322572215928725
"877","11",10,"D11_1",0.32227713363451
"878","24",10,"E11_1",0.210224806064948
"879","1",10,"F11_1",0.379107670988428
"880","anc4",10,"B11_11",0.343914875890563
"881","15",10,"C11_11",0.426969003460441
"882","10",10,"D11_11",0.494305678738497
"883","16",10,"E11_11",0.467448156767114
"884","18",10,"B11_6",0.389214149253316
"885","17",10,"C11_6",0.452243298109645
"886","27",10,"D11_6",0.355111453711538
"887","18",10,"E11_6",0.496062048005183
"888","26",10,"F11_6",0.292038022016509
