"","Species","dataset","r.max","R","comp"
"72","Microcystis aeruginosa","Levasseur et al., 2025",0.32653657467281,3.18450234297668,0.314020808370723
"73","Microcystis viridis","Levasseur et al., 2025",0.660327689131698,1.67259794722156,0.597872310952642
"74","Nitzschia paela (C )","Levasseur et al., 2025",2.05444068172454,0.210647111586779,4.7472761077383
"75","Nitzschia paela (G)","Levasseur et al., 2025",1.22395166516937,0.126305399822877,7.91731787716391
"76","Oocystis sp.","Levasseur et al., 2025",0.54555356700153,0.00344550546682426,290.233177578355
"77","Pediastrum boryanum","Levasseur et al., 2025",1.36206587993237,0.514773630281597,1.94260144882124
"78","Scenedesmus arcuatus var. Platydiscus","Levasseur et al., 2025",1.44861795733335,0.264288285175883,3.78374697665658
"79","Scenedesmus armatus","Levasseur et al., 2025",0.823171920911152,0.0549930004182897,18.1841323876451
"80","Synechococcus elongatus","Levasseur et al., 2025",1.16449354644001,0.826201541848932,1.21035842872204
"81","Tetraedron minumum","Levasseur et al., 2025",0.613564400257882,1.16723980786867,0.856721980572233
"82","Ankistrodesmus falcatus","Narwani et al., 2015",0.5239131,0.00371615,269.095703887087
"83","Botryococcus sudeticus","Narwani et al., 2015",0.5470168,0.0301866,33.1272816415231
"84","Chlamydocapsa ampla","Narwani et al., 2015",0.6934719,0.0092879,107.666964545269
"85","Chlorella sorokiniana","Narwani et al., 2015",0.4532827,0.0485845,20.5826961273657
"86","Closteriopsis acicularis","Narwani et al., 2015",0.8925183,0.0715015,13.9857205792885
"87","Coelastrum cambricum","Narwani et al., 2015",0.6275249,0.1148,8.71080139372822
"88","Coelastrum microporum","Narwani et al., 2015",0.4857304,0.00923983,108.227099416331
"89","Coelastrum reticulatum","Narwani et al., 2015",0.5801686,0.0192377,51.981265951751
"90","Crucigenia tetrapedia","Narwani et al., 2015",0.562642,0.0192891,51.8427505689742
"91","Dictyosphaerium ehrenbergianum","Narwani et al., 2015",0.5161032,0.0165418,60.4529132258884
"92","Dictyosphaerium pulchellum","Narwani et al., 2015",0.6496826,0.0186093,53.7365725739281
"93","Monoraphidium minutum","Narwani et al., 2015",0.8465516,0.0235737,42.4201546638839
"94","Monoraphidium arcuatum","Narwani et al., 2015",0.7891068,0.00446978,223.724657589412
"95","Oocystis parva","Narwani et al., 2015",0.5139385,0.00783302,127.664681055327
"96","Oocystis polymorpha ","Narwani et al., 2015",0.7444437,0.0209503,47.7320133840566
"97","Pediastrum boryanum","Narwani et al., 2015",0.5048414,0.00918975,108.816888381077
"98","Pediastrum tetras","Narwani et al., 2015",0.3796491,0.0211186,47.3516236871762
"99","Scenedesmus acuminatus","Narwani et al., 2015",0.6868754,0.008414,118.849536486808
"100","Selenastrum capricornutum","Narwani et al., 2015",0.6142954,0.0140282,71.284983105459
"101","Tetrastrum heteracantum","Narwani et al., 2015",0.3558299,0.0248241,40.2834342433361
