"","Sp.id","light","temp","id","r.exp"
"95","Synechococcus",77.3,35,"2.1",-0.188301900799963
"96","Synechococcus",77.3,35,"2.2",-0.00883625364005571
"97","Synechococcus",105.5,15,"2.1",0.267340122437573
"98","Synechococcus",105.5,15,"2.2",0.247335312750248
"99","Synechococcus",105.5,20,"2.3",0.531237869646261
"100","Synechococcus",105.5,20,"2.4",1.12974722784091
"101","Synechococcus",105.5,20,"1.1",0.482780934369127
"102","Synechococcus",105.5,20,"1.2",0.483038505622361
"103","Synechococcus",105.5,25,"1.1",0.635435978405374
"104","Synechococcus",105.5,25,"1.2",0.606365989916448
"105","Synechococcus",105.5,30,"2.1",1.09107146537375
"106","Synechococcus",105.5,30,"2.2",0.455929857444673
"107","Synechococcus",105.5,35,"2.1",0.55512850640478
"108","Synechococcus",105.5,35,"2.2",NA
"109","Synechococcus",140.6,15,"2.1",0.278776429944095
"110","Synechococcus",140.6,15,"2.2",0.31299263089129
"111","Synechococcus",140.6,20,"1.1",0.46917102081579
"112","Synechococcus",140.6,20,"1.2",0.44984325212717
"113","Synechococcus",140.6,20,"2.3",0.472683412788844
"114","Synechococcus",140.6,20,"2.4",0.932781011964775
"115","Synechococcus",140.6,25,"1.1",0.575508727647948
"116","Synechococcus",140.6,25,"1.2",0.470152056293774
"117","Synechococcus",140.6,30,"2.1",0.0776250871486875
"118","Synechococcus",140.6,30,"2.2",0.10935183832462
"119","Synechococcus",140.6,35,"2.1",NA
"120","Synechococcus",140.6,35,"2.2",-0.0731163827335346
"121","Kirchneriella_subcapitata",0.15,15,"2.1",-0.221740091854738
"122","Kirchneriella_subcapitata",0.15,15,"2.2",-0.22671668386492
"123","Kirchneriella_subcapitata",0.15,20,"2.3",0.409701374128311
"124","Kirchneriella_subcapitata",0.15,20,"2.4",0.0243910016552523
"125","Kirchneriella_subcapitata",0.15,20,"1.2",-0.0313509647136082
"126","Kirchneriella_subcapitata",0.15,20,"1.1",0.0225510463658733
"127","Kirchneriella_subcapitata",0.15,25,"1.1",0.0345253133262374
"128","Kirchneriella_subcapitata",0.15,25,"1.2",0.0772784955777154
"129","Kirchneriella_subcapitata",0.15,30,"2.1",-0.259601649731524
"130","Kirchneriella_subcapitata",0.15,30,"2.2",-0.192579645746886
"131","Kirchneriella_subcapitata",0.15,35,"2.1",-0.116187905401862
"132","Kirchneriella_subcapitata",0.15,35,"2.2",-0.087776833441281
"133","Kirchneriella_subcapitata",0.95,15,"2.1",-0.237602671613379
"134","Kirchneriella_subcapitata",0.95,15,"2.2",-0.356641366790133
"135","Kirchneriella_subcapitata",0.95,20,"2.3",0.223220244437243
"136","Kirchneriella_subcapitata",0.95,20,"2.4",0.141280930288342
"137","Kirchneriella_subcapitata",0.95,20,"1.2",-0.0242107487387709
"138","Kirchneriella_subcapitata",0.95,20,"1.1",0.0345253129468506
"139","Kirchneriella_subcapitata",0.95,25,"1.1",-0.018131832266088
"140","Kirchneriella_subcapitata",0.95,25,"1.2",-0.172911465521394
"141","Kirchneriella_subcapitata",0.95,30,"2.1",-0.299956258089644
"142","Kirchneriella_subcapitata",0.95,30,"2.2",-0.292337838910558
"143","Kirchneriella_subcapitata",0.95,35,"2.1",-0.0538763622272429
"144","Kirchneriella_subcapitata",0.95,35,"2.2",-0.0356699217124791
"145","Kirchneriella_subcapitata",3.6,15,"2.1",-0.161040573013983
"146","Kirchneriella_subcapitata",3.6,15,"2.2",-0.148682963675044
"147","Kirchneriella_subcapitata",3.6,20,"2.3",0.286523881140488
"148","Kirchneriella_subcapitata",3.6,20,"2.4",0.100061143848049
"149","Kirchneriella_subcapitata",3.6,20,"1.2",0.0643635249707431
"150","Kirchneriella_subcapitata",3.6,20,"1.1",0.124047226440508
"151","Kirchneriella_subcapitata",3.6,25,"1.1",0.301635188350352
"152","Kirchneriella_subcapitata",3.6,25,"1.2",-0.290904653062927
"153","Kirchneriella_subcapitata",3.6,30,"2.1",0.440326215713184
"154","Kirchneriella_subcapitata",3.6,30,"2.2",0.0975139790044501
"155","Kirchneriella_subcapitata",3.6,35,"2.1",0.10542832578918
"156","Kirchneriella_subcapitata",3.6,35,"2.2",0.110821566573498
"157","Kirchneriella_subcapitata",6.8,15,"2.1",-0.259614519348279
"158","Kirchneriella_subcapitata",6.8,15,"2.2",0.326761174615069
"159","Kirchneriella_subcapitata",6.8,20,"2.3",0.113596307880671
"160","Kirchneriella_subcapitata",6.8,20,"2.4",0.150139570556594
"161","Kirchneriella_subcapitata",6.8,20,"1.2",0.301698809892973
"162","Kirchneriella_subcapitata",6.8,20,"1.1",0.173926687754092
"163","Kirchneriella_subcapitata",6.8,25,"1.1",-0.27383742280657
"164","Kirchneriella_subcapitata",6.8,25,"1.2",-0.110565790934383
"165","Kirchneriella_subcapitata",6.8,30,"2.1",0.442379309586811
"166","Kirchneriella_subcapitata",6.8,30,"2.2",0.376351488611822
"167","Kirchneriella_subcapitata",6.8,35,"2.1",0.173599785178089
"168","Kirchneriella_subcapitata",6.8,35,"2.2",0.10265708660327
"169","Kirchneriella_subcapitata",18.7,15,"2.1",-0.226893279865849
"170","Kirchneriella_subcapitata",18.7,15,"2.2",-0.117255129041498
"171","Kirchneriella_subcapitata",18.7,20,"2.3",0.474219101384779
"172","Kirchneriella_subcapitata",18.7,20,"2.4",0.294246655925006
"173","Kirchneriella_subcapitata",18.7,20,"1.2",0.416641065246768
"174","Kirchneriella_subcapitata",18.7,20,"1.1",0.400197585157996
"175","Kirchneriella_subcapitata",18.7,25,"1.1",0.71795677614235
"176","Kirchneriella_subcapitata",18.7,25,"1.2",0.129697709262868
"177","Kirchneriella_subcapitata",18.7,30,"2.1",0.116857749166046
"178","Kirchneriella_subcapitata",18.7,30,"2.2",-0.011199690490318
"179","Kirchneriella_subcapitata",18.7,35,"2.1",-0.107862522306372
"180","Kirchneriella_subcapitata",18.7,35,"2.2",0.143344404728839
"181","Kirchneriella_subcapitata",29.3,15,"2.1",-0.48506173095619
"182","Kirchneriella_subcapitata",29.3,15,"2.2",0.20372045754992
"183","Kirchneriella_subcapitata",29.3,20,"2.3",0.402144665567192
"184","Kirchneriella_subcapitata",29.3,20,"2.4",0.425897275860814
"185","Kirchneriella_subcapitata",29.3,20,"1.2",0.550935981855238
"186","Kirchneriella_subcapitata",29.3,20,"1.1",0.717031886314265
"187","Kirchneriella_subcapitata",29.3,25,"1.1",0.481415141742903
"188","Kirchneriella_subcapitata",29.3,25,"1.2",0.462855159291186
"189","Kirchneriella_subcapitata",29.3,30,"2.1",0.0545408382423521
"190","Kirchneriella_subcapitata",29.3,30,"2.2",0.144982935811908
"191","Kirchneriella_subcapitata",29.3,35,"2.1",-0.0955063322332681
"192","Kirchneriella_subcapitata",29.3,35,"2.2",0.230078709789758
"193","Kirchneriella_subcapitata",49.2,15,"2.1",-0.409545973749489
"194","Kirchneriella_subcapitata",49.2,15,"2.2",-0.0154415103013455
"195","Kirchneriella_subcapitata",49.2,20,"2.3",0.457200422233958
"196","Kirchneriella_subcapitata",49.2,20,"2.4",0.460438470707868
"197","Kirchneriella_subcapitata",49.2,20,"1.2",0.516978542892958
"198","Kirchneriella_subcapitata",49.2,20,"1.1",0.678926905060849
"199","Kirchneriella_subcapitata",49.2,25,"1.1",0.657982889043203
"200","Kirchneriella_subcapitata",49.2,25,"1.2",0.559181802531191
"201","Kirchneriella_subcapitata",49.2,30,"2.1",0.197136296835412
"202","Kirchneriella_subcapitata",49.2,30,"2.2",0.251801040969565
"203","Kirchneriella_subcapitata",49.2,35,"2.1",-0.229242109487846
"204","Kirchneriella_subcapitata",49.2,35,"2.2",0.561338431414396
"205","Kirchneriella_subcapitata",77.3,15,"2.1",-0.314813142265769
"206","Kirchneriella_subcapitata",77.3,15,"2.2",0.255607058484926
"207","Kirchneriella_subcapitata",77.3,20,"2.3",0.387512285007394
"208","Kirchneriella_subcapitata",77.3,20,"2.4",0.441261100436652
"209","Kirchneriella_subcapitata",77.3,20,"1.2",0.600963719925863
"210","Kirchneriella_subcapitata",77.3,20,"1.1",0.46312670544242
"211","Kirchneriella_subcapitata",77.3,25,"1.1",0.598340070145185
"212","Kirchneriella_subcapitata",77.3,25,"1.2",0.457456109067689
"213","Kirchneriella_subcapitata",77.3,30,"2.1",-0.05176813112746
"214","Kirchneriella_subcapitata",77.3,30,"2.2",-0.0396929133421936
"215","Kirchneriella_subcapitata",77.3,35,"2.1",0.0676708448745125
"216","Kirchneriella_subcapitata",77.3,35,"2.2",0.0722217679053794
"217","Kirchneriella_subcapitata",105.5,15,"2.1",-0.244573674152941
"218","Kirchneriella_subcapitata",105.5,15,"2.2",-0.18294451541262
"219","Kirchneriella_subcapitata",105.5,20,"2.3",0.62151807570961
"220","Kirchneriella_subcapitata",105.5,20,"2.4",0.649175936254257
"221","Kirchneriella_subcapitata",105.5,20,"1.2",0.715587518428913
"222","Kirchneriella_subcapitata",105.5,20,"1.1",0.69135874676704
"223","Kirchneriella_subcapitata",105.5,25,"1.1",0.714255546214744
"224","Kirchneriella_subcapitata",105.5,25,"1.2",0.731331256634202
"225","Kirchneriella_subcapitata",105.5,30,"2.1",0.221514294603307
"226","Kirchneriella_subcapitata",105.5,30,"2.2",0.305375128707561
"227","Kirchneriella_subcapitata",105.5,35,"2.1",0.600957890079707
"228","Kirchneriella_subcapitata",105.5,35,"2.2",NA
"229","Kirchneriella_subcapitata",140.6,15,"2.1",0.213588078696891
"230","Kirchneriella_subcapitata",140.6,15,"2.2",0.242208145331496
"231","Kirchneriella_subcapitata",140.6,20,"1.1",0.267709791118261
"232","Kirchneriella_subcapitata",140.6,20,"1.2",0.354611885196785
"233","Kirchneriella_subcapitata",140.6,20,"2.4",0.572799768237846
"234","Kirchneriella_subcapitata",140.6,20,"2.3",0.532771111852466
"235","Kirchneriella_subcapitata",140.6,25,"1.1",0.540118243457834
"236","Kirchneriella_subcapitata",140.6,25,"1.2",0.720308210151045
"237","Kirchneriella_subcapitata",140.6,30,"2.1",0.127220604938821
"238","Kirchneriella_subcapitata",140.6,30,"2.2",-0.227376680707442
"239","Kirchneriella_subcapitata",140.6,35,"2.1",0.160945350038983
"240","Kirchneriella_subcapitata",140.6,35,"2.2",0.218913622833842
"241","Microcystis_aeruginosa",0.15,15,"2.1",0.00935388074596625
"242","Microcystis_aeruginosa",0.15,15,"2.2",0.0346663450899881
"243","Microcystis_aeruginosa",0.15,20,"2.3",-0.0306891507426963
"244","Microcystis_aeruginosa",0.15,20,"2.4",-0.0817690463358797
"245","Microcystis_aeruginosa",0.15,20,"1.2",0.131394706964392
"246","Microcystis_aeruginosa",0.15,20,"1.1",0.011102737881397
"247","Microcystis_aeruginosa",0.15,25,"1.1",-0.00424561113851843
"248","Microcystis_aeruginosa",0.15,25,"1.2",-0.0433197560337215
"249","Microcystis_aeruginosa",0.15,30,"2.1",0.896689476336563
"250","Microcystis_aeruginosa",0.15,30,"2.2",0.476448308708148
"251","Microcystis_aeruginosa",0.15,35,"2.1",0.16164902486011
"252","Microcystis_aeruginosa",0.15,35,"2.2",-0.172877529532291
"253","Microcystis_aeruginosa",0.95,15,"2.1",-0.0810281149736412
"254","Microcystis_aeruginosa",0.95,15,"2.2",0.0310831488999382
"255","Microcystis_aeruginosa",0.95,20,"2.3",0.0523914340172006
"256","Microcystis_aeruginosa",0.95,20,"2.4",-0.0948754101490317
"257","Microcystis_aeruginosa",0.95,20,"1.2",0.0228793761994902
"258","Microcystis_aeruginosa",0.95,20,"1.1",-0.0933103846296758
"259","Microcystis_aeruginosa",0.95,25,"1.1",-0.00957846184857863
"260","Microcystis_aeruginosa",0.95,25,"1.2",0.00897336240244279
"261","Microcystis_aeruginosa",0.95,30,"2.1",0.151276928722848
"262","Microcystis_aeruginosa",0.95,30,"2.2",0.0899883901454093
"263","Microcystis_aeruginosa",0.95,35,"2.1",NA
"264","Microcystis_aeruginosa",0.95,35,"2.2",-0.315995610425559
"265","Microcystis_aeruginosa",3.6,15,"2.1",0.131394707188742
"266","Microcystis_aeruginosa",3.6,15,"2.2",-0.0698077865933652
"267","Microcystis_aeruginosa",3.6,20,"2.3",0.505120453681019
"268","Microcystis_aeruginosa",3.6,20,"2.4",0.124107061098297
"269","Microcystis_aeruginosa",3.6,20,"1.2",-0.0404508843316298
"270","Microcystis_aeruginosa",3.6,20,"1.1",-0.0522123698230763
"271","Microcystis_aeruginosa",3.6,25,"1.1",0.0745178159628436
"272","Microcystis_aeruginosa",3.6,25,"1.2",-0.0775841068704862
"273","Microcystis_aeruginosa",3.6,30,"2.1",-0.0519687192172909
"274","Microcystis_aeruginosa",3.6,30,"2.2",0.022603872725871
"275","Microcystis_aeruginosa",3.6,35,"2.1",-0.0114951862753771
"276","Microcystis_aeruginosa",3.6,35,"2.2",0.0376002123997255
"277","Microcystis_aeruginosa",6.8,15,"2.1",0.425382080935944
"278","Microcystis_aeruginosa",6.8,15,"2.2",-0.0376215382862482
"279","Microcystis_aeruginosa",6.8,20,"2.3",-0.0318611147074623
"280","Microcystis_aeruginosa",6.8,20,"2.4",-0.0715210926415938
"281","Microcystis_aeruginosa",6.8,20,"1.2",-0.0481918213176972
"282","Microcystis_aeruginosa",6.8,20,"1.1",-0.00784459232934091
"283","Microcystis_aeruginosa",6.8,25,"1.1",-0.136572465220212
"284","Microcystis_aeruginosa",6.8,25,"1.2",-0.0633930739888103
"285","Microcystis_aeruginosa",6.8,30,"2.1",0.37631580313643
"286","Microcystis_aeruginosa",6.8,30,"2.2",0.248977147983959
"287","Microcystis_aeruginosa",6.8,35,"2.1",0.183610332188029
"288","Microcystis_aeruginosa",6.8,35,"2.2",-0.119758933234661
"289","Microcystis_aeruginosa",18.7,15,"2.1",0.0403860051160389
"290","Microcystis_aeruginosa",18.7,15,"2.2",0.0329651618171072
"291","Microcystis_aeruginosa",18.7,20,"2.3",0.126681128159028
"292","Microcystis_aeruginosa",18.7,20,"2.4",0.0925989049116111
"293","Microcystis_aeruginosa",18.7,20,"1.2",0.0988937431208462
"294","Microcystis_aeruginosa",18.7,20,"1.1",0.219105972214487
"295","Microcystis_aeruginosa",18.7,25,"1.1",0.103099491876953
"296","Microcystis_aeruginosa",18.7,25,"1.2",0.079648186797327
