"","Sp.id","Sp.name","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"1",1,"Asterionella formosa",16.3906320031532,15.1027413029267,4.20388019428452,31.4540310115825,0,0.766066967180969,0.761497590823568,0.624048226573551,0.906971357519288,0,2.25656498526358,0.723536573655093,4.15102703484023,0,9.08652925863604,24
"2",2,"Chlorella sp.",6.6376255499751,6.53356979378343,4.21768913591255,9.29105066910872,0,1.19086940496379,1.18995076213137,1.12055134445944,1.25941864440206,0,0.600183448975063,0.401773570140656,0.814315880389794,0,19.0465210927061,24
"3",3,"Coelastrum sp.",30.9060394817373,30.0986698746013,19.1934086430609,44.7070919489313,0,1.5262945036147,1.51972587325272,1.35066663382426,1.70135974808274,0,2.11545313496808,1.50135781585223,2.84906620925117,0,26.9767881535169,28
"4",4,"Cyclotella pseudostelligera",5.64297605036756,5.08046755643092,1.14236820856184,11.2030559032504,0,1.01627799298498,1.01364142482448,0.874411711738819,1.15505466795565,0,0.556986464049943,0.150287524920344,1.12132829309176,0,20.8576297755394,28
"5",5,"Eudorina elegans",38.8253926754718,33.514422233892,0.51727943631183,87.6449237757092,0,1.21514614347931,1.19002346206855,0.7689029960008,1.71236944079787,0,3.09606714573943,0.303283685629654,6.28822843084028,0,27.2044995479317,28
"6",6,"Fistulifera saprophila",61.5025389321112,64.9310608697181,14.9840698955862,99.9613968422737,0,1.20496614099518,1.17582615259609,0.412773691762517,2.12538370439282,0,5.47286808505651,0.4628882537448,13.1137497675083,0,26.7449691034304,28
"7",7,"Fragilaria crotonensis",12.1358625306928,8.51843586800799,0.168384662399999,34.2658062841088,0,0.502040097580976,0.491195368745208,0.372099990533718,0.652508238318167,0,2.19717059654648,0.0625433304513576,6.74538693994331,0,9.00325960804084,15
"8",8,"Lagerheimia subsalsa",33.3652037799183,31.7986124545769,14.0117704942712,55.5662129471117,0,1.4917507423099,1.48144364564925,1.23687274906031,1.78447860141417,0,2.3002045122304,1.22318665654467,3.47921385920728,0,28.442627197702,32
"9",9,"Messastrum gracile",34.3363282768674,32.5151434834792,13.8382350223821,56.7225204160584,0,1.74514588829288,1.73068017738059,1.46389961656651,2.08778722304321,0,1.99412372893884,1.09447008241936,3.07133766865412,0,30.3438839181866,28
"10",10,"Microcystis aeruginosa",0.711892546682499,0.568314114900029,0.00114091272533669,1.62657352261113,0,2.26466024755653,2.26137613531483,2.05173650776662,2.50820774790815,0,0.0265128340074757,0.000207788194921412,0.074763046588642,0,31.0257352555222,32
"11",11,"Microcystis viridis",7.95465184063089,7.15071199649152,0.697558406771455,16.668575979232,0,1.33766221852219,1.33062874816912,1.11981305369625,1.57161746876213,0,0.583910526143109,0.0777482337404667,1.22839609335797,0,28.5067341458632,28
"12",12,"Nitzschia paela (C )",31.1754486017683,30.5840552247533,20.8729632471898,44.1628978906527,0,2.36536886627543,2.35632960575789,2.13742244520842,2.63636634963676,0,1.35501528991309,0.996993097004313,1.76649071069239,0,30.4083309898603,28
"13",13,"Nitzschia paela (G)",55.1840731474753,53.2152132724496,23.0891339276673,94.9794257215383,0,2.48111772254072,2.46610933472782,1.88077223021423,3.08332746380422,0,2.25756255858908,1.20607933145833,3.36349788181858,0,27.8697981099887,28
"14",14,"Oocystis sp.",46.115403638457,43.6030808784155,17.2625626479843,85.3550853014544,0,1.03908878401701,1.02626566658599,0.802289674988279,1.31469142274836,0,4.69236917269979,2.49512205964433,7.52771956898671,0,25.4536223971532,24
"15",15,"Pediastrum boryanum",27.669684280788,24.2767322244144,3.37152493888914,61.2352967946077,0,1.79290626154004,1.76188417330289,1.35972570256876,2.31861743047432,0,1.46395267159151,0.389802685639215,2.98504978360316,0,31.3781783701557,32
"16",16,"Planktothrix agardhii",42.4859077541455,40.3000602240691,0.00826477019299103,93.8463967620398,0,0.0916469672894487,0.0866670725850132,0.000682183619831191,0.186881439391002,0,-18.8343311765507,-1293.37082255669,1261.05630835939,0,17.8264108501358,24
"17",17,"Scenedesmus arcuatus var. Platydiscus",26.1483121804011,25.1742104833479,13.2743678031011,42.4165638296301,0,1.59352200902727,1.58732017945278,1.35253349496243,1.81254653995669,0,1.69792291013624,0.978308820081912,2.5046307624241,0,26.2250033882905,28
"18",18,"Scenedesmus armatus",18.1372777445223,17.4083397761915,7.3785983884412,30.686488187903,0,1.40187623919602,1.39806585914358,1.19730210847926,1.6190717012306,0,1.34462307732481,0.630895750849378,2.11408051166056,0,27.6066864512145,32
"19",19,"Synechococcus elongatus",0.77150848436603,0.761419971214109,0.515357669417305,1.05083172800106,0,2.84662737620111,2.84683876212075,2.75308405503843,2.93997539169734,0,0.0277089203078798,0.0188334612661555,0.0377313922155107,0,29.6946434171737,28
"20",20,"Tetraedron minumum",24.2878437146307,22.1119670957876,6.73365110452235,47.5918171544711,0,0.620479956191246,0.613946154938856,0.486636347726988,0.758370590753665,0,4.30836152842327,1.6037106145601,7.70784833900558,0,24.2494368663412,32
