ancestor_id,treatment,population,umax,ks,rstar,anc_rstar_mean,change_rstar
anc2,B,19,1.3837856358668277,0.49146281390711116,0.3340907680411096,0.7844034396488468,-0.45031267160773725
anc2,BS,25,1.622308013736284,1.4725573869222377,0.7762646294798324,0.7844034396488468,-0.00813881016901441
anc2,L,10,1.334468241041217,0.9875676054557221,0.7140872017058889,0.7844034396488468,-0.07031623794295794
anc2,N,1,1.2916039135100452,0.41317857474523023,0.31626402973601925,0.7844034396488468,-0.4681394099128276
anc2,P,17,1.3892527389145775,0.18493648292903095,0.12488886147764135,0.7844034396488468,-0.6595145781712055
anc2,S,14,1.368597417986393,0.34966378982233465,0.242162190905985,0.7844034396488468,-0.5422412487428618
anc2,none,anc2,1.4954120566345765,1.3102507762735065,0.7844034396488468,0.7844034396488468,0.0
anc3,B,7,1.3038882989013016,0.5177939697600337,0.3897959189489699,1.0370861326741865,-0.6472902137252166
anc3,BS,2,1.3990986173615516,0.5002010661719539,0.3338255972070075,1.0370861326741865,-0.703260535467179
anc3,L,26,1.380073585647231,1.0701269566581306,0.7307528326931629,1.0370861326741865,-0.30633329998102354
anc3,N,27,1.3794058381136973,1.2950657062586968,0.885076431935599,1.0370861326741865,-0.15200970073858744
anc3,P,29,1.4088296068244572,0.5170184492314136,0.3410935825539226,1.0370861326741865,-0.695992550120264
anc3,S,4,1.4541376623735367,0.8963151886052793,0.561363788531778,1.0370861326741865,-0.47572234414240844
anc3,none,anc3,1.3826512401773123,1.523500345026986,1.0370861326741865,1.0370861326741865,0.0
anc4,B,21,1.383864021122133,0.41422275918491347,0.28155707640637967,0.831160579068186,-0.5496035026618062
anc4,BS,35,1.3271958402344703,0.1200510204442209,0.08762895720109395,0.831160579068186,-0.743531621867092
anc4,C,24,1.4109748575580001,0.5387001581714997,0.3545017645312497,0.831160579068186,-0.47665881453693626
anc4,L,20,1.3578585135918535,1.9071319894693421,1.338575569363626,0.831160579068186,0.5074149902954401
anc4,N,11,1.6100749204222284,1.4692922869766911,0.7835666433935048,0.831160579068186,-0.047593935674681176
anc4,P,8,1.4626268383817713,0.7287839428108495,0.4521458820189207,0.831160579068186,-0.37901469704926527
anc4,S,15,1.2801123597372337,0.6370454445666617,0.4954024800900594,0.831160579068186,-0.3357580989781266
anc4,none,anc4,1.3664974839375743,1.1970159210117663,0.831160579068186,0.831160579068186,0.0
anc5,B,16,1.496541607709569,1.6967186615221643,1.0145437668019412,0.9637800419678743,0.05076372483406699
anc5,C,5,1.4380415485610378,1.3679345195275143,0.8724454237852686,0.9637800419678743,-0.09133461818260569
anc5,L,23,1.3906567722818863,0.8145862450438863,0.5491658076433212,0.9637800419678743,-0.414614234324553
anc5,N,30,1.3192329760182235,0.4864386653801205,0.35879059684879794,0.9637800419678743,-0.6049894451190763
anc5,P,28,1.507090476026786,0.8024342273737306,0.4744669899062316,0.9637800419678743,-0.48931305206164266
anc5,S,18,1.303998589903242,0.6023455903863465,0.45337926065185435,0.9637800419678743,-0.5104007813160198
anc5,none,anc5,1.6779037292072234,1.9239523268774654,0.9637800419678743,0.9637800419678743,0.0
cc1690,B,31,1.3981656926862116,0.9777259971965349,0.6532438194592629,0.9855534557527126,-0.3323096362934497
cc1690,BS,9,1.3562978483141424,1.4590798005808818,1.0261043528563587,0.9855534557527126,0.04055089710364612
cc1690,C,22,1.5408588161781245,2.1786125604198405,1.2438314400729757,0.9855534557527126,0.25827798432026317
cc1690,L,33,1.5744164969096888,1.5228393730200014,0.8406705248673838,0.9855534557527126,-0.14488293088532878
cc1690,N,3,1.525872738498247,1.0152972455598812,0.5886556632683815,0.9855534557527126,-0.3968977924843311
cc1690,P,6,1.449350973799259,0.5427351995105354,0.3417455208122392,0.9855534557527126,-0.6438079349404734
cc1690,S,32,1.4674359659252612,1.09746689697839,0.6772725408577392,0.9855534557527126,-0.30828091489497333
cc1690,none,cc1690,1.5687279068497582,1.7752772759106774,0.9855534557527126,0.9855534557527126,0.0
