ancestor_id,treatment,population,umax,ks,rstar,anc_rstar_mean,change_rstar,treatment_code,change_rstar_mean,change_rstar_lower,change_rstar_upper
anc2,B,19,1.3837856358668277,0.49146281390711116,0.3340907680411096,0.7844034396488468,-0.45031267160773725,B,-0.4498504825717972,-0.5413334252216245,-0.3710268038196661
anc2,BS,25,1.622308013736284,1.4725573869222377,0.7762646294798324,0.7844034396488468,-0.00813881016901441,BS,-0.0164650035332229,-0.069094467021605,0.0376113541035904
anc2,L,10,1.334468241041217,0.9875676054557221,0.7140872017058889,0.7844034396488468,-0.07031623794295794,L,0.9610952761645052,0.415461382144393,1.6130389660223867
anc2,N,1,1.2916039135100452,0.41317857474523023,0.31626402973601925,0.7844034396488468,-0.4681394099128276,N,-0.4680155218092835,-0.5750866074765113,-0.3568890803962286
anc2,P,17,1.3892527389145775,0.18493648292903095,0.12488886147764135,0.7844034396488468,-0.6595145781712055,P,-0.6602693543056108,-0.6968865548268837,-0.6244029368215986
anc2,S,14,1.368597417986393,0.34966378982233465,0.242162190905985,0.7844034396488468,-0.5422412487428618,S,-0.5433014190122428,-0.6380886252356838,-0.4467856545675954
anc2,none,anc2,1.4954120566345765,1.3102507762735065,0.7844034396488468,0.7844034396488468,0.0,none,-3.545005004067348e-17,-0.0621594894690643,0.0615415309204666
anc3,B,7,1.3038882989013016,0.5177939697600337,0.3897959189489699,1.0370861326741865,-0.6472902137252166,B,-0.632067790147738,-0.7437518956380146,-0.4968971299199871
anc3,BS,2,1.3990986173615516,0.5002010661719539,0.3338255972070075,1.0370861326741865,-0.703260535467179,BS,-0.6823515854971804,-0.75991974713431,-0.6080749019571862
anc3,L,26,1.380073585647231,1.0701269566581306,0.7307528326931629,1.0370861326741865,-0.30633329998102354,L,-0.291349068548889,-0.3927479764192266,-0.198044437793372
anc3,N,27,1.3794058381136973,1.2950657062586968,0.885076431935599,1.0370861326741865,-0.15200970073858744,N,-0.1597523803333943,-0.3327325064062388,0.0283476649446583
anc3,P,29,1.4088296068244572,0.5170184492314136,0.3410935825539226,1.0370861326741865,-0.695992550120264,P,-0.6817219649938939,-0.7469923898549704,-0.6180190520739559
anc3,S,4,1.4541376623735367,0.8963151886052793,0.561363788531778,1.0370861326741865,-0.47572234414240844,S,-0.4588207825387349,-0.6031492171481594,-0.3334779612677166
anc3,none,anc3,1.3826512401773123,1.523500345026986,1.0370861326741865,1.0370861326741865,0.0,none,6.16772119349379e-17,-0.0892097531020352,0.0825574153827101
anc4,B,21,1.383864021122133,0.41422275918491347,0.28155707640637967,0.831160579068186,-0.5496035026618062,B,-0.5524837775202425,-0.6031209956357263,-0.4990070665342396
anc4,BS,35,1.3271958402344703,0.1200510204442209,0.08762895720109395,0.831160579068186,-0.743531621867092,BS,-0.7421562669298838,-0.7753464571723264,-0.7054417399623307
anc4,C,24,1.4109748575580001,0.5387001581714997,0.3545017645312497,0.831160579068186,-0.47665881453693626,C,-0.4823938650277592,-0.5647094682351708,-0.4020079904668686
anc4,L,20,1.3578585135918535,1.9071319894693421,1.338575569363626,0.831160579068186,0.5074149902954401,L,0.4926040293823262,0.3531913695219337,0.6270211783677501
anc4,N,11,1.6100749204222284,1.4692922869766911,0.7835666433935048,0.831160579068186,-0.047593935674681176,N,-0.0479991415664997,-0.1297484758850414,0.0393040767982675
anc4,P,8,1.4626268383817713,0.7287839428108495,0.4521458820189207,0.831160579068186,-0.37901469704926527,P,-0.3803287940766792,-0.4184322995223324,-0.3390039783962759
anc4,S,15,1.2801123597372337,0.6370454445666617,0.4954024800900594,0.831160579068186,-0.3357580989781266,S,-0.3344533363469422,-0.460343806925227,-0.2093914564998721
anc4,none,anc4,1.3664974839375743,1.1970159210117663,0.831160579068186,0.831160579068186,0.0,none,-2.4675753644842338e-17,-0.0767008133648302,0.0815682022351595
anc5,B,16,1.496541607709569,1.6967186615221643,1.0145437668019412,0.9637800419678743,0.05076372483406699,B,0.0462417935058728,-0.0332634608830712,0.1293510278330281
anc5,C,5,1.4380415485610378,1.3679345195275143,0.8724454237852686,0.9637800419678743,-0.09133461818260569,C,-0.0981338005964658,-0.1705736541381621,-0.0201151808726472
anc5,L,23,1.3906567722818863,0.8145862450438863,0.5491658076433212,0.9637800419678743,-0.414614234324553,L,-0.4217270196369719,-0.5434001560261937,-0.2920804660169611
