ancestor_id,treatment,population,umax_rep,ks_rep,rstar,anc_rstar_mean,change_rstar,umax_jb,ks_jb,rstar_056,change_rstar_jb_pt
anc2,B,19,1.3837856358668277,0.49146281390711116,0.3340907680411096,0.7844034396488468,-0.45031267160773725,1.3835087588302062,0.4916638519407685,0.33433980408167,-0.45069611934914316
anc2,BS,25,1.622308013736284,1.4725573869222377,0.7762646294798324,0.7844034396488468,-0.00813881016901441,1.6299140735797832,1.4670948390298926,0.7678870015307593,-0.017148921900053904
anc2,L,10,1.334468241041217,0.9875676054557221,0.7140872017058889,0.7844034396488468,-0.07031623794295794,1.3340259503513898,0.9881660919022442,0.7149282413774867,-0.07010768205332651
anc2,N,1,1.2916039135100452,0.41317857474523023,0.31626402973601925,0.7844034396488468,-0.4681394099128276,1.294700698644082,0.410814325856036,0.3131289012028398,-0.47190702222797337
anc2,P,17,1.3892527389145775,0.18493648292903095,0.12488886147764135,0.7844034396488468,-0.6595145781712055,1.3893881928505245,0.1848766423260273,0.12482806072600318,-0.66020786270481
anc2,S,14,1.368597417986393,0.34966378982233465,0.242162190905985,0.7844034396488468,-0.5422412487428618,1.3705553427377484,0.348507640202552,0.24077847399566607,-0.5442574494351471
anc2,none,anc2,1.4954120566345765,1.3102507762735065,0.7844034396488468,0.7844034396488468,0.0,1.4947602686321089,1.3103935547715044,0.7850359234308132,0.0
anc3,B,7,1.3038882989013016,0.5177939697600337,0.3897959189489699,1.0370861326741865,-0.6472902137252166,1.3010213161885051,0.5197989033415041,0.3928191801127539,-0.6333772076928965
anc3,BS,2,1.3990986173615516,0.5002010661719539,0.3338255972070075,1.0370861326741865,-0.703260535467179,1.3912236514526286,0.5076858097355613,0.34203075544719,-0.6841656323584604
anc3,L,26,1.380073585647231,1.0701269566581306,0.7307528326931629,1.0370861326741865,-0.30633329998102354,1.3785770901588252,1.071475187442759,0.7330111142635626,-0.2931852735420878
anc3,N,27,1.3794058381136973,1.2950657062586968,0.885076431935599,1.0370861326741865,-0.15200970073858744,1.389850033021045,1.2809201140570077,0.8643914386079602,-0.16180494919769017
anc3,P,29,1.4088296068244572,0.5170184492314136,0.3410935825539226,1.0370861326741865,-0.695992550120264,1.404257709272569,0.5188822436723838,0.3441769654752693,-0.682019422330381
anc3,S,4,1.4541376623735367,0.8963151886052793,0.561363788531778,1.0370861326741865,-0.47572234414240844,1.4515901568852247,0.8981284524525547,0.5641066464108309,-0.4620897413948195
anc3,none,anc3,1.3826512401773123,1.523500345026986,1.0370861326741865,1.0370861326741865,0.0,1.3891129534004534,1.519344139040035,1.0261963878056504,0.0
anc4,B,21,1.383864021122133,0.41422275918491347,0.28155707640637967,0.831160579068186,-0.5496035026618062,1.3897007859503234,0.4124321797575241,0.2783678460659454,-0.5527109781433344
anc4,BS,35,1.3271958402344703,0.1200510204442209,0.08762895720109395,0.831160579068186,-0.743531621867092,1.3225583870171511,0.1211401002743011,0.08896165501368071,-0.7421171691955991
anc4,C,24,1.4109748575580001,0.5387001581714997,0.3545017645312497,0.831160579068186,-0.47665881453693626,1.4189401935585664,0.5340106815481412,0.3481569309593251,-0.4829218932499547
anc4,L,20,1.3578585135918535,1.9071319894693421,1.338575569363626,0.831160579068186,0.5074149902954401,1.362602043702141,1.898390852762111,1.3245653756911138,0.49348655148183396
anc4,N,11,1.6100749204222284,1.4692922869766911,0.7835666433935048,0.831160579068186,-0.047593935674681176,1.6105303027872626,1.4688421428101126,0.7829870283525118,-0.04809179585676804
anc4,P,8,1.4626268383817713,0.7287839428108495,0.4521458820189207,0.831160579068186,-0.37901469704926527,1.4638435064626187,0.7282505432219355,0.4512067645430947,-0.3798720596661851
anc4,S,15,1.2801123597372337,0.6370454445666617,0.4954024800900594,0.831160579068186,-0.3357580989781266,1.2817440124455346,0.6354543865415685,0.4930480202496068,-0.338030803959673
anc4,none,anc4,1.3664974839375743,1.1970159210117663,0.831160579068186,0.831160579068186,0.0,1.3665547167352332,1.196983117222797,0.8310788242092798,0.0
anc5,B,16,1.496541607709569,1.6967186615221643,1.0145437668019412,0.9637800419678743,0.05076372483406699,1.499164182314551,1.694340810897649,1.0102928454578723,0.04680409010847664
anc5,C,5,1.4380415485610378,1.3679345195275143,0.8724454237852686,0.9637800419678743,-0.09133461818260569,1.44310091416195,1.3637716863379536,0.8648073307386461,-0.09868142461074958
