"population","salt","pop.ID","µ"
"14",0,"14.0",1.19676011766828
"17",0,"17.0",0.785847560461851
"3",0,"3.0",1.33932538173145
"18",0,"18.0",1.21123440716221
"19",0,"19.0",1.0959606076299
"26",0,"26.0",1.25641384354082
"14",1,"14.1",1.46727848755162
"17",1,"17.1",1.06903413493828
"3",1,"3.1",1.24987159035409
"18",1,"18.1",1.32844288697286
"19",1,"19.1",1.27948889611114
"26",1,"26.1",1.25330361468333
"14",2,"14.2",1.2385637053717
"17",2,"17.2",1.23053202589253
"3",2,"3.2",1.35320831315642
"18",2,"18.2",1.37372501794662
"19",2,"19.2",1.16205494093589
"26",2,"26.2",1.20654879437034
"14",3,"14.3",1.0228410908281
"17",3,"17.3",1.23560659808654
"3",3,"3.3",0.647360512935208
"18",3,"18.3",0.996442672303096
"19",3,"19.3",0.567962976664789
"26",3,"26.3",0.747245897808727
"14",4,"14.4",1.17819773922297
"17",4,"17.4",0.377430631140667
"3",4,"3.4",0.02072197042146
"18",4,"18.4",1.14536629042528
"19",4,"19.4",0.201845236861155
"26",4,"26.4",0.341396808338753
"14",5,"14.5",0.843602638516903
"17",5,"17.5",0.265581634124841
"3",5,"3.5",-0.0838631542426902
"18",5,"18.5",0.840946436985244
"19",5,"19.5",-0.130363113426671
"26",5,"26.5",0.180518083158802
"14",6,"14.6",0.832692397367043
"17",6,"17.6",0.0796055914698365
"3",6,"3.6",-0.0617355366162215
"18",6,"18.6",0.769746067427878
"19",6,"19.6",-0.0757325815285147
"26",6,"26.6",-0.0386774539694377
"14",7,"14.7",0.674120321674374
"17",7,"17.7",0
"3",7,"3.7",-0.0392617802940675
"18",7,"18.7",0.642589761687092
"19",7,"19.7",0.0837998230644494
"26",7,"26.7",-0.0142673177596713
"14",8,"14.8",0.755216081566534
"17",8,"17.8",0.0659656508009305
"3",8,"3.8",0.0769008680455787
"18",8,"18.8",0.688566870445681
"19",8,"19.8",-0.129472239658126
"26",8,"26.8",0
"14",9,"14.9",0.674804267361998
"17",9,"17.9",0.0156979560376628
"3",9,"3.9",0
"18",9,"18.9",0.588245558923478
