"","Sp.id","Sp.name","Study","RSE","RSE.mu","RSE.range","RSE.sd","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)",0.02853354133045,0.0966319215142809,0.0966319215142809,0.241970099624683,9.51010401809617,8.12310993672279,10.5371510402365,0,30.0314536969389,29.8338875234945,30.2975196151348,0,23.8671805277973,23.1525244898154,24.6959974234811,0.286615472600883,0.269907707932381,0.306005801067667,15.4108849723755,14.6610740839819,16.1496936834134,0,28.598421242335,28.3041949391757,28.9009086850687,0,0.0203912412966657,-1.21021219111324,34.5085052920297,3.84264308071804,0.0203862344776752,-1.21009891982731,34.5506623595851,3.8931711612096
"2",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)",0.0789915585014568,0.282112708933774,0.23650167216005,0.655406361497377,1.48332002678031,-3.16987493989284,4.51898795340665,0,24.1621757334058,23.4672944960017,25.0034467912334,0,16.0453198442141,14.4149203492242,17.3997239374364,0.226824664035365,0.179835655551626,0.270020364160652,7.09960596072038,4.03584984302453,9.35296711466107,0,22.1295059919109,21.127805304388,22.8829650082397,0,0.0491204131531436,-0.742778541377641,30.0460581231661,10.3883900486385,0.0510039082704227,-0.731915647364616,30.4612820500238,11.224533183295
"3",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)",0.137402992824546,0.297409075377804,0.22019710388549,0.591714743997526,2.65906049115046,-7.81843727889923,6.1427962347335,0,23.9613066388053,23.3404119016112,24.5648544255324,0,17.066949417672,15.6366735339992,18.5429361990132,0.389357576745731,0.305108886784781,0.473702997396271,8.69611037538198,6.05496576287533,11.2951952864093,0,22.2929367869765,21.5888689506132,23.1526477825787,0,0.0913121660771233,-0.542362868750993,26.7368054578842,8.05368215134883,0.0921352884600269,-0.538224419466906,26.6983070498851,8.75049916695131
"4",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)",0.0102321325102389,0.0461307712985762,0.0461307712985762,0.124914135162831,9.11332995549816,8.54917584084313,9.60198601882326,0,26.2612650374393,26.1400797345719,26.4235590867143,0,20.3616380388134,19.996357382587,20.6949862784297,0.208962865013497,0.202201012523007,0.216427059574957,13.5587383566546,13.2276895730006,13.9222992344574,0,24.7887122043076,24.6442454587524,24.9404445754948,0,0.112608541987452,-0.348432749680747,28.9777453852975,8.38020839846064,0.111921190393201,-0.354074889938215,29.0259040251572,8.41927443268759
"5",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)",0.0623337877877596,0.195403723472601,0.195403723472601,0.484610918558361,3.34162701114459,0.864933192180539,5.9760836350389,0,26.0582327806047,25.263240603412,26.5883469333121,0,18.0238404771545,17.0363742396086,19.0580170153218,0.309497761380674,0.263298859512111,0.356512883349329,9.02315036219526,7.41382617098026,11.032105995638,0,24.0615593966136,23.34557781792,24.5986931434489,0,0.0530180396488621,-0.842453166658814,31.2224709053491,9.85001050391397,0.0534466559031483,-0.865458461194685,31.5187606140373,10.2646387844043
"6",9,"Amphiprora sp.","Hulburt (1982)",0.0748894657075079,0.0831097390449414,0.0831097390449414,0.216913237632145,9.94540198716875,3.37228865547221,12.8213109394879,0,33.9853340869195,33.7845502809564,34.2205353955138,0,28.3272101037028,27.6526781404731,29.0091408677233,0.855936625196956,0.789193035883393,0.929724977862577,19.8573929835408,18.7830438645976,20.9323103922654,0,32.6504098030295,32.3858077628292,32.9148598329635,0,0.16203515880551,-0.214176891502562,34.4692164025665,6.10580865164305,0.161187647303436,-0.219542137852448,34.4907587756374,6.13446732696384
"7",11,"Asterionellopsis glacialis","Hulburt (1982)",0.212165821628134,0.129152142909474,0.129152142909474,0.392620988439641,-4.44946173892205,-14.436216317038,3.29169568486986,0,34.4900790771086,34.4214705279245,34.6158825718171,0,32.5384571213448,31.6329597200501,33.3231678495683,1.81607110237789,1.57532688674703,2.09604013091598,18.5959788493545,15.3006478003433,20.8610101570734,0,34.1876218007886,34.0065681030805,34.3377090406848,0,0.0308584080857255,-0.871677053614955,34.675193087263,0.50310037190003,0.0308898270028273,-0.866993602134461,34.6811757527485,0.502385425308275
"8",12,"Asterionellopsis glacialis","Hulburt (1982)",0.304871306159046,0.239041479121966,0.239041479121966,0.823836360837928,-39.2843730908367,-89.0446345983304,-5.25876259619275,0.242242242242242,27.4994835719128,26.9596916586675,28.4099905482458,0,23.2408502070201,19.1174188298644,26.9496837757934,1.00825411471737,0.763363000795859,1.27050460305883,1.3891533761696,-9.13014460856887,9.61693272540825,0.353353353353353,26.9058041426866,25.7545624415288,27.4902716552875,0,0.0166186096947071,-0.435864526476624,27.7795248744299,1.10056949332901,0.0155551217943891,-0.422063719000532,27.8698778796844,1.12572984141518
"9",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)",0.186159931812508,0.0935790977233743,0.0935790977233743,0.237912855751028,-14.4636355431539,-24.441251207521,-6.70350451487962,0,30.0467928659291,29.8670043907473,30.1460803391995,0,25.4613756610073,24.4766101465365,26.3731144067622,2.2330026769495,2.05704940927689,2.39182591042015,11.5955703292199,9.75297599864275,13.2020308320434,0,29.1198690762558,28.8355966865308,29.3705428200683,0,0.0432276161090957,-0.537820156715306,30.3206222820224,1.73402231366115,0.0431632166386344,-0.541154246543728,30.3160992345761,1.75399948624338
"10",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)",0.0939714189682212,0.212605020290093,0.212605020290093,0.439171686805565,6.69177640187765,4.91223878557215,8.07642903734405,0,24.9696217602241,24.4615564847493,25.4844213300666,0,18.7361457423804,17.9000290912304,19.5838214351386,0.476528321450592,0.392457205595312,0.547652311036381,11.5086580530959,10.2977065137506,12.6877384969158,0,23.4812480493203,22.901948348058,23.968333148647,0,0.0871746888400586,-0.923624094301149,28.2652718251196,7.64635026337934,0.0849088773947035,-0.945456533356779,28.4178253533758,8.33537039125415
"11",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)",0.239181045828255,0.420353331859851,0.420353331859851,1.0190068522766,5.77547687155208,-4.64499190486782,8.89295389220745,0,24.5898544900802,23.6650495999591,27.5458781875333,0,17.9523324288432,15.2389565559809,20.4677581951552,0.405916342816035,0.264491541753435,0.634340609988044,10.454166871964,4.24496039827917,12.7153388456195,0.01001001001001,22.9314628730062,21.7279666301252,25.6715446741053,0,0.0614094552282993,-1.01808710154597,28.797773410564,7.85272719916386,0.0597821167454316,-1.05958471828005,29.3082011642822,8.24904040888352
"12",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)",0.035786621251098,0.188427668386235,0.230487415880561,0.896646619362281,-0.789647757260568,-34.1185387491443,9.55077301198945,0.417417417417417,31.4725949787825,30.468394027229,32.4911921248857,0.416416416416416,28.845485589047,27.0710009546136,30.1444337523749,0.150744531305034,0.117506734014339,0.186567267126893,14.3553427479762,3.07757204232353,19.4279540827715,0.431431431431431,30.8270029158539,30.40030729068,32.0808629480257,0.416416416416416,0.00489046856068113,-0.995986856313472,33.777266754812,0.811054051632701,0.00446304218295455,-0.988561932894081,30.7770318772581,0.1
