"","Sp.id","Parameter","mean","Rhat","n.eff"
"59","Selenastrum minutum","cf.tmax",41.8157834614631,1.06255899197176,1800
"60","Selenastrum minutum","deviance",-0.0137224122090147,1.00089570638453,3000
"61","Asterionella formosa","cf.a",0.0438017449726039,1.00910152089065,390
"62","Asterionella formosa","cf.b",-0.705714185049615,1.00691242737439,550
"63","Asterionella formosa","cf.delta_t",4.48383847934862,1.00080915138135,3000
"64","Asterionella formosa","cf.sigma",0.0833048172830961,1.00160623989984,3000
"65","Asterionella formosa","cf.tmax",27.818853388026,1.00575844105006,680
"66","Asterionella formosa","deviance",-22.7598824566218,1.00221334256018,3000
"67","Anabaena cylindrica","cf.a",0.0472935667681095,1.008439200033,370
"68","Anabaena cylindrica","cf.b",-0.815345323071003,1.00253047783363,990
"69","Anabaena cylindrica","cf.delta_t",14.6250738992602,1.00061076910178,3000
"70","Anabaena cylindrica","cf.sigma",0.357835995734686,1.0016738019956,1700
"71","Anabaena cylindrica","cf.tmax",28.7938481677258,1.00077002168262,3000
"72","Anabaena cylindrica","deviance",-1.42784027256103,1.00186258956434,1500
"73","Coelastrum microporum","cf.a",0.0555209998377942,1.00546228786674,410
"74","Coelastrum microporum","cf.b",-1.56360874624527,1.00052101112727,3000
"75","Coelastrum microporum","cf.delta_t",6.07210647379213,1.00221793024466,3000
"76","Coelastrum microporum","cf.sigma",0.301090629010745,1.00113353189912,3000
"77","Coelastrum microporum","cf.tmax",39.4066743041615,1.16770443376841,680
"78","Coelastrum microporum","deviance",-2.12525126766039,1.00134540982331,2400
"79","Dictyosphaerium pulchellum","cf.a",0.0645117659869094,1.03711757054081,3000
"80","Dictyosphaerium pulchellum","cf.b",-1.53929680750696,1.029658682825,99
"81","Dictyosphaerium pulchellum","cf.delta_t",9.49439904771835,1.02958928592037,130
"82","Dictyosphaerium pulchellum","cf.sigma",0.424790251804225,1.0130393178611,160
"83","Dictyosphaerium pulchellum","cf.tmax",34.7408405842142,1.10620526923522,42
"84","Dictyosphaerium pulchellum","deviance",-6.19898917306641,1.0138721746499,150
"85","Fragilaria bidens","cf.a",0.0503361921095599,1.00192680106254,1400
"86","Fragilaria bidens","cf.b",-0.93493014512588,1.00098904320012,3000
"87","Fragilaria bidens","cf.delta_t",9.13946495081322,1.00240662067576,1100
"88","Fragilaria bidens","cf.sigma",0.18994686307644,1.00088571708898,3000
"89","Fragilaria bidens","cf.tmax",37.0811619873606,1.00079927308986,3000
"90","Fragilaria bidens","deviance",-7.10598536774039,1.00158427031334,1900
"91","Monoraphidium minutum","cf.a",0.0543704608674484,1.00745338446612,720
"92","Monoraphidium minutum","cf.b",-1.55360925092758,1.00064466387581,3000
"93","Monoraphidium minutum","cf.delta_t",8.36595464501082,1.0020437276622,1300
"94","Monoraphidium minutum","cf.sigma",0.749619478772053,1.00317839921283,750
"95","Monoraphidium minutum","cf.tmax",40.1013643387305,1.01676258584938,3000
"96","Monoraphidium minutum","deviance",6.69847316671288,1.00268529971457,920
"97","Pediastrum boryanum","cf.a",0.0408259321621692,1.00158240041685,3000
"98","Pediastrum boryanum","cf.b",-1.0785733134664,1.00157894539427,1900
"99","Pediastrum boryanum","cf.delta_t",11.0973555277184,1.00090405550071,3000
"100","Pediastrum boryanum","cf.sigma",0.497312646942147,1.0007215718588,3000
"101","Pediastrum boryanum","cf.tmax",38.4998231364909,1.00647697750722,3000
"102","Pediastrum boryanum","deviance",0.638117590701574,1.00065538994024,3000
"103","Scenedesmus crassus","cf.a",0.0468665485767052,1.00210693545645,3000
"104","Scenedesmus crassus","cf.b",-1.12369973057226,1.00062963388592,3000
"105","Scenedesmus crassus","cf.delta_t",16.1483751656445,1.00120073496474,2800
"106","Scenedesmus crassus","cf.sigma",2.40862584877314,1.0031671856708,900
"107","Scenedesmus crassus","cf.tmax",30.0216765680444,1.00568694103188,770
"108","Scenedesmus crassus","deviance",8.01810331665486,1.00195822725743,2100
"109","Scenedesmus quadricauda","cf.a",0.0592674911931679,1.00298592313162,3000
