"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Acutodesmus obliquus","a",0.275018336429,0.0523323278997446,0.0343540056658058
"2",1,"Acutodesmus obliquus","b",-0.125608656319192,0.148485063768597,0.486661934778266
"3",1,"Acutodesmus obliquus","tmax",35.8280822039035,0.378167212267432,0.00011139047375959
"4",1,"Acutodesmus obliquus","delta_t",3.63504515208354,0.689840743092517,0.0341788523690502
"5",2,"Anabaena cylindrica","a",0.214326706194737,0.366884246094841,0.663415008243445
"6",2,"Anabaena cylindrica","b",-0.0718640046241384,0.313536618998793,0.85656146340222
"7",2,"Anabaena cylindrica","tmax",37,16.4149585871911,0.265826103946826
"8",2,"Anabaena cylindrica","delta_t",4.66368761439852,7.9604207208088,0.662618806962173
"9",3,"Ankistrodesmus falcatus","a",0.0845621292870936,0.0736692219660653,0.334259475137628
"10",3,"Ankistrodesmus falcatus","b",-0.203791719705786,0.749947644229761,0.803448593083114
"11",3,"Ankistrodesmus falcatus","tmax",37.6727689868294,5.73819677528688,0.00718754599566217
"12",3,"Ankistrodesmus falcatus","delta_t",10.8512905138607,6.4610844975221,0.191649763433477
"13",4,"Asterionella formosa","a",0.0318101119646451,0.00267186127505658,0.0533470763081119
"14",4,"Asterionella formosa","b",-0.786005754353913,0.0192630509574357,0.0155988486802596
"15",4,"Asterionella formosa","tmax",26,3.99747117988838,0.0971190923558819
"16",4,"Asterionella formosa","delta_t",2.26315232057564,1.96557267522416,0.455274155571381
"17",5,"Ceratium furca","a",0.0914413496261163,0.0207527609188743,0.0022678090390229
"18",5,"Ceratium furca","b",-0.897409123527769,0.369015959275619,0.0410804375223095
"19",5,"Ceratium furca","tmax",34.3735054352602,1.15904654146783,1.81165970833737e-09
"20",5,"Ceratium furca","delta_t",9.15758317127707,0.703520767771212,1.15087759492435e-06
"21",6,"Ceratium fusus","a",0.0252311340813815,0.00361136796997653,0.000114157849617344
"22",6,"Ceratium fusus","b",-1.2762298636586,0.0882913538388487,5.13297034616305e-07
"23",6,"Ceratium fusus","tmax",33.4591911814656,0.410153968401909,5.68579869361693e-13
"24",6,"Ceratium fusus","delta_t",2.67349668558149,0.630095081430504,0.0028258974445916
"25",7,"Chaetoceros calcitrans","a",0.0847327368442696,8.24364302590568,0.992732156135614
"26",7,"Chaetoceros calcitrans","b",-1.78910132269888,113.665672883419,0.988870805961942
"27",7,"Chaetoceros calcitrans","tmax",33.4651284876462,109.519430635235,0.788807531363523
"28",7,"Chaetoceros calcitrans","delta_t",7.10034787225799,424.726674690242,0.988179802030079
"29",8,"Chaetoceros deflandrei","a",0.0124743837903046,0.0129300267890357,0.405831691566895
"30",8,"Chaetoceros deflandrei","b",-0.606725564055254,0.121163649377231,0.0153294146179261
"31",8,"Chaetoceros deflandrei","tmax",16.3213407760962,0.385612989713731,2.9025932072975e-05
"32",8,"Chaetoceros deflandrei","delta_t",0.46478797189452,0.55076367484234,0.460701983740442
"33",9,"Chlorella vulgaris","a",0.0783664376398533,0.206442671399954,0.740756302152378
"34",9,"Chlorella vulgaris","b",-0.401491588861929,2.67399262887896,0.894423503036731
"35",9,"Chlorella vulgaris","tmax",40,20.8294838299496,0.19478705325563
"36",9,"Chlorella vulgaris","delta_t",11.4758192610402,18.6903590737575,0.60175329005475
"37",10,"Chroococcus minutus","a",0.0981646423190174,0.0313529928776343,0.196811794677985
"38",10,"Chroococcus minutus","b",-0.125625698995201,0.541749237398144,0.854938700617098
"39",10,"Chroococcus minutus","tmax",38.8765952757542,1.98944404946942,0.0325495479925314
"40",10,"Chroococcus minutus","delta_t",9.31630637097109,1.83491093475855,0.123802052158581
"41",11,"Closterium parvulum","a",0.0126169293878049,0.00190040105550361,0.0219433275976055
"42",11,"Closterium parvulum","b",-0.978598729680661,0.0273086489079279,0.000777829109744536
"43",11,"Closterium parvulum","tmax",32.8216702713734,0.890098398319763,0.00073464224903012
"44",11,"Closterium parvulum","delta_t",2.46421915520164,0.85695851793285,0.102651663250153
"45",12,"Coelastrum microporum f. astroidea","a",0.0363901032215118,0.00155523796118175,0.0271912689353593
"46",12,"Coelastrum microporum f. astroidea","b",-1.32172654742014,0.0582367032879003,0.0280320258349715
"47",12,"Coelastrum microporum f. astroidea","tmax",40,1.90092027569723,0.0302313410020635
"48",12,"Coelastrum microporum f. astroidea","delta_t",2.60878591937341,1.09361543025071,0.252707358459509
"49",13,"Coelastrum microporum","a",0.0394659322153901,0.00981840245736187,0.155228092436211
"50",13,"Coelastrum microporum","b",-1.67750498550361,0.356117674258689,0.133171012866163
"51",13,"Coelastrum microporum","tmax",37,23.0345324011996,0.354494800263962
"52",13,"Coelastrum microporum","delta_t",2.10241330693443,10.1888535801008,0.870455213037755
"53",14,"Corethron criophilum","a",0.037648735970401,310.228690126118,0.999914186929652
"54",14,"Corethron criophilum","b",-0.323591189069597,3862.34443262095,0.999940757866702
"55",14,"Corethron criophilum","tmax",12.0968081538455,37545.5191230579,0.999772176945369
"56",14,"Corethron criophilum","delta_t",9.73664680478836,17938.9992930392,0.999616207773792
"57",15,"Coscinodiscus granii","a",0.217040567021093,NA,NA
"58",15,"Coscinodiscus granii","b",0,NA,NA
"59",15,"Coscinodiscus granii","tmax",25,NA,NA
"60",15,"Coscinodiscus granii","delta_t",4.54092196277911,NA,NA
"61",16,"Coscinodiscus wailesii","a",0.0394350196778487,NA,NA
"62",16,"Coscinodiscus wailesii","b",-0.864900097376816,NA,NA
"63",16,"Coscinodiscus wailesii","tmax",25,NA,NA
"64",16,"Coscinodiscus wailesii","delta_t",1.97063133351594,NA,NA
"65",17,"Cosmarium subprotumidum","a",0.0300728633280461,0.00328988307545433,0.0693684866941662
