,Species,dataset,r.max,R,comp,Sp count
30,Scenedesmus obliquus,"Edwards et al., 2015",0.97,0.110344828,9.0625,55
31,Scenedesmus obliquus,"Edwards et al., 2015",1.12,0.024509804,40.8,55
32,Scenedesmus obliquus,"Edwards et al., 2015",0.92,0.075609756,13.22580645,55
10,Scenedesmus quadricauda,"Edwards et al., 2015",0.281,0.01051506,95.10169524,56
11,Scenedesmus quadricauda,"Edwards et al., 2015",0.358,0.004751188,210.4736759,56
21,Scenedesmus quadricauda,"Edwards et al., 2015",0.63,0.006603774,151.4285714,56
15,Selenastrum capricornutum,"Edwards et al., 2015",1.63,0.010960784,91.23434705,57
100,Selenastrum capricornutum,"Narwani et al., 2015",0.6142954,0.0140282,71.28498311,57
28,Skeletonema costatum,"Edwards et al., 2015",0.71,0.08852459,11.2962963,58
22,Sphaerocystis schroeteri,"Edwards et al., 2015",0.48,0.006578947,152,59
53,Stephanodiscus hantzschii,"Edwards et al., 2015",1,0.017777778,56.25,60
57,Stephanodiscus hantzschii,"Edwards et al., 2015",0.52,0.047619048,21,60
58,Stephanodiscus hantzschii,"Edwards et al., 2015",0.61,0.062745098,15.9375,60
59,Stephanodiscus hantzschii,"Edwards et al., 2015",0.79,0.044927536,22.25806452,60
80,Synechococcus elongatus,"Levasseur et al., 2025",1.164493546,0.826201542,1.210358429,61
50,Synechococcus sp.,"Edwards et al., 2015",0.5,0.0035,285.7142857,62
81,Tetraedron minumum,"Levasseur et al., 2025",0.6135644,1.167239808,0.856721981,63
101,Tetrastrum heteracantum,"Narwani et al., 2015",0.3558299,0.0248241,40.28343424,64
16,Trichodesmium erythraeum,"Edwards et al., 2015",0.25,0.093333333,10.71428571,65
17,Trichodesmium erythraeum,"Edwards et al., 2015",0.18,0.275,3.636363636,65
38,Volvox aureus,"Edwards et al., 2015",0.31,0.10952381,9.130434783,66
39,Volvox aureus,"Edwards et al., 2015",0.38,0.092857143,10.76923077,66
40,Volvox aureus,"Edwards et al., 2015",0.69,0.206779661,4.836065574,66
41,Volvox aureus,"Edwards et al., 2015",0.51,0.151219512,6.612903226,66
42,Volvox aureus,"Edwards et al., 2015",0.44,0.058823529,17,66
43,Volvox globator,"Edwards et al., 2015",0.16,1.716666667,0.582524272,67
44,Volvox globator,"Edwards et al., 2015",0.43,0.375757576,2.661290323,67
45,Volvox globator,"Edwards et al., 2015",0.9,0.3575,2.797202797,67
46,Volvox globator,"Edwards et al., 2015",0.51,0.180487805,5.540540541,67
