pops,temp,well.rep,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln
25,16,B02_16,1.2138568868829018,1.45799798010977,1.0078378111108193,1.6546117939918932,NA
25,16,C05_16,1.5529595143598365,1.5422567469248758,0.8724504856122531,1.9158278712506478,NA
25,16,E03_16,1.4290627359339596,1.4290631280651562,1.040051484325616,1.6058661044081237,NA
25,16,F02_16,1.3896217819545422,1.3896215061027324,1.1174809902577767,1.6643289497781197,NA
25,22,B02_31,0.5679854802647185,0.5989491098800468,2.6007924426670077,3.170509046063444,NA
25,22,C05_31,0.9233050966773487,0.9233049822907374,2.4248213428992846,3.514606024492125,NA
25,22,E03_31,0.9658932585328728,0.9658932331113214,2.4080567370420853,3.0661952345101473,NA
25,22,F02_31,1.1922271672186764,1.1922271529203525,2.089997834780631,2.548421185149491,NA
25,28,B02_46,1.9871097738834298,1.9871221211754169,3.4817376699331817,9.209246975084154,NA
25,28,C05_46,1.9488593679587873,1.7387373862721265,3.7739162500188765,5.112929538065939,NA
25,28,E03_46,1.800468560702284,1.6815940471526816,3.2579912886146065,3.9430753446542917,NA
25,28,F02_46,1.7640185491400406,1.8199988379925391,3.0692609990146917,4.0430113432869454,NA
25,34,B02_61,2.326786905015268,2.326786931424682,4.26359576574283,6.750071300343691,NA
25,34,C05_61,1.7511788661775765,1.75117885956097,3.5682041607019137,6.678109343715042,NA
25,34,E03_61,1.4942153425950522,1.4942153403951206,3.45758613626531,7.537056947214205,NA
25,34,F02_61,1.5648878621182631,1.5648879062155805,3.8074683874343003,8.546397696722291,NA
25,40,B02_76,-5.190955653963737,-4.398958716264816,-0.4173411465549049,NA,3.3885241116488247
25,40,C05_76,-4.724260538380571,-4.740463162059794,-0.15980751961053402,NA,3.3885241116488247
25,40,E03_76,-3.8949357168976055,-3.9097228713792695,0.407953909388576,NA,3.3885241116488247
25,40,F02_76,-5.269857924353484,-4.963828642288699,0.642411108532558,NA,3.3885241116488247
25,10,B02_1,0.6742491945773653,0.9129833740399049,0.2647544367644715,0.3322941909833589,NA
25,10,C05_1,0.7009722034432897,0.7009702452128111,0.3254561086266797,0.3546465233679676,NA
25,10,E03_1,0.5586195487948465,0.558618863044984,0.29866552137351443,0.3351250125018096,NA
25,10,F02_1,0.3054885851582835,0.30548860317968307,0.2198532830163943,0.3838250214499212,NA
6,16,C02_16,0.9087204085974686,0.9087204348273569,1.0716492505949016,1.4371801880130866,NA
6,16,C09_16,0.9567512697308485,0.9354395965356646,0.8740248537683086,1.15155927020531,NA
6,16,E09_16,0.8498796271292024,0.9183104034354589,0.9271519976303954,1.2401655065385335,NA
6,16,F04_16,0.8719117916163126,0.8719112380689389,0.9740139509642037,0.7737108501955522,NA
6,22,C02_31,1.0364495420193731,1.0609701594292744,2.029128609262737,3.617544723440185,NA
6,22,C09_31,1.3237986402939514,1.323798610643067,1.8263939843729868,2.81599187661829,NA
6,22,E09_31,1.3437651685445458,1.4116228473014458,1.7968228952678114,2.532601333287454,NA
6,22,F04_31,1.4989621493926713,1.4884534041057509,1.6354700256309518,1.9851238348126337,NA
6,28,C02_46,1.6827521242460557,1.4986534358846602,2.8200052543464684,2.8284101625415494,NA
6,28,C09_46,2.6705699424663614,2.1564285453189243,2.960795793974473,2.6280427928440884,NA
6,28,E09_46,2.785095665368597,2.211540164461794,2.817348341483569,3.3998286718365343,NA
6,28,F04_46,2.186056680377079,1.8611306189392935,2.5763086535707944,3.9123039054278688,NA
6,34,C02_61,2.771898442589443,2.4046590616282004,4.175462570986152,4.819362198240948,NA
6,34,C09_61,5.968937545514938,5.514405867539188,3.7352212165257703,3.9062694601544377,NA
6,34,E09_61,7.123994846366847,5.96860034432497,3.6184883747114758,4.127679536486192,NA
6,34,F04_61,2.395393028735546,2.3953928446663135,3.7870046366592223,4.1194439302365184,NA
6,40,C02_76,-5.912686958439186,-4.549521751005417,-1.3668017044764715,NA,3.3885241116488247
6,40,C09_76,-8.239152317380773,-4.607916867594124,-1.7409575903792998,NA,3.3885241116488247
6,40,E09_76,-6.296738015479957,-5.588108949121815,-1.1545932166734827,NA,3.3885241116488247
6,40,F04_76,-7.1323378606232515,-5.208682909324093,-1.0254986215491229,NA,3.3885241116488247
6,10,C02_1,0.46590052059694853,0.46590052105544844,0.4157700612986391,0.4293126245193291,NA
6,10,C09_1,0.3965661723749543,0.396566172176158,0.33155100061158244,0.2955796113174165,NA
6,10,E09_1,0.3857839613325395,0.3857839608761336,0.3087726610791288,0.3338247130995992,NA
6,10,F04_1,0.4210080851105815,0.4210080855994937,0.30184275173880465,0.3335700312357237,NA
24,16,B11_16,1.2679258667295592,1.2679260302520432,0.9361478764151384,1.5834425139726807,NA
24,16,D02_16,1.8354248919029938,1.842756638569553,0.9686427348874957,1.1381679047356281,NA
24,16,E06_16,1.0786679186803945,1.2748204225907434,1.0814924774514445,1.5699365801124812,NA
24,16,E11_16,1.2329595311591073,1.2329598912590833,0.8564491577542617,1.835890816375888,NA
24,22,B11_31,1.2054641349512771,1.2054641862364666,2.371013404665971,3.764797375926516,NA
24,22,D02_31,0.8532909178368764,0.9251448966979013,2.148131086280648,2.8559553579937065,NA
24,22,E06_31,0.9786773269223165,0.9900673540426976,1.8206085345830887,2.228742296355133,NA
24,22,E11_31,1.0455100650353284,1.0455100602374756,2.171119115782578,2.683134046618343,NA
