"","population","population.number","salt","well.ID","r.exp"
"120","21",12,9,"70_B3",-0.201614278917448
"121","22",13,0,"3_B3",1.46056430912002
"122","22",13,1,"10_B3",1.57485414710907
"123","22",13,2,"17_B3",1.05971081237747
"124","22",13,3,"24_B3",0.65479410136153
"125","22",13,4,"31_B3",0.18752731574419
"126","22",13,5,"38_B3",0.040603382257015
"127","22",13,6,"45_B3",-0.101840055484642
"128","22",13,7,"52_B3",-0.0908884027545174
"129","22",13,8,"59_B3",0.0455372948849717
"130","22",13,9,"66_B3",-0.0907249751106292
"131","23",14,0,"5_A3",1.36291524736283
"132","23",14,1,"12_A3",1.42056988683223
"133","23",14,2,"19_A3",1.54371104742397
"134","23",14,3,"26_A3",0.810027164365942
"135","23",14,4,"33_A3",0.493567841713553
"136","23",14,5,"40_A3",0.291296139407574
"137","23",14,6,"47_A3",0.536160319017484
"138","23",14,7,"54_A3",0.0337442836740719
"139","23",14,8,"61_A3",-0.105811963243294
"140","23",14,9,"68_A3",-0.0531017165064956
"141","24",15,0,"7_B2",1.75364394811841
"142","24",15,1,"14_B2",1.60939078478441
"143","24",15,2,"21_B2",1.30981149830372
"144","24",15,3,"28_B2",0.535653281771405
"145","24",15,4,"35_B2",0.0192003532060022
"146","24",15,5,"42_B2",-0.0116412189021888
"147","24",15,6,"49_B2",-0.106214001623379
"148","24",15,7,"56_B2",NA
"149","24",15,8,"63_B2",0.0505626967788176
"150","24",15,9,"70_B2",0.0606051902579315
"151","25",16,0,"6_B1",1.35249851915109
"152","25",16,1,"13_B1",1.22124938703092
"153","25",16,2,"20_B1",1.49068040764443
"154","25",16,3,"27_B1",1.32338834812805
"155","25",16,4,"34_B1",1.30817535695437
"156","25",16,5,"41_B1",0.743948720634435
"157","25",16,6,"48_B1",0.987236487468436
"158","25",16,7,"55_B1",0.456914215201315
"159","25",16,8,"62_B1",-0.236727612206318
"160","25",16,9,"69_B1",-0.352601213992815
"161","26",17,0,"7_A1",1.25641384363415
"162","26",17,1,"14_A1",1.25330361425037
"163","26",17,2,"21_A1",1.20654879435814
"164","26",17,3,"28_A1",0.747245897915356
"165","26",17,4,"35_A1",0.341396808770735
"166","26",17,5,"42_A1",0.180518081704873
"167","26",17,6,"49_A1",-0.0386774551555585
"168","26",17,7,"56_A1",-0.0142673175598248
"169","26",17,8,"63_A1",NA
"170","26",17,9,"70_A1",-0.0408301259859249
"171","27",18,0,"4_B1",1.33299913328699
"172","27",18,1,"11_B1",1.19339138939259
"173","27",18,2,"18_B1",1.10519466812173
"174","27",18,3,"25_B1",0.627133631042165
"175","27",18,4,"32_B1",0.181521318433271
"176","27",18,5,"39_B1",-0.0418470863347225
"177","27",18,6,"46_B1",0.020788594319899
"178","27",18,7,"53_B1",-0.10187412865524
"179","27",18,8,"60_B1",0.103656442509403
"180","27",18,9,"67_B1",-0.169136013913653
"181","28",19,0,"5_B1",0.944837443132998
"182","28",19,1,"12_B1",1.14442228731181
"183","28",19,2,"19_B1",1.38892436541147
"184","28",19,3,"26_B1",0.657225747777977
"185","28",19,4,"33_B1",0.32571049809925
"186","28",19,5,"40_B1",0.285977779887183
"187","28",19,6,"47_B1",0.0685154619723698
"188","28",19,7,"54_B1",0.000844114935729326
"189","28",19,8,"61_B1",0.0582035147584353
"190","28",19,9,"68_B1",0.0834225745912206
"191","29",20,0,"3_A3",1.04203509676052
"192","29",20,1,"10_A3",0.972726686948744
"193","29",20,2,"17_A3",1.25836657375397
"194","29",20,3,"24_A3",0.869265765649452
"195","29",20,4,"31_A3",0.367315111968898
"196","29",20,5,"38_A3",0.149972216325639
"197","29",20,6,"45_A3",0.00963053430707598
"198","29",20,7,"52_A3",-0.0355516612324741
"199","29",20,8,"59_A3",0.657795809894076
"200","29",20,9,"66_A3",0.421427189382504
"201","3",21,0,"4_A1",1.33932538168626
"202","3",21,1,"11_A1",1.24987159026014
"203","3",21,2,"18_A1",1.35320831315185
"204","3",21,3,"25_A1",0.647360512626024
"205","3",21,4,"32_A1",0.0207219695126725
"206","3",21,5,"39_A1",-0.0355796253553257
"207","3",21,6,"46_A1",-0.0617355360090998
"208","3",21,7,"53_A1",-0.0588891275509958
"209","3",21,8,"60_A1",0.0769008414896929
"210","3",21,9,"67_A1",NA
"211","30",22,0,"2_A3",1.44130469823176
"212","30",22,1,"9_A3",1.31876462059481
"213","30",22,2,"16_A3",1.23765347192083
"214","30",22,3,"23_A3",0.532149082254737
"215","30",22,4,"30_A3",0.312302087564973
"216","30",22,5,"37_A3",-0.00407239538579988
"217","30",22,6,"44_A3",-0.0160061414138621
"218","30",22,7,"51_A3",-0.103731086026413
"219","30",22,8,"58_A3",-0.234171650729919
"220","30",22,9,"65_A3",-0.258664612003399
"221","31",23,0,"2_B2",1.53727009238315
"222","31",23,1,"9_B2",1.36081175398723
"223","31",23,2,"16_B2",1.11963347840956
"224","31",23,3,"23_B2",0.657618564903678
"225","31",23,4,"30_B2",0.0190494292233961
"226","31",23,5,"37_B2",-0.200151617350666
"227","31",23,6,"44_B2",0.119911358967376
"228","31",23,7,"51_B2",NA
"229","31",23,8,"58_B2",-0.13242617883594
"230","31",23,9,"65_B2",-0.0568824476575951
"231","32",24,0,"5_B3",1.22928257218163
"232","32",24,1,"12_B3",1.11871498803366
"233","32",24,2,"19_B3",1.30377473972779
"234","32",24,3,"26_B3",0.963865936707489
"235","32",24,4,"33_B3",1.01116595052902
"236","32",24,5,"40_B3",0.650796272633333
"237","32",24,6,"47_B3",0.857891304283271
"238","32",24,7,"54_B3",0.69452036145871
"239","32",24,8,"61_B3",-0.145722494440684
"240","32",24,9,"68_B3",-0.143268985416052
"241","33",25,0,"2_A2",1.46921368697294
"242","33",25,1,"9_A2",1.16253700158613
"243","33",25,2,"16_A2",1.09150996532254
"244","33",25,3,"23_A2",0.707164181746934
"245","33",25,4,"30_A2",0.0919674212061856
"246","33",25,5,"37_A2",0.117872207104509
"247","33",25,6,"44_A2",-0.0169711243198593
"248","33",25,7,"51_A2",0.0404587409502529
"249","33",25,8,"58_A2",0.0920579775663447
"250","33",25,9,"65_A2",-0.230145196780411
"251","35",26,0,"7_A3",1.76955272726123
"252","35",26,1,"14_A3",1.25436732162126
"253","35",26,2,"21_A3",1.18828287035015
"254","35",26,3,"28_A3",0.771120453945721
"255","35",26,4,"35_A3",0.798718969584005
"256","35",26,5,"42_A3",0.125492373832261
"257","35",26,6,"49_A3",0.043319123556402
"258","35",26,7,"56_A3",0.0929172638306047
"259","35",26,8,"63_A3",0.771458601240158
"260","35",26,9,"70_A3",0.545818675350314
"261","4",27,0,"3_B2",1.21710720761106
"262","4",27,1,"10_B2",1.21759689210764
"263","4",27,2,"17_B2",1.07546979341878
"264","4",27,3,"24_B2",1.14641533300565
"265","4",27,4,"31_B2",0.866709227365769
"266","4",27,5,"38_B2",0.678238972534374
"267","4",27,6,"45_B2",0.58372185633625
"268","4",27,7,"52_B2",0.37055794196734
"269","4",27,8,"59_B2",0.31727363686281
"270","4",27,9,"66_B2",0.387520644907952
"271","5",28,0,"2_B3",1.66655561194759
"272","5",28,1,"9_B3",1.32430953167356
"273","5",28,2,"16_B3",1.39512324661931
"274","5",28,3,"23_B3",0.789363652035871
"275","5",28,4,"30_B3",0.358527789319651
"276","5",28,5,"37_B3",0.285973257397866
"277","5",28,6,"44_B3",0.228218228782312
"278","5",28,7,"51_B3",0.226131419176717
"279","5",28,8,"58_B3",-0.0847765112632157
"280","5",28,9,"65_B3",-0.0531022322606121
"281","6",29,0,"7_A2",1.06997069571403
