31	MA25_Oocystis_solitaria	Oocystis solitaria	0.02205402	0.6964549	2.44251							46.1	4.2	0.425	12.80027035	279.7290812	21.85337289	2411.768962	26.382
32	MA41_Pandorina_charkowiensis	Pandorina charkowiensis	0.03490127	0.7187422	1.53973							50.7	5.05	0.376	11.70803707	347.7328643	29.70035561	459.9111136	9.78
33	MA40_Pediastrum_boryanum	Pediastrum boryanum	0.1106116	0.6473504	0.489869	6.038947	0.5048414	0.00918975				52.5	5.15	0.561	11.88829523	241.3359752	20.3003013	396.6610363	13.158
34	MA7_Pediastrum_duplex	Pediastrum duplex	0.02560517	0.6738454	2.10924							50.1	3.52	0.361	16.59826025	357.8954255	21.5622252	680.852766	11.072
35	MA32_Pediastrum_tetras	Pediastrum tetras	0.0654653	0.8572004	0.811073	2.726693	0.3796491	0.0211186				52.8	5.84	0.602	10.54359178	226.1846117	21.45233014	3049.286483	30.037
36	MA12_Planktosphaeria_botryoides	Planktosphaeria botryoides	0.08382068	1.584183	0.615952				2.49745	0.5642929	0.0219668	51.1	4.21	0.404	14.15488391	326.1858809	23.04405201		
37	MA54_Quadrigula_closterioides	Quadrigula closterioides	0.04523518	0.3985955	1.26388							54	7.38	0.782	8.533062085	178.078968	20.86929244		
38	MA33_Radiococcus_polycoccus	Radiococcus polycoccus	0.04399351	0.7514775	1.21754				19.34093	0.4963988	0.00287475	47.7	5.06	0.465	10.99348453	264.5398175	24.0633274	70.83527508	4.983
39	MA5_Scenedesmus_acuminatus	Scenedesmus acuminatus	0.02170626	1.082324	2.3041	6.409013	0.6868754	0.008414				49.5	5.2	0.522	11.10118558	244.5458626	22.02880592	121.9785701	18.31
40	MA30_Scenedesmus_ecornis	Scenedesmus ecornis										53.3	4.26	0.457	14.59100201	300.7714659	20.61348944	143.1296084	7.548
41	MA38_Scenedesmus_obliquus	Scenedesmus obliquus										50.5	6.58	0.63	8.950205191	206.7171231	23.09635574		
42	MA45_Scenedesmus_quadricauda	Scenedesmus quadricauda										48.4	4.91	0.488	11.49559294	255.7709185	22.24947594	960.258739	25.348
43	MA1_Selenastrum_capricornutum	Selenastrum capricornutum	0.1023337	1.214062	0.509584	3.880065	0.6142954	0.0140282				52.1	7.2	1.065	8.438645333	126.1576931	14.94999353	35.87368383	12.398
44	MA22_Sphaerocystis_schroeteri	Sphaerocystis schroeteri	0.05191429	0.5980179	1.051							50.8	4.31	0.489	13.74529135	267.9047888	19.49065917	92.89743648	5.372
45	MA53_Spondulosium_planum	Spondylosium planum	0.01658775	0.4304931	3.19772							46.2	3.18	0.239	16.94268994	498.505206	29.42302597	268.1474711	11.148
46	MA50_Staurastrum_cingulum	Staurastrum cingulum	0.03203383	0.4849764	1.74027							48.6	4.06		13.95975329			4802.909645	31.494
47	MA44_Staurastrum_punctulatum	Staurastrum punctulatum	0.04438398	0.7275168	1.20967							49.3	4.44		12.94885765			3370.627608	26.625
48	MA9_Staurastrum_tetracerum	Staurastrum tetracerum	0.046773	0.6708826	1.15508							48.5	4.05	0.483	13.96542712	258.9525734	18.54240269	1311.340048	14.151
49	MA2_Tetraedron_minutum	Tetraedron minutum	0.03316162	0.6570455	1.63196							53.9	3.87	0.293	16.24221697	474.4022808	29.20797584		
50	MA48_Tetrastrum_heterocantum	Tetrastrum heteracantum	0.04863113	0.5982583	1.12191	2.343472	0.3558299	0.0248241				52.4	4.3	0.461	14.2111865	293.1271092	20.62650499	206.465433	7.27
51	MA31_Volvox_tertius	Volvox tertius										26.4	3.77	0.707	8.16638939	96.29641886	11.79179859	370.171376	8.644
