"","Sp.id","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","Synechococcus",8.51819124471202,-4.6,36.3,24.8,28.1,0.70641816009204
"2","Kirchneriella_subcapitata",10.8644000327216,7.2,36.8,19.2,28.6,0.606239191636223
"3","Microcystis_aeruginosa",4.16986643404736,-5,33.7,33.5,18.7,0.278867831565525
"4","Pediastrum_boryanum",-1.96580540950413,5.3,36.2,19.7,26.6,0.562687940300436
"5","Cyclotella_meneghiniana",-7.31086120315951,14.6,35.1,13.4,28.4,0.739166080419385
"6","Scenedesmus_acuminatus",-3.52218331270151,7.9,35.1,17.4,26.4,0.742368581374611
