"","Sp.id","Sp.name","Study","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)",9.4853637789024,30.0387141747383,23.8362763167289,0.286564147522359,13.2206719664208
"2",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)",6.79341401629548,16.8921113931117,13.4568780315055,0.158928170136729,6.5860350470025
"3",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)",1.9605822657055,24.155607129181,15.8170317949408,0.225938361605954,15.0012321902868
"4",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)",2.99735666012784,23.9370617214297,16.971634225387,0.387299167386661,13.5382170129605
"5",5,"Alexandrium minutum","Cannon (1993)",-3.10561469244668,27.3305983365287,22.4095205696949,0.357097173055783,11.8607749201979
"6",6,"Alexandrium monilatum","Juhl (2005)",15.484622411959,32.0298602846896,28.9918970170364,0.812396626843681,9.19818204145411
"7",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)",9.12608042312199,26.269166315177,20.3539442273171,0.208980357025666,11.2422241026355
"8",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)",3.87824780816512,25.9928807093128,17.8663557916845,0.307433960353751,14.8491014016677
"9",9,"Amphiprora sp.","Hulburt (1982)",10.0139238329341,33.9884145252896,28.3216590933393,0.856437812566489,12.7831090300152
"10",10,"Apedinella radians","Throndsen (1976)",-1e+09,28.3870998745476,21.8397566292912,1.3076657619267,16.020806454681
"11",11,"Asterionellopsis glacialis","Hulburt (1982)",-4.62041045286106,34.500125483841,32.5553915323455,1.82421433286436,15.5386187808031
"12",12,"Asterionellopsis glacialis","Hulburt (1982)",-55.4543386117499,27.5011475917333,23.2352193256322,0.988177345762719,32.4390241726818
"13",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)",-14.226268092388,30.0117924733762,25.418465735963,2.22764923278424,17.4342243191542
"14",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)",6.77802374477319,24.9886919598494,18.5589750882339,0.467504191050521,12.0520322209564
"15",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)",5.31838010841885,24.842466924744,17.8026061036789,0.409656590181996,13.0376973698659
"16",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)",-2.57760914512639,30.5785797512621,30.0052310520821,0.154223035897588,16.2590346958648
"17",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)",-16.8922864442876,16.0356059544315,11.6873765035304,0.567335246396835,16.5869262721387
"18",18,"Chaetoceros didymus","Hulburt (1982)",5.55167721521939,34.034287428627,25.6295051981231,1.4439520335863,17.4881772085341
"19",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)",-1e+09,35.9366822706822,30.3579244005415,1.53200568809785,13.6478972557694
"20",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)",7.35297046049419,36.4503184695697,27.5058028587452,1.24930726261706,18.2141345099806
"21",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)",3.46111867578467,35.9943262836951,30.4202653597504,1.61379869330659,16.5509074249201
"22",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)",12.453361656492,34.8392185778643,27.5916923630353,1.47184825993788,14.3352336066522
