"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"61","Lactin 2","20",11,"11.D08","cf.a",0.0629687846578049,1.10497375409771,79
"62","Lactin 2","20",11,"11.D08","cf.b",-1.16225155725593,1.01664233394216,270
"63","Lactin 2","20",11,"11.D08","cf.delta_t",5.46628523917033,1.10326337111526,52
"64","Lactin 2","20",11,"11.D08","cf.sigma",0.703808163229858,1.09565808483739,55
"65","Lactin 2","20",11,"11.D08","cf.tmax",39.5544987278378,1.30574689503102,59
"66","Lactin 2","20",11,"11.D08","deviance",6.0407820172521,1.11956427965131,46
"67","Lactin 2","20",11,"11.E09","cf.a",0.0625508164947583,1.00244720687891,2900
"68","Lactin 2","20",11,"11.E09","cf.b",-1.23849547797148,1.00136638828019,4000
"69","Lactin 2","20",11,"11.E09","cf.delta_t",5.83302852728473,1.00118450677767,5100
"70","Lactin 2","20",11,"11.E09","cf.sigma",0.907805357054074,1.00190023831849,2500
"71","Lactin 2","20",11,"11.E09","cf.tmax",40.0230589495615,1.01377680206326,3300
"72","Lactin 2","20",11,"11.E09","deviance",11.9199322594274,1.00198912336585,2400
"73","Lactin 2","21",12,"12.C02","cf.a",0.0753908617083298,1.00293508569224,2400
"74","Lactin 2","21",12,"12.C02","cf.b",-1.3574352226416,1.0023064720649,1900
"75","Lactin 2","21",12,"12.C02","cf.delta_t",5.19983495150524,1.00110322507951,5800
"76","Lactin 2","21",12,"12.C02","cf.sigma",0.595464380294212,1.00114834475208,5400
"77","Lactin 2","21",12,"12.C02","cf.tmax",40.4322041078047,1.07612449979239,1300
"78","Lactin 2","21",12,"12.C02","deviance",6.44579134359094,1.00137900379248,4000
"79","Lactin 2","21",12,"12.C09","cf.a",0.0778895656565104,1.00180782911703,5000
"80","Lactin 2","21",12,"12.C09","cf.b",-1.28477277399338,1.00087626335426,6000
"81","Lactin 2","21",12,"12.C09","cf.delta_t",5.89294087063505,1.00133177524558,4500
"82","Lactin 2","21",12,"12.C09","cf.sigma",0.536959757966292,1.00251922750267,1700
"83","Lactin 2","21",12,"12.C09","cf.tmax",40.5599194376678,1.15908249932904,1000
"84","Lactin 2","21",12,"12.C09","deviance",5.56743581361666,1.00349281561778,1200
"85","Lactin 2","21",12,"12.E09","cf.a",0.0787822014230911,1.00211439602144,2200
"86","Lactin 2","21",12,"12.E09","cf.b",-1.30412128689451,1.00141260621247,3800
"87","Lactin 2","21",12,"12.E09","cf.delta_t",6.34000191137883,1.00140733165503,3900
"88","Lactin 2","21",12,"12.E09","cf.sigma",0.447604800971487,1.00085406885059,6000
"89","Lactin 2","21",12,"12.E09","cf.tmax",40.6265353961028,1.19061438656189,1700
"90","Lactin 2","21",12,"12.E09","deviance",3.1096941223046,1.00074021024439,6000
"91","Lactin 2","21",12,"12.F04","cf.a",0.0865936536681925,1.00529777061486,790
"92","Lactin 2","21",12,"12.F04","cf.b",-1.37386759333903,1.00240920010194,1800
"93","Lactin 2","21",12,"12.F04","cf.delta_t",5.00066927962622,1.00175753510279,2800
"94","Lactin 2","21",12,"12.F04","cf.sigma",0.525368437235575,1.00308813993455,1400
"95","Lactin 2","21",12,"12.F04","cf.tmax",40.5076019459989,1.03964722215971,5400
"96","Lactin 2","21",12,"12.F04","deviance",4.24268622177227,1.00330766460929,1300
"97","Lactin 2","22",13,"13.B05","cf.a",0.0716010847322905,1.00719204138392,1700
"98","Lactin 2","22",13,"13.B05","cf.b",-1.59867529053033,1.00201121465892,2300
"99","Lactin 2","22",13,"13.B05","cf.delta_t",4.73010088519444,1.00297221793097,1500
"100","Lactin 2","22",13,"13.B05","cf.sigma",0.5573919709958,1.00245999205319,1800
"101","Lactin 2","22",13,"13.B05","cf.tmax",40.7013971068472,1.10350598342434,1600
"102","Lactin 2","22",13,"13.B05","deviance",4.89856164925272,1.00251859137606,1700
"103","Lactin 2","22",13,"13.D03","cf.a",0.0758468781134289,1.00714306848153,4000
"104","Lactin 2","22",13,"13.D03","cf.b",-1.42097374987433,1.00226568105096,2000
"105","Lactin 2","22",13,"13.D03","cf.delta_t",6.57090735346048,1.0046808981829,6000
"106","Lactin 2","22",13,"13.D03","cf.sigma",0.354643117827228,1.00248192099163,2900
"107","Lactin 2","22",13,"13.D03","cf.tmax",41.0149794717332,1.1804409373609,1200
"108","Lactin 2","22",13,"13.D03","deviance",0.112259627194097,1.00438348441619,1900
"109","Lactin 2","22",13,"13.E10","cf.a",0.0702389431471884,1.00343723703648,4600
"110","Lactin 2","22",13,"13.E10","cf.b",-1.42093473197298,1.00109787190772,5800
"111","Lactin 2","22",13,"13.E10","cf.delta_t",6.4285510077273,1.00132355183938,6000
"112","Lactin 2","22",13,"13.E10","cf.sigma",0.884097737017467,1.00088513718676,6000
"113","Lactin 2","22",13,"13.E10","cf.tmax",40.4356767590943,1.00181480625427,6000
"114","Lactin 2","22",13,"13.E10","deviance",11.9240335180071,1.00072272393145,6000
"115","Lactin 2","22",13,"13.F06","cf.a",0.0746111231005422,1.00525481364278,760
"116","Lactin 2","22",13,"13.F06","cf.b",-1.31794558157086,1.00275291964895,1600
"117","Lactin 2","22",13,"13.F06","cf.delta_t",5.75185809310812,1.00141189758441,3800
