"","model","AICc"
"1","Deutsch",-6.2473668291224
"2","Lactin2",-5.78309819667183
"3","Ratkowsky bounded",-8.09532014477226
"4","Rezende",-6.569783681016
"5","Ashrafi II",56.1595949301947
"6","Atkin",28.9437062305811
"7","Mitchell-Angilletta",46.1584798539204
"8","Analytis-Kontodimas",23.6348942990464
"9","Eubank",51.0998631801665
"10","Taylor-Sexton",14.7751480713677
"11","Briere",-1.15060697034758
"12","Thomas 1",1636.72307577543
