"","Pop.fac","anc","evol","T.min","T.max","T.br","Topt","r.max_T","K.s_I","r.max_I","I.jag","I.mth","I.comp","K.s_N","r.max_N","N.jag","N.mth","N.comp","K.s_P","r.max_P","P.jag","P.mth","P.comp","r.max_S","S.c.mod","S.c.pred"
"1","1","anc2","N",7.67966149475118,39.9034146117462,15.5937054558009,34.3855246406053,3.66278123020193,6.81513152588401,1.33061064213197,4.85,4.95253172722403,0.201916929578261,7.10384843552573,1.31360696527689,5.5,5.27881947379924,0.18943629441457,0.935349640224852,1.34074500181682,0.675,0.67089228532623,1.49055224195004,1.48855897803162,3.24655626225251,3.815
"2","1","anc2","N",10.5908358923299,39.8814108668767,14.9375599897619,33.1430119527749,3.69924490467564,6.81513152588401,1.33061064213197,4.85,4.95253172722403,0.201916929578261,7.10384843552573,1.31360696527689,5.5,5.27881947379924,0.18943629441457,0.935349640224852,1.34074500181682,0.675,0.67089228532623,1.49055224195004,1.48855897803162,3.24655626225251,3.815
"3","10","anc2","L",5.46040506600997,39.9931389489205,18.3353131897293,32.45475591932,3.16763111375775,8.64056068819463,1.55101420756516,4.85,4.88258790686496,0.204809420552161,4.00608009388507,1.27778279794347,3,3.12546477709307,0.319952413903087,1.55642173074268,1.38393273167312,1.05,1.0578487001554,0.945314769355105,1.55118255385155,3.67656151297771,3.785
"4","10","anc2","L",10.2265563915268,40.0893941849262,17.639966681877,31.5620600530368,3.22948146069584,8.64056068819463,1.55101420756516,4.85,4.88258790686496,0.204809420552161,4.00608009388507,1.27778279794347,3,3.12546477709307,0.319952413903087,1.55642173074268,1.38393273167312,1.05,1.0578487001554,0.945314769355105,1.55118255385155,3.67656151297771,3.785
"5","11","anc4","N",6.22087054921709,39.9373970087451,16.987868616859,33.3871899349572,3.65026769684443,2.75162310859888,1.0847549555167,2.65,2.93643523441931,0.340548971854901,5.88068948150845,1.46939849922181,3.5,3.62127946380249,0.276145492220575,1.18711135592561,1.45290631594714,0.725,0.744515239107904,1.34315585158233,1.10210393992995,4.13593597925878,4.005
"6","11","anc4","N",10.4811492626569,39.9815295176215,16.6040506747389,32.1809770968711,3.70040505937909,2.75162310859888,1.0847549555167,2.65,2.93643523441931,0.340548971854901,5.88068948150845,1.46939849922181,3.5,3.62127946380249,0.276145492220575,1.18711135592561,1.45290631594714,0.725,0.744515239107904,1.34315585158233,1.10210393992995,4.13593597925878,4.005
"7","14","anc2","S",6.87399079864912,39.7775789562917,17.3540069400893,32.6451611395212,3.75605028640121,3.6732766145864,1.142200329927,3.3,3.53320807019518,0.28302890181748,5.85057819236909,1.31692453710887,4.5,4.32846819874653,0.231028611990169,1.12056520103492,1.36260185703551,0.775,0.781852804200262,1.27901312705897,2.02384622597987,5.01854209318464,3.525
"8","14","anc2","S",10.5387518835823,39.7814045741198,16.6365518613141,31.9208098062535,3.8335184217056,3.6732766145864,1.142200329927,3.3,3.53320807019518,0.28302890181748,5.85057819236909,1.31692453710887,4.5,4.32846819874653,0.231028611990169,1.12056520103492,1.36260185703551,0.775,0.781852804200262,1.27901312705897,2.02384622597987,5.01854209318464,3.525
"9","15","anc4","S",6.24543125114615,39.7949482417059,17.9489747761621,32.2862009719176,3.52778097390715,5.65367199156273,1.33527969176372,3.9,4.08376015637983,0.244872363142521,8.35957335131171,1.32681495513224,6.5,6.10494232722318,0.163801711203855,1.70234733158022,1.42090327824549,1.1,1.10734217161743,0.903063231611019,1.76712575384548,5.99951612424202,3.675
"10","15","anc4","S",10.5774091131067,39.8361492313547,17.3452101344368,31.4307508904925,3.60925839325587,5.65367199156273,1.33527969176372,3.9,4.08376015637983,0.244872363142521,8.35957335131171,1.32681495513224,6.5,6.10494232722318,0.163801711203855,1.70234733158022,1.42090327824549,1.1,1.10734217161743,0.903063231611019,1.76712575384548,5.99951612424202,3.675
"11","16","anc5","B",5.68007131241269,39.9354255483632,18.4519847810569,32.0941264650072,3.56663659802574,3.96210188154793,1.17829635767323,3.2,3.58853327555825,0.27866538309985,7.27967588159471,1.3782460829962,5,4.98214238773445,0.200716864789313,1.7232170454291,1.43638155943399,1.1,1.10112032259504,0.908165964681565,1.52392572297098,4.46601263287007,3.8
"12","16","anc5","B",10.3105457065747,40.0321255599032,18.0949694623495,31.0865186868879,3.6252286115213,3.96210188154793,1.17829635767323,3.2,3.58853327555825,0.27866538309985,7.27967588159471,1.3782460829962,5,4.98214238773445,0.200716864789313,1.7232170454291,1.43638155943399,1.1,1.10112032259504,0.908165964681565,1.52392572297098,4.46601263287007,3.8
"13","17","anc2","P",7.4775450938777,39.9657032539913,12.7429184917906,36.7281086869906,6.1446852043701,5.09354279239534,1.48081087306711,2.95,3.09768710076202,0.322821501162594,1.49543665069347,1.46592035099725,1,0.924412972361726,1.08176759727328,0.69908673910924,1.38412187793732,0.475,0.475037229785751,2.10509816346608,1.27486536284239,4.86162387838372,3.92
"14","17","anc2","P",11.2708069159476,39.9358485144602,13.2566771949496,34.1108725526064,5.8504884967095,5.09354279239534,1.48081087306711,2.95,3.09768710076202,0.322821501162594,1.49543665069347,1.46592035099725,1,0.924412972361726,1.08176759727328,0.69908673910924,1.38412187793732,0.475,0.475037229785751,2.10509816346608,1.27486536284239,4.86162387838372,3.92
"15","18","anc5","S",6.07700332773792,39.7151949438023,18.2341951346839,32.0400798723738,3.14663528296279,8.86333213206018,1.4217392134069,5.75,5.75982375727174,0.173616423373633,5.04112501146894,1.42216448129287,3.5,3.27435201481427,0.305403938084746,1.85719689482165,1.52170202491483,1.075,1.08144751092962,0.924686579693908,2.34501538590153,3.78768472904725,3.29
"16","18","anc5","S",10.5253261754918,39.7542040601901,17.4309581849283,31.2718549412881,3.2295228938117,8.86333213206018,1.4217392134069,5.75,5.75982375727174,0.173616423373633,5.04112501146894,1.42216448129287,3.5,3.27435201481427,0.305403938084746,1.85719689482165,1.52170202491483,1.075,1.08144751092962,0.924686579693908,2.34501538590153,3.78768472904725,3.29
"17","19","anc2","B",5.06625963888369,39.9495999263838,17.6963760506711,33.0426740407277,3.42585771435195,6.09703199127615,1.13242424230907,5.7,5.96469831770533,0.167653072584014,6.34249387537274,1.37927461383861,4.5,4.33529430817735,0.230664847393122,1.0990463069037,1.28998449745966,0.825,0.843121921092687,1.18606808218674,1.23811677894993,3.91137676000735,3.94
"18","19","anc2","B",10.5775273063608,40.0417919706797,17.3152216967534,31.7000425755985,3.52480212741208,6.09703199127615,1.13242424230907,5.7,5.96469831770533,0.167653072584014,6.34249387537274,1.37927461383861,4.5,4.33529430817735,0.230664847393122,1.0990463069037,1.28998449745966,0.825,0.843121921092687,1.18606808218674,1.23811677894993,3.91137676000735,3.94
"19","2","anc3","BS",7.05242749353627,40.0360407917242,17.7086454118819,32.6234199761459,3.59672640900083,5.50851936945275,1.18204013030232,4.7,4.95911870733208,0.201648732167168,6.44480828288695,1.49844152850398,4,3.84583645202717,0.260021457613699,1.06549381366725,1.45241855427704,0.65,0.66860615211775,1.49564881632122,1.89314995341106,6.1392382277185,3.605
"20","2","anc3","BS",10.4750359183285,40.1085795789445,17.2166571406087,31.8742760404376,3.68455649453026,5.50851936945275,1.18204013030232,4.7,4.95911870733208,0.201648732167168,6.44480828288695,1.49844152850398,4,3.84583645202717,0.260021457613699,1.06549381366725,1.45241855427704,0.65,0.66860615211775,1.49564881632122,1.89314995341106,6.1392382277185,3.605
"21","20","anc4","L",7.20308681676441,39.9427187048958,14.9833215563687,35.0868892871452,3.93101718622885,6.4845302575887,1.1765920573447,5.7,5.8893670474571,0.169797533748856,8.32962766561981,1.35378059320571,6,5.87642420673074,0.17017151329113,2.64860557702362,1.41426495664655,1.725,1.73625186377265,0.575953305430659,1.2907080900462,4.05080283450614,3.91
"22","20","anc4","L",10.7735745102648,39.9251093738894,14.8241776965754,33.2440563473443,3.88537360442266,6.4845302575887,1.1765920573447,5.7,5.8893670474571,0.169797533748856,8.32962766561981,1.35378059320571,6,5.87642420673074,0.17017151329113,2.64860557702362,1.41426495664655,1.725,1.73625186377265,0.575953305430659,1.2907080900462,4.05080283450614,3.91
"23","21","anc4","B",6.7861903266459,39.8772954116166,16.7006827842217,33.2663489940279,4.43451241027755,2.61794901530275,1.25588571023542,1.9,2.10674170629767,0.474666636641173,4.49007399711519,1.51580031977886,3,2.63071834812344,0.380124311184177,0.867809281419143,1.40810772179635,0.55,0.57300881138707,1.74517386142688,1.91463963200343,3.46996840208886,3.59
"24","21","anc4","B",10.5695799026734,39.8849471042882,16.1027468343346,32.4091073323848,4.52405210699881,2.61794901530275,1.25588571023542,1.9,2.10674170629767,0.474666636641173,4.49007399711519,1.51580031977886,3,2.63071834812344,0.380124311184177,0.867809281419143,1.40810772179635,0.55,0.57300881138707,1.74517386142688,1.91463963200343,3.46996840208886,3.59
