iteration,phosphate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,number_of_points
2,1,29,B10_6,days,0.9551253548057187,0.21517737374543194,4.438781541853423,0.047190515,4
2,1,29,E06_6,days,0.8084442264101259,0.16930628430745753,4.775039684540026,0.041168365472944016,4
2,1,29,F04_6,days,1.0728977150425159,0.22736046375503552,4.718928248661938,0.04209191,4
2,1,3,D09_6,days,0.9782394489202932,0.2044537056475793,4.784650128,0.041013174883609636,4
2,1,3,F09_6,days,0.6395806502202352,0.12046351708843818,5.309330705915615,0.03369224,4
2,1,30,E08_6,days,0.6505928442076893,0.14853998798603002,4.379917172666505,0.048376297,4
2,1,33,C03_4,days,0.42617506077134626,0.021033772164578413,20.261466057383636,0.002427029,4
2,1,35,D07_5,days,1.1010708147528916,0.43233895475312173,2.5467767885538684,0.12574620407876116,4
2,1,35,F07_5,days,1.2263320694434654,0.2819580251867491,4.349342667693993,0.049009466027474066,4
2,1,7,B08_6,days,0.6298720883266461,0.1866325823468474,3.3749310029695674,0.077700386,4
2,1,7,C07_6,days,0.8827341328877502,0.20686231347144085,4.267254475,0.050770602537956885,4
2,1,cc1690,B04_6,days,0.8944275217001696,0.19022619787443235,4.701915570486133,0.042377934,4
2,2,10,F08_9,days,1.1976121714194001,0.1269056577387093,9.437027417,0.011043047853273058,4
2,2,16,E04_9,days,1.2622849540774754,0.080753045,15.631422407266262,0.004067681,4
2,2,28,B02_8,days,1.4279923732134483,0.46549540085239566,3.067683097617224,0.091855958,4
2,2,29,B10_9,days,1.3965983657952454,0.3136457739026813,4.452788725374585,0.046914620027483235,4
2,2,30,E03_9,days,1.313718300893537,0.1560574248345227,8.418172363708765,0.013819379891275753,4
2,2,30,E08_9,days,1.1091898872749681,0.097084687,11.424972554592873,0.007574145,4
2,2,7,B08_9,days,0.9814350069171542,0.35776076928706046,2.743271736789199,0.11115909964622224,4
2,2,7,C07_9,days,1.0409988538948611,0.2907269123575103,3.580675918350251,0.069914776,4
2,2,7,D10_9,days,1.143824196292048,0.2041754236674254,5.602163941901183,0.030416845357797477,4
2,2,anc2,E05_8,days,1.198014204013309,0.5135542550187246,2.332789948297923,0.14486740754447613,4
2,4,22,B05_11,days,0.063792615,0.30551349692965885,0.20880457115227077,0.8539363583683899,4
2,4,26,B09_11,days,1.2508765372037571,0.34115587204423764,3.666583634361586,0.066994913,4
2,4,27,B07_11,days,1.434034547078966,0.5374157567866209,2.6683894712233838,0.11642259824339786,4
2,4,31,B04_11,days,1.2700253521128981,0.20588591453167998,6.168587856054997,0.025287600123637073,4
2,4,35,D07_11,days,1.5827027817537676,0.2707326359057702,5.8459992326327255,0.028035865,4
2,4,35,F07_11,days,1.5320125715487949,0.28157799573494996,5.440810698116063,0.032160287,4
2,4,6,F04_10,days,1.3852252547877733,0.34904989285720817,3.9685594613674646,0.058023067,4
2,6,25,E03_13,days,1.4702738362366947,0.2660919265996808,5.5254357207486144,0.031228033943920618,4
2,6,6,F04_13,days,1.7724697437281283,0.058730342141873636,30.17979598086473,0.001096107,4
2,8,28,F02_17,days,1.3207136146293665,0.23902898028414113,5.525328406034253,0.031229191,4
2,8,29,F04_18,days,1.3807519375622812,0.16498437904849636,8.368985873,0.013978896,4
2,20,19,F03_22,days,1.687797151725932,0.31426854882468663,5.370556990312965,0.032965761981407146,4
2,20,25,B02_22,days,1.5767501833666666,0.32040748654207174,4.921077844913678,0.038899775,4
2,20,25,C05_22,days,1.655650145539851,0.20460469672311973,8.091945942865383,0.014930759711911544,4
2,20,29,F04_24,days,1.6734706701651567,0.20430793617825727,8.190923473012155,0.014579904346842155,4
2,50,2,E04_29,days,1.908891577577934,0.087564628,21.799802235796566,0.00209762,4
2,50,2,F09_29,days,1.6661175293359103,0.28394127,5.867824467549732,0.027836306177998857,4
2,50,25,B02_28,days,1.5274006663500657,0.3194956272852271,4.780662193496911,0.041077468069137174,4
2,50,25,F02_28,days,1.4706848979968739,0.31722260570742766,4.636128925040345,0.043511231627848083,4
2,50,30,C03_30,days,1.7943146574091993,0.3236407461400334,5.544155607133696,0.031027203,4
2,50,30,C09_30,days,1.522351068283091,0.2678097516242356,5.684449722424988,0.029581018269721142,4
2,50,30,E03_30,days,1.5219823965111683,0.3043846419280296,5.000194447626021,0.03774678,4
2,50,30,E08_30,days,1.4816577278302967,0.3162938007392863,4.684434928434127,0.042674807,4
2,50,33,D05_28,days,1.4483794522916298,0.3144356354078558,4.606282778390976,0.044040092,4
2,50,33,G03_28,days,1.3042781121995783,0.093992968,13.876337069867198,0.005153273,4
2,50,cc1690,F07_30,days,1.753389596021803,0.1597822753655631,10.973617643197615,0.008202219,4
3,0.5,1,B09_1,days,0.5878423522440047,0.085983162,6.836714778116791,0.00640399,5
3,0.5,1,F11_1,days,0.411675884,0.085258676,4.8285512022872545,0.016932447296835202,5
3,0.5,10,C02_3,days,0.15660647469022942,0.10167531855450163,1.5402604773377988,0.22113918474858615,5
3,0.5,10,D05_3,days,0.3277332336566721,0.1954850999194472,1.6765126027084412,0.19223107388407634,5
3,0.5,10,D11_3,days,0.406400047,0.19221780577688416,2.114268472994233,0.12485979954595132,5
3,0.5,11,B07_1,days,0.5947421628512676,0.3052262978384622,1.9485285739239564,0.14648432959524987,5
3,0.5,11,C07_1,days,0.6291627753413194,0.14447392532700962,4.354853472121287,0.022371393296852872,5
3,0.5,11,D11_1,days,0.6015647090167958,0.061418421781421186,9.794532187063892,0.002261818,5
3,0.5,11,G02_1,days,0.6067151959047679,0.12109110264796384,5.010402768142353,0.015304977320727841,5
3,0.5,14,B04_1,days,0.5077335018250241,0.14079316830865501,3.606236779272848,0.036600673,5
3,0.5,14,D06_1,days,0.4444200677582798,0.077812989,5.711386685652351,0.010648257,5
3,0.5,15,E07_3,days,0.3669090049850016,0.099031729,3.704964151341955,0.034160336,5
3,0.5,15,F02_3,days,0.216503456,0.1328404597435663,1.629800561,0.20163521884445412,5
3,0.5,16,B05_3,days,0.30253382120190436,0.14542746244370897,2.0803073650481045,0.12896469187035806,5
3,0.5,16,E04_3,days,0.45642979714174536,0.15441048755610143,2.9559507541604795,0.059738035,5
3,0.5,17,C11_2,days,0.8044292219658362,0.14469743320336245,5.559388333000112,0.011481069805010144,5
3,0.5,17,E07_2,days,0.5746699145900646,0.051802711697150124,11.093433060989343,0.001569322,5
3,0.5,17,F05_2,days,0.42538509211967457,0.14089238345601993,3.0192199300287945,0.056794267,5
3,0.5,18,B11_2,days,0.3826422396834236,0.14907250103792796,2.566819748909085,0.082721589,5
3,0.5,18,D02_2,days,0.3468646521294657,0.15309751492792192,2.265645215030231,0.10835957854650986,5
3,0.5,18,E06_2,days,0.4140496257287196,0.090147515,4.5930231935592145,0.019391733548099414,5
3,0.5,18,E11_2,days,0.3246776181674219,0.19739489471957875,1.6448126413231827,0.19855754021994224,5
3,0.5,19,B03_1,days,0.4320670965984804,0.1548590855929578,2.7900661749621527,0.068415089,5
3,0.5,19,D04_1,days,0.28509921200571336,0.18773218496224212,1.5186485581204647,0.22615496160916318,5
3,0.5,2,B10_2,days,0.40183674161618405,0.23344831783439174,1.7213092188620827,0.1836764563429849,5
3,0.5,2,C08_2,days,0.35700939570476714,0.043927732042282355,8.127198449,0.003894666,5
3,0.5,2,F09_2,days,0.4994553922654791,0.14140500188546923,3.5320914084072657,0.038581392585769515,5
3,0.5,20,D03_3,days,0.4239099101935449,0.1203145269379414,3.523347686952208,0.038823899886762284,5
3,0.5,20,D08_3,days,0.33279888263426527,0.12249648660093902,2.7168034926457567,0.072745303,5
3,0.5,21,C02_2,days,0.8394169142960302,0.15237641838165344,5.5088374120565256,0.011776860661795608,5
3,0.5,21,C09_2,days,0.7460569885713775,0.22266602074890277,3.3505650573092836,0.04404038,5
3,0.5,21,E09_2,days,0.6955157309311539,0.1282804933955435,5.421835483486816,0.012309702433825837,5
3,0.5,23,B06_1,days,0.5064632303614837,0.17838279648387845,2.839193242534775,0.065690186,5
3,0.5,23,C10_1,days,0.39076787248484113,0.23268052364177755,1.6794180551460611,0.19166271618435676,5
3,0.5,23,F10_1,days,0.477476892,0.058245261,8.197695150065417,0.003798449,5
3,0.5,25,B02_1,days,0.936848621,0.1700543703686562,5.509112287628866,0.011775225474048258,5
3,0.5,25,F02_1,days,0.6769873716536656,0.16281039423463278,4.1581336058804155,0.025293497,5
3,0.5,26,C06_2,days,0.3794589774708723,0.16226720119124569,2.338482297624938,0.10136161092459467,5
3,0.5,26,E02_2,days,0.38928764208723055,0.30034795401847997,1.296122170565138,0.2856363854760927,5
3,0.5,27,C07_2,days,0.3182559900611566,0.20265497514763273,1.5704326519953895,0.21434144989804096,5
3,0.5,27,D11_2,days,0.3120916595498034,0.095707816,3.2608795468086385,0.047100259,5
3,0.5,28,B02_2,days,0.982107644,0.31104676299614686,3.1574276310765366,0.050972182184697415,5
3,0.5,28,E03_2,days,0.6694453366586548,0.17242615872631623,3.882504497019117,0.030272668,5
3,0.5,29,D02_3,days,0.8575370952098267,0.15760648134019606,5.441001460839796,0.012189655328574581,5
3,0.5,3,C10_3,days,0.5516976810487012,0.18504333840970547,2.9814511875438843,0.058529055,5
3,0.5,3,D09_3,days,0.9187025812242621,0.075954085,12.095499231278499,0.001216227,5
3,0.5,30,C03_3,days,0.14139969038635614,0.038874671,3.6373218302610666,0.035808944,5
3,0.5,31,B04_2,days,0.25873630607780135,0.17976392960585075,1.4393115829471737,0.24566712868520668,5
3,0.5,31,D06_2,days,0.34018788827850965,0.19530431504849646,1.7418349829804674,0.17990213338281752,5
3,0.5,31,D09_2,days,0.48412720435420553,0.20366397297163222,2.3770880892205626,0.097874871,5
3,0.5,31,F08_2,days,0.4108335809658335,0.17801607771811925,2.307845371227484,0.10423637803533532,5
3,0.5,32,C04_1,days,0.13703191773917853,0.12969095511137835,1.0566035050130964,0.3682527681928477,5
3,0.5,32,D08_1,days,0.33512953541017765,0.069498965,4.822079537270108,0.016994425155671396,5
3,0.5,33,C03_1,days,0.2728878276537784,0.10121690701101368,2.6960696163545554,0.074032127,5
3,0.5,33,D05_1,days,0.2661226875267489,0.085790821,3.101994897861726,0.053212625,5
3,0.5,33,G03_1,days,0.4015688765558343,0.059678904,6.728824534181997,0.006701263,5
3,0.5,35,C04_2,days,0.5456233668273882,0.19989706006068358,2.7295217181370806,0.071969677,5
3,0.5,35,F07_2,days,0.8589143387137523,0.2233869191466126,3.8449625519479604,0.031045431262684057,5
3,0.5,4,B03_2,days,0.36980859172875985,0.2257201298808449,1.6383500750419453,0.19987592644939536,5
3,0.5,4,D04_2,days,0.4338027280358219,0.13386699726899623,3.240550224370284,0.04783097,5
3,0.5,4,D10_2,days,0.4545523671190683,0.2082951355623354,2.182251476453884,0.11710151062303545,5
3,0.5,4,F03_2,days,0.36308983355435054,0.1632722138773828,2.223831140227145,0.11264082432864586,5
3,0.5,5,B09_3,days,0.45090066250475785,0.16939921183528037,2.6617636388013577,0.076223841,5
3,0.5,5,C04_3,days,0.24073178852467625,0.17559036604135328,1.3709851739131378,0.2639391115820434,5
3,0.5,5,D06_3,days,0.3413314966893853,0.17004335246268085,2.0073204376766025,0.13834169039126157,5
3,0.5,5,E10_3,days,0.31521266023195627,0.1789478222425325,1.7614780458447858,0.17637293230273046,5
3,0.5,6,C02_1,days,0.6349210666794989,0.1096864734939898,5.788508340677841,0.010255861,5
3,0.5,6,C09_1,days,0.5845700834790456,0.10124054648149042,5.774070802609913,0.010327860381945492,5
3,0.5,6,E09_1,days,0.43444303251384786,0.15706606408060483,2.765989171861439,0.069801926,5
3,0.5,7,B08_3,days,0.4651897523967361,0.18232990614566327,2.5513628687171934,0.083843113,5
3,0.5,7,C07_3,days,0.4191310379497897,0.268739955,1.5596156445393765,0.21675146763173744,5
3,0.5,7,D10_3,days,0.40988445091192627,0.13467010737397087,3.043618653794502,0.055707842,5
3,0.5,7,F03_3,days,0.4160668182213457,0.094798885,4.388942111968593,0.021910179,5
3,0.5,8,B05_1,days,0.7661453458783295,0.20870781810146707,3.670899120347538,0.034978161,5
3,0.5,8,D03_1,days,0.8104017013849792,0.18117275911956424,4.473088036652121,0.020823248379450977,5
3,0.5,8,E10_1,days,0.721679145,0.087344872,8.262409972423619,0.003712871,5
3,0.5,8,F06_1,days,0.6502532095894726,0.1186156994731286,5.482016398147887,0.011937853079923162,5
3,0.5,9,D05_2,days,0.1621638601656454,0.12703645713896125,1.2765143472811067,0.2916240945518654,5
3,0.5,9,E08_2,days,0.1439197360822311,0.10082433378250175,1.4274305684250268,0.24874381335956652,5
3,0.5,9,G03_2,days,0.10908818488404713,0.13416352737852213,0.8130986641121271,0.47569601779580767,5
3,0.5,anc2,B06_2,days,0.5201557701727851,0.21586008898926728,2.409689409,0.095043526,5
3,0.5,anc2,C10_2,days,0.3908700507380613,0.28419962837732404,1.3753362485721266,0.26273308087838815,5
3,0.5,anc2,E05_2,days,0.47398304418605275,0.20553926465060793,2.306046219401276,0.10440824981985425,5
3,0.5,anc2,F10_2,days,0.5097485268843761,0.1879047784603762,2.7128023622447026,0.072991456,5
3,0.5,anc3,B07_3,days,0.4962771079915211,0.23847676266237156,2.0810292057433526,0.12887578761680873,5
3,0.5,anc3,C06_3,days,0.6079714358468752,0.3286406749446012,1.849957969899376,0.1614314157965515,5
3,0.5,anc3,D07_3,days,0.4485435452497113,0.14137867577060903,3.1726393163951125,0.050378269,5
3,0.5,anc3,F05_3,days,0.44577512259366014,0.2563168116185892,1.739156787175526,0.18038954623606776,5
3,0.5,anc4,B11_3,days,0.5678244958146113,0.15197791553658013,3.736230318792203,0.033431126,5
3,0.5,anc4,D04_3,days,0.4780777838422621,0.2060705097852864,2.3199718598279375,0.10308683892568626,5
3,0.5,anc4,E02_3,days,0.42813851416981713,0.066733407,6.415654991364156,0.007673792,5
3,0.5,anc4,F06_3,days,0.4410853774984192,0.23235964765499342,1.8982873401208664,0.153891133,5
3,0.5,anc5,C11_1,days,0.9161552152995783,0.3677269189858072,2.491401004382108,0.088374648,5
3,0.5,anc5,E07_1,days,0.7463690998438232,0.281831628,2.648280127241211,0.077107209,5
3,0.5,cc1690,B04_3,days,0.45921946168325517,0.13372251161886906,3.434122318851634,0.041413185,5
3,0.5,cc1690,C05_3,days,0.41338016781839193,0.2161035411706632,1.9128801202379822,0.15169557667983874,5
3,0.5,cc1690,E05_3,days,0.5304053567563678,0.1951394849142267,2.7180832059155366,0.072666792,5
3,1,1,B09_4,days,0.6743382903398846,0.27994708341342295,2.4088062719482908,0.095118898,5
3,1,1,C06_4,days,0.7108824444321736,0.093542185,7.599592062219959,0.004727921,5
3,1,1,E02_4,days,0.6970637702392591,0.08166278,8.53588102,0.003378107,5
3,1,10,C02_6,days,0.8251293946687708,0.19889533270292425,4.148560870964265,0.025447939563807424,5
3,1,10,F08_6,days,0.5055964655353504,0.061026704,8.284839838625224,0.003683806,5
3,1,11,B07_4,days,1.028213204296541,0.2038171731898836,5.044781988702295,0.015020502234990019,5
3,1,11,C07_4,days,0.95213324,0.13757345528582787,6.920908093699882,0.006183966,5
3,1,11,D11_4,days,0.8599436404252232,0.27762306502344336,3.0975223198858024,0.053398758066866475,5
3,1,14,B04_4,days,0.6786258002381022,0.081661058,8.310274453,0.003651209,5
3,1,14,D09_4,days,0.7432860444731026,0.16723280080939873,4.444618764235448,0.02118301,5
3,1,14,F08_4,days,0.8068086337783946,0.15833490896823296,5.0955827684232675,0.014612631261180477,5
3,1,15,B02_6,days,0.592476668,0.2660658744250869,2.2268044318611926,0.11232974389197604,5
3,1,15,C11_6,days,0.4471061337090738,0.22971020101239242,1.9463921573293703,0.14679067102594395,5
3,1,15,E07_6,days,0.4816756906109835,0.1282840608201789,3.754758677979241,0.033008389,5
3,1,15,F02_6,days,0.2900807455469052,0.20553247050144277,1.4113621309527777,0.25297131141242396,5
3,1,16,B05_6,days,0.5535697544640578,0.10801978639526645,5.124706990610341,0.014385297293785173,5
3,1,16,C08_6,days,0.5456761999772658,0.157687737,3.460485950726644,0.04062582,5
3,1,16,E04_6,days,0.6318394230379577,0.093309278,6.771453357,0.006581679,5
3,1,17,B08_5,days,1.2298350382393297,0.1998125518680947,6.154943854834502,0.008629668,5
3,1,17,C11_5,days,1.2981030961542457,0.12843008566515457,10.107468895868259,0.002062754,5
3,1,17,E07_5,days,1.0541198119479267,0.2562325824857765,4.1139179167678295,0.026017124984083043,5
3,1,18,B11_5,days,0.7793913625096206,0.21569008380010132,3.6134779530798924,0.03641426,5
3,1,18,D02_5,days,0.6888508280768162,0.2199144931465848,3.1323575732576217,0.051970412,5
3,1,18,E06_5,days,0.781622067,0.15666903562084022,4.989001581726537,0.015485616244824908,5
3,1,18,E11_5,days,0.7227569766830673,0.2341760733354585,3.0863826794452818,0.053865928,5
3,1,19,D10_4,days,0.5299545573430283,0.1261496933655393,4.200997586315161,0.024616591907953976,5
3,1,19,F03_4,days,0.5226798074557033,0.11922009296825259,4.384158697098894,0.021974150684396444,5
3,1,2,B10_5,days,0.8702466812636871,0.25255411434934555,3.445783029532903,0.041062558010552315,5
3,1,2,C08_5,days,0.750953352,0.13301887302504775,5.645464701508205,0.010999396524253932,5
3,1,2,F09_5,days,0.8099540527508158,0.2603832523334956,3.1106226897935696,0.052855870009158507,5
3,1,20,B06_6,days,0.17105745556164798,0.039749077822379644,4.303432052588115,0.023091165,5
3,1,20,D03_6,days,0.23239640836035375,0.11978946690295271,1.9400404256630461,0.14770589392786976,5
3,1,20,D08_6,days,0.14659521890740893,0.11279499455606086,1.299660676294894,0.28456958909236374,5
3,1,21,C02_5,days,1.2069764647031045,0.15867972988941348,7.606368283738989,0.004715796,5
3,1,21,C09_5,days,0.9062970815473419,0.19365882740209042,4.679864552033114,0.018434095012022273,5
3,1,21,E09_5,days,1.0044464224652376,0.24720472056574985,4.063216997500991,0.026880087386853834,5
3,1,21,F04_5,days,1.088460034290035,0.088819432,12.254751179237346,0.001170155,5
3,1,23,E05_4,days,0.3161393834871822,0.10556394315405547,2.9947667171339174,0.057909954,5
3,1,24,B11_4,days,0.8336707662840723,0.17207147642215972,4.844909706235952,0.016777091,5
3,1,24,D02_4,days,0.7804477319204407,0.12139727745370982,6.4288734334922335,0.00762912,5
3,1,24,E11_4,days,0.6798921528752866,0.1522537161354064,4.465520908997889,0.020918095638782327,5
3,1,25,B02_4,days,0.9705903287026696,0.094475588,10.273451052578364,0.001966542,5
3,1,25,C05_4,days,1.0937003395797764,0.098390295,11.115937234878068,0.001559991,5
3,1,25,E03_4,days,1.0091081266840123,0.18336589838652598,5.503248616909474,0.011810172,5
3,1,25,F02_4,days,1.085414570826537,0.092961698,11.675933118176163,0.001349724,5
3,1,26,B09_5,days,0.5943544000114924,0.17589138427407375,3.379098996033655,0.043120023680527905,5
3,1,26,C06_5,days,0.5905977811404799,0.1530641688833769,3.8584979453321298,0.030763931,5
3,1,26,E02_5,days,0.6454086216001775,0.17229293290454545,3.745995907781951,0.033207459,5
3,1,26,F11_5,days,0.6499838859143249,0.131122754,4.957064032336037,0.015760388184695457,5
3,1,27,B07_5,days,0.7168404729630415,0.30181514754710337,2.3750977337913977,0.098051032,5
3,1,27,D11_5,days,0.6306477522797749,0.095395316,6.610888050891111,0.007047353,5
3,1,27,G02_5,days,0.5817599011360729,0.21787002158688282,2.6702154656191515,0.075676502,5
3,1,28,B02_5,days,0.897912158,0.2740247874463823,3.2767552390150545,0.046539431360646547,5
3,1,28,C05_5,days,0.8888466241163007,0.19873203711370452,4.4725885017107085,0.020829492409595068,5
3,1,28,E03_5,days,1.0345215885071517,0.18671883637525585,5.540531467473559,0.011590258757851652,5
3,1,28,F02_5,days,1.0438921472892344,0.2982341611619638,3.500243376620835,0.039474115,5
3,1,29,D02_6,days,0.9535618590349174,0.18824801204992375,5.065455133635254,0.014852752219148948,5
3,1,3,B03_6,days,0.9780222653804207,0.2330901879296744,4.195896336,0.024695914834969065,5
3,1,3,C10_6,days,0.7695681755131183,0.2273192976224756,3.3854062702199252,0.042919889,5
3,1,30,C03_6,days,0.6255714015839674,0.3674205212214629,1.7026033263038782,0.18719492030959684,5
3,1,30,C09_6,days,0.44123484784152883,0.2895387348109072,1.5239233815457949,0.22491927993667762,5
3,1,30,E03_6,days,0.6888042148379242,0.14233325804045352,4.839376434720228,0.016829431840996667,5
3,1,31,B04_5,days,0.6673985298236792,0.22423198969643507,2.9763751850358298,0.058767246,5
3,1,31,D06_5,days,0.731233408,0.22660451865360784,3.226914503266031,0.048329138,5
3,1,31,D09_5,days,0.8676728546869935,0.24315655234734831,3.568371266621373,0.037595564,5
3,1,31,F08_5,days,0.7401284472254026,0.2697317973919498,2.7439421469094167,0.071102618,5
3,1,32,C04_4,days,0.3629840711348843,0.083207378,4.362402451339522,0.022268182,5
3,1,32,F07_4,days,0.5446079486831402,0.057204405553267675,9.520384722,0.002457657,5
3,1,33,D05_4,days,0.35163439128960317,0.059164219,5.943362331263198,0.009523429,5
3,1,33,E08_4,days,0.4421484310319235,0.11653568604110819,3.7941033004770297,0.032133184,5
3,1,35,C04_5,days,1.3743815822501144,0.265216334,5.182115153565939,0.013950525449214215,5
3,1,35,D08_5,days,1.2168218392745889,0.22106614060831176,5.504333842922475,0.011803693972646608,5
3,1,4,B03_5,days,0.9424836607009607,0.089937054,10.479369942365476,0.001855276,5
3,1,4,D10_5,days,0.9815536755563046,0.12262392995875183,8.004585042140462,0.004069827,5
3,1,5,C04_6,days,0.7814063689697023,0.13155585948869128,5.939730636147552,0.009539807,5
3,1,5,D06_6,days,0.6601169860247728,0.12746272127012584,5.178902344520147,0.013974401,5
3,1,5,E10_6,days,0.6055863732522744,0.12899357758138214,4.694701741024351,0.018276664976291993,5
3,1,6,C02_4,days,0.8290568626282564,0.14680917298805274,5.647173441238067,0.010990104889997679,5
3,1,6,E09_4,days,0.7597428963826636,0.11398457648509147,6.665313148591061,0.006884788,5
3,1,7,D10_6,days,0.6295415408600291,0.14174357465968018,4.4414114881152775,0.021224043095218456,5
3,1,7,F03_6,days,0.5748378306334776,0.10822638788431159,5.311438752330434,0.013032131632020806,5
3,1,9,C03_5,days,0.5230366251098696,0.1352284748200832,3.8677994838420804,0.030572381,5
