"","Sp.id","Sp.name","Study","RSE","RSE.mu","RSE.range","RSE.sd","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t"
"1",62,"Thalassiosira allenii",1,0.26902184522083,0.239614598923909,0.240902010477566,0.9559442313444,-75.1081864890523,-99.8771935730485,-48.7161383186522,0.246246246246246,25.8534518673265,22.8939550452566,27.9969817694842,0,15.6499484098538,13.3538196276072,17.834991009267,1.0172592472512,0.88661235393141,1.14378363870956,37.9805162355513,-8.21935154694558,5.19257100012308,0.743743743743744,37.9805162355513,20.9501316845101,25.6467187062862,0.743743743743744,0.0842145343351656,-0.001,25.8570801992062,8.66030178248634
"2",5,"Ceratium furca",2,0.156615824004995,0.276631210953559,0.24007548842496,0.79687710151805,10.7736081352643,6.02852965935804,13.4006082150259,0,31.7394691906875,30.93056609452,32.6094497117507,0,25.4647577053772,23.9605214239891,27.4272583694445,0.329671740256527,0.262496950994827,0.398950183408516,37.9805162355513,14.3852110746201,18.8785042013335,0.743743743743744,37.9805162355513,29.4369190852675,31.2879434567473,0.743743743743744,0.0220168263258432,-1.26226833223469,36.0583068315487,3.93188608430961
"3",6,"Ceratium fusus",2,0.127752599208481,0.241392992795703,0.140612898238617,0.681204615877822,10.0859603359098,5.22465944194884,13.8455971638045,0.005005005005005,31.2213564467517,30.6741454304755,31.6901413270987,0.005005005005005,27.077799940265,25.0346567293164,29.0564514191166,0.289716449227486,0.235504316001881,0.349939399414564,37.9805162355513,15.4454895690164,20.1888231176431,0.743743743743744,37.9805162355513,29.4307506551054,31.1704327207529,0.743743743743744,0.0146632812421843,-1.15713205736276,33.5052170517454,1.70114987114923
"4",32,"Micractinium pusillum",3,0.107438835535185,0.187819001480197,0.19201488224255,0.748493352779827,7.3057642416824,-0.340417223787685,11.7714215960858,0,43.7911099508355,43.3007055058727,44.655869303409,0,35.3404034750085,34.2676030243107,37.2049172110563,0.400344321731883,0.358444393285734,0.440313758175092,37.9805162355513,17.2714856182881,22.7451502322953,0.743743743743744,37.9805162355513,41.3696718898557,43.1451355593818,0.743743743743744,0.0129500250126937,-1.0985806239296,48,4.11593164850368
"5",10,"Chroococcus minutus",4,0.402259783967736,0.298195484444493,0.318332451984264,1.05204108268481,-10.1803997995827,-65.6482202508083,9.17962758922638,0.474474474474474,40.9269266519142,40.1817180302062,42.085599470525,0.354354354354354,32.0206213647652,22.1183595067328,35.7559358325313,0.728625113741147,0.521388348542574,0.966292627625284,37.9805162355513,-5.93539959727545,21.7136054887187,0.743743743743744,37.9805162355513,38.2652793624631,41.0174203193447,0.743743743743744,0.0146937009559085,-0.798912146906333,43,3.71874041808301
"6",47,"Planktothrix agardhii",4,0.469825157881457,0.249243909183933,0.252398485679571,0.9695871535341,-27.7613402169744,-47.1011086495871,-12.3441889095441,0,37.1068454001492,35.7038351362195,40.1990976895594,0,31.0346199108186,28.440389773975,32.9812345998301,0.972813067001913,0.697625205280763,1.29267820020946,37.9805162355513,15.1581257768851,24.2127627095448,0.743743743743744,37.9805162355513,34.349752741597,38.5787876698609,0.743743743743744,0.155882188079476,-0.001,37.1094003001467,6.36667366217934
"7",2,"Anabaena cylindrica",7,0.0880549252891177,0.141635717048605,0.146929626713028,0.588626707724086,3.66156708089891,-1.8193081266294,8.29542890448713,0.014014014014014,33.524390656488,33.1481276220509,37.8577447586305,0.014014014014014,30.8098078913344,29.4818674847057,32.0131010762271,0.570099000352744,0.521528450380303,0.616560489002517,37.9805162355513,15.7622897322112,19.662929174814,0.743743743743744,37.9805162355513,32.5978632523305,36.5970967855027,0.743743743743744,0.0167586086894739,-1.06299138331953,34,0.831400109102
"8",26,"Fragilaria bidens",7,0.163031256958349,0.158221328569827,0.175057722493664,0.689511050902616,1.2245977317088,-2.40822798831455,4.29747007198929,0,33.4449150673876,32.9146100942547,34.0431819988081,0,23.637355333255,22.9592482361221,24.3894802248827,0.715518794422023,0.674884300070536,0.760786594943448,37.9805162355513,9.47388029758662,12.6780308772997,0.743743743743744,37.9805162355513,30.6314893652489,31.5711038447266,0.743743743743744,0.0538016194078627,-0.855282463946756,36.8503638936516,10.0660816900599
"9",36,"Monoraphidium minutum",7,0.335081170115078,0.215722120720452,0.216890843025301,0.759878687614554,11.0252479403492,5.0155044462865,15.2906859185677,0,36.7177815317276,35.9100733240395,40.1213433560221,0,32.1347490755438,30.3820561748515,33.1919499537653,1.1106197185502,0.900596793303274,1.34070233549357,37.9805162355513,18.7896420656999,23.7490944401462,0.743743743743744,37.9805162355513,35.0658092773836,38.2117507067005,0.743743743743744,0.0318805709598919,-1.4193301730257,37.8331559165214,1.71228338008922
"10",9,"Chlorella vulgaris",8,0.239629816790788,0.20420095167515,0.220592669419855,0.760320853048988,-0.136020227090285,-19.7006035114281,4.46515627127998,0,40.8862079959663,39.3109259728904,42.7001315458436,0,29.9037814400535,28.3427049570915,30.8362906131925,0.908681133647085,0.819967078845767,1.00060892332507,37.9805162355513,10.9845460823888,15.8873396140681,0.743743743743744,37.9805162355513,36.536360237021,39.8336137934938,0.743743743743744,0.0713558901285987,-0.453047592954961,42.8023824390463,11.7246085227925
