"","Sp.id","Sp.name","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Asterionella formosa",-1e+09,30.8903481374564,2.45560891804327,0.846649893920367,89.4474079413052
"2",2,"Chlorella sp.",-37.8574315734787,33.9817512674644,19.2786072540221,0.981583870551324,34.9414016463337
"3",3,"Coelastrum sp.",8.9286825112459,34.3396281756997,26.9426497723079,1.1836710504234,15.4221020418023
"4",4,"Cyclotella pseudostelligera",-11.6553399316471,33.4100106075318,20.7594771083195,0.740401638426022,26.9817299353989
"5",5,"Eudorina elegans",7.97869620306725,36.0633130236489,27.0680861598276,0.996483561603975,17.9030656683663
"6",6,"Fistulifera saprophila",6.74166529635662,35.8293277880805,26.580341669584,0.964836597477542,18.4964258453234
"7",7,"Fragilaria crotonensis",-1e+09,30.8873187803966,-4.08769168335939,0.857094003198285,129.636391788465
"8",8,"Lagerheimia subsalsa",8.08413184150516,34.6674471935399,28.4353686935709,1.31296752833344,15.2598007661577
"9",9,"Messastrum gracile",-1.00455595888851,34.9456693810763,30.3543265566659,1.63213725850297,16.747221066793
"10",10,"Microcystis aeruginosa",6.30931147149007,35.5274669890779,31.502451015207,1.71988033236223,14.1538506207388
"11",11,"Microcystis viridis",11.095492126536,36.6170275396699,28.4000461531907,1.24789538976446,16.3084808904759
"12",12,"Nitzschia paela (C )",-9.84563637382636,35.4453462799498,30.4246570231899,1.96253085067224,19.2174889232741
"13",13,"Nitzschia paela (G)",0.164446695833908,35.9429193193981,27.8866884062414,1.64375165900609,18.4247177134777
"14",14,"Oocystis sp.",7.76654262902778,34.0948089085013,25.3621708548766,0.792959017173718,17.0347353291222
"15",15,"Pediastrum boryanum",3.76262927755058,37.3483881681883,31.3451692048041,1.56756408464161,17.3403808660211
"16",16,"Planktothrix agardhii",-2.23576674285345,29.3789683495993,17.1828340278781,0.149241787499231,21.5277976970492
"17",17,"Scenedesmus arcuatus var. Platydiscus",9.41889461518218,33.9070698099449,26.1434052192087,1.27134250782624,15.5340099969002
"18",18,"Scenedesmus armatus",8.52904487276018,36.1455574289674,27.5333767174609,1.23289816239884,17.4298732286424
"19",19,"Synechococcus elongatus",-0.481651857513586,35.7858410309197,29.8152615574654,1.51143233158409,14.3686905433555
"20",20,"Tetraedron minumum",6.74740041079107,33.4046336906357,24.1132731701324,0.518455866109463,17.5838454508415
