"","Grad","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Light limitation","1",1,"1.B09","K_s",6.99316611711127,1.0013568234955,4100
"2","Light limitation","1",1,"1.B09","deviance",6.46474877587613,1.00112104276113,5600
"3","Light limitation","1",1,"1.B09","r_max",1.49037051357106,1.00141846585758,6000
"4","Light limitation","1",1,"1.B09","sigma",0.367010711337518,1.0011103239235,5700
"5","Light limitation","1",1,"1.C06","K_s",4.87655513661468,1.00053248092452,6000
"6","Light limitation","1",1,"1.C06","deviance",8.79035555756148,1.00065942914244,6000
"7","Light limitation","1",1,"1.C06","r_max",1.21765149850766,1.00343705738994,6000
"8","Light limitation","1",1,"1.C06","sigma",0.412595617732019,1.00119141728052,5100
"9","Light limitation","1",1,"1.E02","K_s",6.02865036225877,1.00101828235463,6000
"10","Light limitation","1",1,"1.E02","deviance",7.33994262174149,1.00057950170674,6000
"11","Light limitation","1",1,"1.E02","r_max",1.24572718963873,1.00133844396673,4200
"12","Light limitation","1",1,"1.E02","sigma",0.380337183846098,1.00086368449288,6000
"13","Light limitation","1",1,"1.F11","K_s",7.47491711985254,1.00090167600907,6000
"14","Light limitation","1",1,"1.F11","deviance",-2.01000747602666,1.00123422256839,4800
"15","Light limitation","1",1,"1.F11","r_max",1.28646389343032,1.00055680949999,6000
"16","Light limitation","1",1,"1.F11","sigma",0.240174175812233,1.00099782168869,6000
"17","Light limitation","2",10,"10.B10","K_s",5.87036501876891,1.00198672532343,4800
"18","Light limitation","2",10,"10.B10","deviance",7.63836565501897,1.00112319500077,5600
"19","Light limitation","2",10,"10.B10","r_max",0.940407909244713,1.00196557372318,2400
"20","Light limitation","2",10,"10.B10","sigma",0.386407700244305,1.00123214155537,4800
"21","Light limitation","2",10,"10.C08","K_s",5.96269177403102,1.00213298383623,6000
"22","Light limitation","2",10,"10.C08","deviance",15.3226202838698,1.00077968933827,6000
"23","Light limitation","2",10,"10.C08","r_max",1.39120741995589,1.00072901814038,6000
"24","Light limitation","2",10,"10.C08","sigma",0.566468478655801,1.00062644385465,6000
"25","Light limitation","2",10,"10.E04","K_s",4.38649023633375,1.00071469996182,6000
"26","Light limitation","2",10,"10.E04","deviance",9.2307421071339,1.00102598960498,6000
"27","Light limitation","2",10,"10.E04","r_max",1.1822204821452,1.00103423182364,6000
"28","Light limitation","2",10,"10.E04","sigma",0.417524419983658,1.00113598273601,5500
"29","Light limitation","2",10,"10.F09","K_s",5.57606456406982,1.00141746931325,3800
"30","Light limitation","2",10,"10.F09","deviance",10.0704896515585,1.00100144053807,6000
"31","Light limitation","2",10,"10.F09","r_max",1.17973501012784,1.00887877888949,6000
"32","Light limitation","2",10,"10.F09","sigma",0.43605188906575,1.00058365073847,6000
"33","Light limitation","20",11,"11.B06","K_s",5.52778225628893,1.00096834596949,6000
"34","Light limitation","20",11,"11.B06","deviance",4.49282718494175,1.00113946570689,5500
"35","Light limitation","20",11,"11.B06","r_max",0.898634475553037,1.00178740173171,2700
"36","Light limitation","20",11,"11.B06","sigma",0.330367627824734,1.00072081769311,6000
"37","Light limitation","20",11,"11.D03","K_s",4.00928125813297,1.00125731655567,4600
"38","Light limitation","20",11,"11.D03","deviance",12.9565268937559,1.00070904664725,6000
"39","Light limitation","20",11,"11.D03","r_max",1.01968656002423,1.00304797750279,3100
"40","Light limitation","20",11,"11.D03","sigma",0.504593535653936,1.00128012972139,4500
"41","Light limitation","20",11,"11.D08","K_s",7.74878406119693,1.00111241786928,5700
"42","Light limitation","20",11,"11.D08","deviance",-0.364301525499587,1.00073677180603,6000
"43","Light limitation","20",11,"11.D08","r_max",1.40197947315856,1.00124166116749,6000
"44","Light limitation","20",11,"11.D08","sigma",0.259919064554599,1.0006390639707,6000
"45","Light limitation","20",11,"11.E09","K_s",6.85104598450106,1.00080663476503,6000
"46","Light limitation","20",11,"11.E09","deviance",8.06247636707952,1.00090688132708,6000
"47","Light limitation","20",11,"11.E09","r_max",1.33358203587914,1.00129630844854,4400
