"","Sp.id","Sp.name","Study","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br","T.br.min","T.br.max","T.br.na","a","b","tmax","d.t"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)",9.49526139593031,8.22672795568708,10.5776719279306,0,30.0337781753678,29.8457156064054,30.3049588423519,0,23.8377819638456,22.9883670861522,24.5905769397625,0.28712318442388,0.267725440108745,0.304033720791933,13.2476485499506,12.5691677589833,13.8996937154878,0,0.0203890576159855,-1.21099836996835,34.5332339394367,3.90140556143098
"2",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)",1.40709254095921,-3.61613506469699,4.34139490537656,0,24.1660418834192,23.4422256299004,24.9693079368696,0,16.0181101405924,14.4102209318585,17.5185821004782,0.225236884051045,0.181255473653729,0.274983473523856,15.0884867020078,13.28257739867,18.3012298647084,0,0.0493618437995235,-0.727403659413694,30.0296862431397,10.4101740415916
"3",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)",2.69532922218386,-9.60468619361247,5.8618462324141,0,23.9533427694433,23.3823583892447,24.6266503785015,0,17.0948732971592,15.6323708385424,18.4768681066711,0.388593176045686,0.304693119580485,0.471936510148702,13.5212969995308,11.6256043052016,15.9818199478196,0,0.0935431402269447,-0.549662360441318,26.6527814058774,8.03401927066368
"4",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)",9.14203274692791,8.54095649485639,9.64838499238481,0,26.2668150170302,26.1363493759961,26.4295246350702,0,20.3547855221535,20.0219732484637,20.7410616447874,0.209006852797621,0.20252243465066,0.216940835192961,11.2412377542989,10.8766752934362,11.523922567817,0,0.112009314808481,-0.357434288292819,29.024515288566,8.41101639614655
"5",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)",3.37396005008486,0.973264100911059,5.9245416035577,0,26.0186251354138,25.274464283153,26.5886516003244,0,18.0333825790546,16.9839899402394,18.9751173711753,0.31069417614266,0.264670541455994,0.34984680487033,14.9068254415439,13.2333084114058,16.5643202679165,0,0.0553979291617681,-0.819007919570926,30.8604127584179,9.82583020719471
"6",9,"Amphiprora sp.","Hulburt (1982)",10.0199680057857,4.57467774122805,12.6437652590805,0,33.9943233627508,33.7830194237536,34.2189729282719,0,28.3153250122358,27.6364686759863,29.0559280533785,0.855926600480112,0.786754929107849,0.922134990303106,12.7853541693799,11.7634267569953,13.7310704423609,0,0.16056828657873,-0.225311242757309,34.4976912444634,6.1552218766497
"7",11,"Asterionellopsis glacialis","Hulburt (1982)",-4.89318887110168,-15.8090029338928,2.68122402399279,0,34.4907166812201,34.422525254498,34.6200820260704,0,32.536581977289,31.7293300626764,33.3604980304152,1.8092385236245,1.58064325449588,2.08063603916288,15.6188539049134,13.3013662522308,19.0067403345148,0,0.0306950396212841,-0.860850916900197,34.673587828742,0.505640036091784
"8",12,"Asterionellopsis glacialis","Hulburt (1982)",-37.2164522587487,-90.935597774542,-7.82276522522419,0.239239239239239,27.4998581585776,26.9458692684646,28.4070369504092,0,23.1927240347301,19.0138435017979,26.9626646910698,1.01737041820716,0.785070439959846,1.30492450393889,24.9843907989043,17.82464104722,36.0787851774792,0.349349349349349,0.0170488509973333,-0.43154076316083,27.8066247312385,1.12365591845206
"9",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)",-14.7124224672498,-24.5846151333895,-6.45285738652554,0,30.015046500895,29.8721873528201,30.1518790619068,0,25.4558740547433,24.3827906421412,26.2943521450572,2.22964936769703,2.06337761984515,2.39839674451656,17.528031734017,15.8593032756968,19.6050392059872,0,0.0431860952088111,-0.532148194305738,30.3195010944207,1.72999021900401
"10",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)",6.67642422463485,4.9708855337861,8.12678922258674,0,24.9765370447236,24.461625340652,25.5081701712076,0,18.7473155879139,17.9535471446847,19.6484396476414,0.47414790969221,0.383497811383079,0.550330805245015,11.9327716278415,10.8968485256151,13.1139747154583,0,0.0874749735943787,-0.934128890993113,28.2789570930635,7.64797975883773
