"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"56",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","delta_t",8.33537038568159,0.527433635954459,0.00398003637516495
"57",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","a",0.0597821171523022,7.16789208407609,0.994102644844639
"58",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","b",-1.05958471606703,77.095402594659,0.990282116263012
"59",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","tmax",29.3082011362616,197.124813526654,0.89544471557072
"60",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","delta_t",8.24904042046548,534.674727215623,0.989091301584715
"61",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","a",0.00446304256429404,0.00212117471477451,0.0734315232295226
"62",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","b",-0.988561941131089,0.0474764201587758,1.48064154791915e-07
"63",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","tmax",30.7770323149094,1239545.4826426,0.999980881872448
"64",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","delta_t",0.1,328616.288437766,0.999999765689368
"65",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","a",0.0223207104605975,0.0130322523402903,0.107350025279651
"66",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","b",-0.685883260942014,0.0945326316228083,2.80613720888992e-06
"67",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","tmax",17.0823866446073,0.656145042189362,6.71439565799839e-14
"68",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","delta_t",1.54765705456633,0.878253481751787,0.0983952241338073
"69",18,"Chaetoceros didymus","Hulburt (1982)","a",0.069324287687065,0.94079136851526,0.944116361310553
"70",18,"Chaetoceros didymus","Hulburt (1982)","b",-1.20860893495245,10.9224813219785,0.916195633358243
"71",18,"Chaetoceros didymus","Hulburt (1982)","tmax",36.1825092189934,13.4225323229274,0.0430068584174302
"72",18,"Chaetoceros didymus","Hulburt (1982)","delta_t",7.95132030049266,73.5405725109956,0.918104064198155
"73",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","a",0.17864347767495,0.0816271066012279,0.0802450898512934
"74",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","b",0,0.651916238550848,1
"75",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","tmax",35.9367022221431,1.10032140571189,5.05659519973022e-07
"76",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","delta_t",5.55989826513199,2.42381311730255,0.0703091096662999
"77",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","a",0.0642023814050158,1.41306755279773,0.965938578998559
"78",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","b",-1.25593260042976,20.160593119962,0.95331542850909
"79",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","tmax",39.1289317564921,32.5949666695132,0.296191722293717
"80",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","delta_t",8.90213308589678,116.826350626918,0.942919250521822
"81",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","a",0.0363458066778557,0.00643957532467068,0.00242283161930323
"82",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","b",-1.13404669513947,0.229227211279277,0.00429507661492773
"83",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","tmax",36.9961409539157,0.644705245880374,3.04029512998584e-08
"84",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","delta_t",2.48926332315187,1.32384486279313,0.118826532126186
"85",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","a",0.0769756354154797,6.20385184434378,0.992101407609075
"86",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","b",-1.8992718815128,88.2100546771698,0.986294904326668
"87",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","tmax",37.5182912339744,86.9946236551555,0.740787179330766
"88",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","delta_t",7.75477325830098,406.333586621944,0.987851748164518
"89",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","a",0.0472087136170744,7.64622624093425,0.996069483468741
"90",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","b",-0.163406014958754,82.9847919681915,0.998746428554823
"91",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","tmax",16.2096750236579,576.542543229212,0.982105948690208
"92",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","delta_t",8.76372133567782,392.05107105486,0.98577167693741
"93",24,"Chaetoceros sp.","Thomas (1966)","a",0.0462533346165114,0.00898474515376791,4.8957427616796e-05
"94",24,"Chaetoceros sp.","Thomas (1966)","b",-0.1247069261353,0.632451945056156,0.845676707907016
"95",24,"Chaetoceros sp.","Thomas (1966)","tmax",40.0755446826419,0.421352397038404,4.81353522875754e-28
"96",24,"Chaetoceros sp.","Thomas (1966)","delta_t",3.15952390877562,1.06091326447281,0.00743285019279038
"97",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","a",0.06698346774416,0.881995329134661,0.951744303944325
"98",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","b",-0.436512111132596,21.9558010162751,0.987344773477845
"99",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","tmax",44,112.770671216503,0.763173829669929
"100",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","delta_t",12.4331434264984,53.4090688805817,0.854393971881226
"101",26,"Chattonella marina","Kahn (1998)","a",0.0444069349089504,1.06082153530982,0.97041283875233
"102",26,"Chattonella marina","Kahn (1998)","b",-1.12041134147905,16.0007100316425,0.950547125467431
"103",26,"Chattonella marina","Kahn (1998)","tmax",41.0579032781667,53.7863940712653,0.525007290349495
"104",26,"Chattonella marina","Kahn (1998)","delta_t",11.3343750021224,146.611756107715,0.945415938790835
"105",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","a",0.187803030989748,0.0222416910768431,0.0034862693896706
"106",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","b",-0.127329538506593,0.0726101510216527,0.177777814781207
"107",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","tmax",31.4255551112882,0.319357624899801,2.313621444282e-06
"108",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","delta_t",5.3008862745636,0.610255220366252,0.00321083043155793
"109",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","a",0.00813390140458967,0.566906870718553,0.98985505176226
"110",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","b",-0.494423317510396,14.7168082640335,0.976250864547395
"111",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","tmax",43.3081857110956,187.960489152011,0.839195015690859
"112",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","delta_t",20.5,531.297953355953,0.972726609054726
