"","model","AICc"
"1","Deutsch",31.6389484228867
"2","Lactin2",33.9560095718852
"3","Ratkowsky bounded",32.1545665662505
"4","Rezende",31.7804314841691
"5","Ashrafi II",73.2451575297479
"6","Atkin",42.2883012686837
"7","Mitchell-Angilletta",55.8128127823158
"8","Analytis-Kontodimas",35.4987370358309
"9","Eubank",59.0838145904517
"10","Taylor-Sexton",35.8632570577522
"11","Briere",36.2604709227278
"12","Thomas 1",89.2960491102136
