"","model","Mean_AICc","AICc_pop1","AICc_pop2","AICc_pop3","AICc_pop4","AICc_pop5","AICc_pop6","AICc_pop7","AICc_pop8","AICc_pop9","AICc_pop10","AICc_pop11","AICc_pop12","AICc_pop13","AICc_pop14","AICc_pop15","AICc_pop16","AICc_pop17","AICc_pop18","AICc_pop19","AICc_pop20","AICc_pop21","AICc_pop22","AICc_pop23","AICc_pop24","AICc_pop25","AICc_pop26","AICc_pop27","AICc_pop28","AICc_pop29","AICc_pop30","AICc_pop31","AICc_pop32","AICc_pop33","AICc_pop34","AICc_pop35","AICc_pop36","AICc_pop37","AICc_pop38"
"1","Deutsch",13.7630726803195,0.18749876629305,-6.2473668291224,8.08566346308746,0.536233338273421,17.1227382340997,10.8162719151889,43.6268945797297,-5.28400906050092,27.5191851436507,24.5222251261206,14.8849524867202,15.8544607650923,18.0271301345565,20.5841904813431,11.8304132389728,-4.19966653919725,-6.01547236725579,40.2968137188124,36.4165314709919,17.5840187511523,24.834585241933,4.32881672759759,30.2073277831935,0.674720762124348,1.79201760714159,31.8833663316053,29.3827093904352,30.6343668626296,12.5194462000381,1.48414554579941,-10.0656988187474,8.30422342295057,22.0714808574629,6.18517995445311,2.28915785093092,-2.58029808795559,5.618666257313,37.2838411452257
"2","Lactin2",14.9608853763242,4.57604037413692,-5.78309819667183,8.09795712418361,1.95645855819555,18.3327477666266,14.2434903619338,45.4368962505835,-4.42045912385506,26.6220235647003,27.0959298151409,16.298481088424,17.9302107252992,18.9525938573408,20.5034439944343,12.8679932288375,-6.77163170048116,-6.86970337736505,41.3094850399687,35.2377506270979,17.7023500174048,27.8473733565884,5.13287715511471,31.670211790076,3.47311549931958,2.34443570398112,31.1565188596342,33.2973123820242,32.0185554406726,15.9510231629132,6.25836240992078,-6.08720586613412,9.28350866986546,21.7334509514024,9.53422642905361,1.95487458484267,-6.69909262270032,9.0395378777006,37.2855985201102
"3","Ratkowsky bounded",17.1544926232332,12.7502784454761,-8.09532014477226,10.0871374442514,10.53382998132,22.0356896973693,11.1534921700361,45.615711824982,5.67829758088136,28.0160127987003,25.8849153160214,17.1832275750955,20.4566630215955,18.2703295485705,21.9060108908379,13.7126760661979,-1.79663461345933,-7.14074244674302,40.7167734060348,35.4469941779949,18.6074310079239,26.4086178958826,4.58895652313273,32.1975405951401,4.51602253885655,3.86228012827829,34.2514912047868,30.401655770403,41.4898365906684,26.2313654162118,5.99427210465108,-1.95303717890239,5.82992082852547,24.8160253600131,5.63514935211285,10.0885136914443,9.4778205825995,8.85039887619945,38.1611156545436
"4","Rezende",15.4131075884697,-8.59019344399309,-6.569783681016,11.8736939445537,2.44589621685078,20.0413592026243,18.8489320541724,42.8746015206481,-2.72396121484216,28.4882806310238,28.1278556632625,15.1767717840317,16.7317659053709,20.2061392331733,24.7983770628082,14.8022347144866,11.1960607044815,-4.76378652763577,43.1531073718441,37.2692740696301,16.7012055222776,29.4535223422286,11.2917149312231,32.7968101122047,4.18647357403887,6.21185824027176,32.9423702633243,27.9489911446019,26.5114452735034,12.0741483524175,-0.131801330519941,-12.215478662388,8.75100569439877,28.3893909424238,4.09261518831372,2.35238307519126,-4.17625890017446,7.9234529768782,37.2076144101602
"5","Ashrafi II",68.0396478160412,72.9298056379178,56.1595949301947,66.5668527960236,69.083878305237,64.4758542404225,60.3300623747586,95.9449871400752,57.7825179946217,63.9658521111864,66.8235097345862,75.1889238510218,79.0719352205934,71.4205033484618,67.2584715227306,62.4224939058862,53.7817290959416,60.2050628851832,55.9705557387804,86.570065781855,67.3334198360183,68.5982387132379,57.5664715978917,69.766474345836,65.7523535803727,64.8192437500517,80.8958105336708,76.1347867725439,73.7955138735092,76.6581293899164,74.7892567081325,70.3760443665501,60.0362366533715,60.8535969203369,66.0760035380627,66.0116981901581,75.0242992219545,54.5641781640497,70.5022042384252
"6","Atkin",41.0663764043398,32.2320396308994,28.9437062305811,44.8768241450932,41.3973168447966,43.3749341019618,31.2240925438259,69.9330100264168,34.8796964285495,49.33297127514,35.9318892943555,43.57111770791,49.6099104910854,39.6218159344741,46.7894606310759,41.6944061024191,30.4200225165602,32.4138597021323,42.6129896453429,60.3512978493136,39.3819761299142,40.0566105355192,33.5931551016175,49.2031789747941,37.092982914631,43.435943465912,59.8502957780513,33.6939152574833,42.6344892194042,42.3798572237842,37.3212099251402,31.2511978926199,34.6651109240712,44.3149307865891,23.4502311728992,43.0633306094794,52.9821986888147,21.4074233570063,51.5329043052496
"7","Mitchell-Angilletta",57.7437168555825,58.8450231601206,46.1584798539204,59.5213977858078,58.7286760867019,55.9164100643101,46.9899014776057,87.8041921973059,50.3240910974631,62.3316895161775,47.7323714128704,63.2443306720727,66.312618647588,58.6023590687098,60.6311947653066,54.4861396147975,46.9945048123967,50.8953209317166,48.360848484387,77.8098610122376,57.4293686515854,54.3678125920283,50.1569368859693,59.3165783938376,53.21040252161,57.8375480868884,74.0151001053967,61.2463651631585,56.6398668536982,63.3404290447216,59.9319327462564,57.9550329492536,51.5238853783264,55.152970055677,48.3673058866228,58.4682588800674,69.0981716917606,41.31367929644,63.2001846673426
"8","Analytis-Kontodimas",34.7908676216896,31.7501390191508,23.6348942990464,36.8871898962792,28.2878032922089,31.9385285427846,23.9477614243332,72.4770118494789,22.0750176025415,44.8902254066375,27.4369086197098,40.9425532939777,38.4238922244748,34.8342661308622,38.1316336416643,33.5983627115685,15.9787222215205,28.2399088831026,39.6788216342972,60.2514024625685,32.7190031940921,30.9733651109697,24.3785551822182,39.7398681051576,25.3102372773848,36.215483177738,55.3706975474473,43.7491760535666,35.5745124230636,37.2802068244221,32.6833876574813,28.4315319079833,28.4625097110078,31.7530047518327,23.7164779173374,32.7953643413869,47.6402666528558,14.9989386943553,46.855339937699
"9","Eubank",58.9455519127149,49.3729584845488,51.0998631801665,62.4741464581121,64.3115210591631,64.3119117413169,56.8106087941152,71.3912719515897,57.9904919173241,63.0611388545644,57.3625209925872,56.4358970103654,69.582861292464,57.8409670837468,66.5254622337028,59.9322709032395,56.235920451608,52.6692408974202,55.4874982886334,69.7889191093378,59.8891269550976,62.7797500770733,57.3845854684957,67.3719878596927,58.0580004507793,60.7194065643037,70.6896495974504,41.9235468150341,56.0701422845657,56.7892267851494,53.8458145464201,51.1829280156281,57.8635568472974,64.702494219366,43.8255952458605,63.0466871856397,65.8529675690274,40.7022499069922,64.5477855852853
"10","Taylor-Sexton",28.8041642280865,22.3203896129814,14.7751480713677,30.9043158560743,22.121017061429,26.2891067004646,16.6122694421749,64.7073492849252,12.7954569177717,39.4171267043517,27.7285174853126,34.3161569345465,34.8360366285467,29.4961705321568,31.6188404898736,28.1600801276606,5.06512195362122,20.3439617466344,38.1119333645499,54.9059447225319,27.815935494267,28.3109537910162,14.80866846567,36.8085273960398,20.9554275478102,30.1437873048137,51.6185500381197,33.7944710449301,36.3987340715019,28.3448839726445,24.5532042074691,17.7791282720825,18.8163908419401,26.3364695705833,19.8156525981524,26.3909684412763,43.1245695305589,9.99210814594236,44.2248662954934
