"","Sp.id","Sp.name","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Asterionella formosa",-1e+09,30.890348114703,2.45560837997397,0.846649902715817,89.4474120910591
"2",2,"Chlorella sp.",-37.8574315853233,33.9817512537412,19.2786075264735,0.981583869561352,34.941400937325
"3",3,"Coelastrum sp.",8.92868332672096,34.3396281656405,26.9426496045467,1.18367105243512,15.4221019848837
"4",4,"Cyclotella pseudostelligera",-11.6553395838521,33.4100105964224,20.759477042458,0.740401640666662,26.9817299678717
"5",5,"Eudorina elegans",7.97869620545083,36.063312981703,27.0680862010061,0.996483566908491,17.9030655426067
"6",6,"Fistulifera saprophila",6.74166513330181,35.8293278054339,26.5803416580561,0.964836596646203,18.496425888292
"7",7,"Fragilaria crotonensis",-1e+09,30.8873187611907,-4.08769765829671,0.857094038688026,129.63644314029
"8",8,"Lagerheimia subsalsa",8.08413195937997,34.6674471926258,28.4353686615089,1.31296752902925,15.2598007486223
"9",9,"Messastrum gracile",-1.00455566266548,34.9456693806449,30.3543264933318,1.63213725832785,16.7472210244307
"10",10,"Microcystis aeruginosa",6.30931135152497,35.5274669750753,31.5024510735473,1.71988033508018,14.1538505969876
"11",11,"Microcystis viridis",11.0954923290772,36.6170274729417,28.4000461588805,1.24789540004883,16.3084807303663
"12",12,"Nitzschia paela (C )",-9.8456363700873,35.4453462852554,30.4246569929422,1.96253084862009,19.217488955144
"13",13,"Nitzschia paela (G)",0.164443845204121,35.9429192740045,27.8866885452781,1.64375166101461,18.4247177727795
"14",14,"Oocystis sp.",7.76654252902003,34.0948089125511,25.3621708326524,0.792959015312907,17.0347353890491
"15",15,"Pediastrum boryanum",3.76262940340409,37.3483882011962,31.3451691789189,1.56756408347579,17.3403808880546
"16",16,"Planktothrix agardhii",-1.22467406888033,29.4036142002416,17.3946940316027,0.148015001382662,20.9597396852404
"17",17,"Scenedesmus arcuatus var. Platydiscus",9.41889471666078,33.9070698184045,26.1434052412841,1.27134250863488,15.5340099549982
"18",18,"Scenedesmus armatus",8.52904491273022,36.1455574452423,27.5333766875576,1.23289816174063,17.4298732346995
"19",19,"Synechococcus elongatus",-0.481658889685163,35.7858409894932,29.8152616624607,1.51143233706982,14.3686904625223
"20",20,"Tetraedron minumum",6.74740078078308,33.404633702511,24.1132732774747,0.518455868353094,17.5838452376832
