"","Sp.id","Sp.name","Study","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)",9.48536383049609,30.038714173113,23.8362762362229,0.286564147788057,13.220671985325
"2",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)",-1e+09,16.5924330214829,13.8528602511614,0.166388426451618,6.70207058305327
"3",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)",1.86336728628784,24.158308134505,15.8660827962579,0.225816178617896,15.0176593699205
"4",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)",2.99735650657384,23.9370617339088,16.9716343368517,0.38729916807934,13.5382169946556
"5",5,"Alexandrium minutum","Cannon (1993)",7.38281580324983,28.3333500747601,21.9671492912249,0.340929259543683,12.9955608725852
"6",6,"Alexandrium monilatum","Juhl (2005)",15.484622411959,32.0298602846897,28.9918970170364,0.812396626843678,9.19818204145414
"7",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)",9.12608032686704,26.2691662884931,20.3539443239587,0.208980357414561,11.2422240415372
"8",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)",3.87553535005307,25.9925128965725,17.8677867819209,0.307443124945408,14.8486763147369
"9",9,"Amphiprora sp.","Hulburt (1982)",10.0139234990874,33.9884145118769,28.3216591671225,0.856437813123217,12.783108941707
"10",10,"Apedinella radians","Throndsen (1976)",2.0417486545884,28.7203842316538,21.3833123143962,1.31087166461539,15.7025409833283
"11",11,"Asterionellopsis glacialis","Hulburt (1982)",-4.62041043285235,34.500125483492,32.5553915401555,1.82421433385864,15.5386187680933
"12",12,"Asterionellopsis glacialis","Hulburt (1982)",-55.4543380789362,27.5011475929984,23.235219257343,0.988177346041839,32.4390240417479
"13",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)",-14.2262682226326,30.0117924723644,25.4184657574188,2.22764923254558,17.4342243278158
"14",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)",6.77802372034923,24.9886919467069,18.5589750369353,0.467504189234074,12.0520322527296
