"","Sp.id","Sp.name","Study","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br","T.br.min","T.br.max","T.br.na","a","b","tmax","d.t"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)",9.50718188037127,8.27756365182669,10.5196300241466,0,30.0251871882938,29.8360796559798,30.2859013032152,0,23.851127512769,23.0196510218554,24.6370301990133,0.286775773293801,0.269286195116417,0.306705370917611,13.2287886218338,12.5786718209979,13.8958615879828,0,0.0204640661006817,-1.2117903632641,34.5249291494824,3.88478697004359
"2",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)",1.49364118628429,-3.52488906219967,4.38636924768717,0,24.1483452725419,23.4655282415737,24.9862996540806,0,16.0150525789399,14.4354678977863,17.5066502122168,0.225526117440185,0.180119179248128,0.271257734089619,15.0908099226937,13.1670727256479,18.1856501025851,0,0.0505859013095838,-0.715638340461696,29.9938693226036,10.4196642850422
"3",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)",2.53170549388135,-8.85003600676758,5.8789715442074,0,23.9650567989591,23.3395319821098,24.5784415526435,0,17.1112020537008,15.6392862751612,18.5366190359991,0.388318498209265,0.304513373041132,0.472744483037679,13.5567063379027,11.4844716404188,15.905270439755,0,0.0945527021831355,-0.520424157563649,26.6134309982834,8.1019979672774
"4",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)",9.16286691839391,8.57241872634624,9.65993338711107,0,26.2769388340597,26.1489917236717,26.4381702860136,0,20.3395230370234,20.0170816069994,20.6827392129732,0.209021024834621,0.201476357785841,0.216300564017113,11.2438622595567,10.922767150809,11.5718127302714,0,0.110488410125641,-0.365066983743392,29.1014982420134,8.50063209521524
"5",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)",3.40621244357539,0.999823876819807,6.40860183737636,0,26.0455012748505,25.2560897545609,26.562130928895,0,18.0980676979587,17.0362375832421,19.1480400064654,0.308374031220773,0.260690041659516,0.345158206110231,14.8679785908464,13.0274945288184,16.6072462875887,0,0.0546093487407564,-0.828775802918675,31.0685932308169,9.8075173720826
"6",9,"Amphiprora sp.","Hulburt (1982)",9.95569919570535,3.18463725046953,12.691783223505,0,33.9918325488875,33.7828823279284,34.2171375757568,0,28.3216822389654,27.667890438334,29.0215826965854,0.858190819154907,0.785030357248997,0.919099588938947,12.8081709154529,11.7370985877178,13.6480635586568,0,0.161037265169369,-0.214840849423671,34.4842542149089,6.13762970673647
"7",11,"Asterionellopsis glacialis","Hulburt (1982)",-4.55828004980935,-15.1533839163828,3.20046383010866,0,34.4900542998302,34.4229877859256,34.6168895167909,0,32.533238645509,31.6543810046827,33.2411846296441,1.8205658369555,1.57097719716749,2.05035678825212,15.5703354207109,13.1570625436448,18.7378320989869,0,0.0309407208781745,-0.869072860330637,34.6741052461407,0.505878434565027
"8",12,"Asterionellopsis glacialis","Hulburt (1982)",-21.1882307861512,-71.1665164266671,-0.37184178015915,0.034034034034034,27.4991284563349,26.7520428713558,28.5859696817896,0,22.3877664194926,19.1338441246979,26.9716258236341,1.06932074662699,0.790574958436518,1.32724653695606,21.6744284989887,15.1866643433606,32.3080038518256,0.0870870870870871,0.0247317460962748,-0.581069316504857,28.0634182345469,1.75348936480588
"9",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)",-8.68869834114561,-15.6571264043768,-3.39368034108978,0,30.0352024615406,29.8189018205345,30.1938266446118,0,25.0857211577733,23.9365490352041,26.1732677996521,2.27574311188149,2.06606318872487,2.46428438285302,16.5537448779662,15.1042127267685,18.0503824535885,0,0.047121896761302,-0.663083282577232,30.4366280284873,2.07325897425083
"10",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)",6.61199085839727,4.97597662047709,8.15877115477392,0,24.9794894771709,24.464829489948,25.4572906668147,0,18.6922602898016,17.8954056809897,19.545026790153,0.474116450727487,0.395429377294502,0.552632864432191,12.0212714928297,10.9667663912992,13.0571807999281,0,0.0869931618023367,-0.928063715763522,28.2658068596269,7.67265292206777
"11",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)",5.80511648638379,-4.43155245050994,8.89791654147989,0,24.5685784352491,23.674150466474,27.7263426135131,0,17.9727901428197,15.1682502754607,20.4298603384487,0.389104730138749,0.248792142890729,0.593314741752219,12.6387916099836,10.5784237098454,18.7598683755553,0.00600600600600601,0.0610187176051676,-0.988911536461282,28.8683602396119,7.91362023885974
