"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Lactin 2","1",1,"cf.a",0.0521086875908554,1.00096171899749,6000
"2","Lactin 2","1",1,"cf.b",-1.49204558743122,1.00086141258096,6000
"3","Lactin 2","1",1,"cf.delta_t",2.70364856757403,1.00062727784617,6000
"4","Lactin 2","1",1,"cf.sigma",0.235827526315355,1.00127165796712,4500
"5","Lactin 2","1",1,"cf.tmax",40.5530996685463,1.0007114725651,6000
"6","Lactin 2","1",1,"deviance",-2.79366560450803,1.00152473661111,3400
"7","Lactin 2","10",2,"cf.a",0.0559054076622867,1.00095971130702,6000
"8","Lactin 2","10",2,"cf.b",-1.35170209873761,1.00092376960136,6000
"9","Lactin 2","10",2,"cf.delta_t",4.71576741699062,1.00103443641371,6000
"10","Lactin 2","10",2,"cf.sigma",0.18996112086715,1.0014667521655,3600
"11","Lactin 2","10",2,"cf.tmax",40.9926350774891,1.0012603143322,4600
"12","Lactin 2","10",2,"deviance",-13.3686255461834,1.0009452772202,6000
"13","Lactin 2","11",3,"cf.a",0.0553256531216775,1.0012010476056,5000
"14","Lactin 2","11",3,"cf.b",-1.4100696138987,1.00152855264371,3400
"15","Lactin 2","11",3,"cf.delta_t",3.65238220573928,1.00127816525553,4500
"16","Lactin 2","11",3,"cf.sigma",0.255223321152235,1.00128233909204,4500
"17","Lactin 2","11",3,"cf.tmax",40.706967201584,1.0018460588405,2600
"18","Lactin 2","11",3,"deviance",0.821941343869106,1.00076239840032,6000
"19","Lactin 2","14",4,"cf.a",0.0606402137228651,1.00069671045586,6000
"20","Lactin 2","14",4,"cf.b",-1.51078114908738,1.00057702878267,6000
"21","Lactin 2","14",4,"cf.delta_t",4.49418978348383,1.00102353231452,6000
"22","Lactin 2","14",4,"cf.sigma",0.223920190571769,1.00109658446874,5900
"23","Lactin 2","14",4,"cf.tmax",40.6764038501617,1.00082491235609,6000
"24","Lactin 2","14",4,"deviance",-5.48734048026687,1.00131479624296,4300
"25","Lactin 2","15",5,"cf.a",0.0607239720658262,1.00156767090211,3300
"26","Lactin 2","15",5,"cf.b",-1.45042548841506,1.0014287811819,3800
"27","Lactin 2","15",5,"cf.delta_t",4.92656790026986,1.0011351377111,5500
"28","Lactin 2","15",5,"cf.sigma",0.311090526892004,1.00146024978926,3600
"29","Lactin 2","15",5,"cf.tmax",40.7692530660287,1.00076568617086,6000
"30","Lactin 2","15",5,"deviance",10.2846199541541,1.00134486574724,4100
"31","Lactin 2","16",6,"cf.a",0.0629885988888422,1.00099362571076,6000
"32","Lactin 2","16",6,"cf.b",-1.41065284007415,1.00096654121571,6000
"33","Lactin 2","16",6,"cf.delta_t",5.40998397349878,1.00113516299429,5500
"34","Lactin 2","16",6,"cf.sigma",0.29456560423249,1.00095979230156,6000
"35","Lactin 2","16",6,"cf.tmax",40.928865269783,1.00140659731945,3900
"36","Lactin 2","16",6,"deviance",7.73110857626878,1.00155019780754,3300
"37","Lactin 2","17",7,"cf.a",0.0574628802378452,1.0008275845549,6000
"38","Lactin 2","17",7,"cf.b",-1.53676866852203,1.00072598388066,6000
"39","Lactin 2","17",7,"cf.delta_t",1.20398415443513,1.00116956229428,5200
"40","Lactin 2","17",7,"cf.sigma",0.465833160298087,1.00123626061261,4700
"41","Lactin 2","17",7,"cf.tmax",40.1829472637472,1.00112636755257,5600
"42","Lactin 2","17",7,"deviance",29.7025025414332,1.00095693943362,6000
"43","Lactin 2","18",8,"cf.a",0.0582117001242632,1.00245635590324,1800
"44","Lactin 2","18",8,"cf.b",-1.41334839671375,1.00176644311954,2800
"45","Lactin 2","18",8,"cf.delta_t",5.04626809546602,1.00227205040279,2000
"46","Lactin 2","18",8,"cf.sigma",0.193996942861881,1.00142147073689,3800
"47","Lactin 2","18",8,"cf.tmax",40.7930664260982,1.00142116242826,3800
"48","Lactin 2","18",8,"deviance",-12.3237749084175,1.00092068550576,6000
"49","Lactin 2","19",9,"cf.a",0.0543984822844451,1.0008127575949,6000
"50","Lactin 2","19",9,"cf.b",-1.31625747682709,1.00117323274633,5200
"51","Lactin 2","19",9,"cf.delta_t",3.93666167840984,1.00077490991996,6000
"52","Lactin 2","19",9,"cf.sigma",0.371723837373431,1.001144394451,5400
"53","Lactin 2","19",9,"cf.tmax",40.7626099435977,1.00083939002063,6000
"54","Lactin 2","19",9,"deviance",18.9707433374659,1.00119813291651,5000
"55","Lactin 2","2",10,"cf.a",0.0607627494084988,1.00121034751816,4900
"56","Lactin 2","2",10,"cf.b",-1.52403786820663,1.00078292587847,6000
"57","Lactin 2","2",10,"cf.delta_t",4.84830431557729,1.00167445687445,3000
"58","Lactin 2","2",10,"cf.sigma",0.382753768695491,1.00056064161135,6000
"59","Lactin 2","2",10,"cf.tmax",41.0233648180552,1.00114558035493,5400
"60","Lactin 2","2",10,"deviance",20.3358301210376,1.00078206092233,6000
"61","Lactin 2","20",11,"cf.a",0.0513116550524545,1.00104293755537,6000
"62","Lactin 2","20",11,"cf.b",-1.44715727514113,1.00106572116344,6000
"63","Lactin 2","20",11,"cf.delta_t",2.16947540172029,1.00167399401616,3000
"64","Lactin 2","20",11,"cf.sigma",0.301295238628023,1.00167596030511,3000
"65","Lactin 2","20",11,"cf.tmax",40.4462522314382,1.00157447894055,3300
"66","Lactin 2","20",11,"deviance",8.71182568917242,1.00149085238921,3500
"67","Lactin 2","21",12,"cf.a",0.0619980644766527,1.00079629030247,6000
"68","Lactin 2","21",12,"cf.b",-1.52086253477007,1.00082104155317,6000
"69","Lactin 2","21",12,"cf.delta_t",3.9165830723537,1.00065290969787,6000
"70","Lactin 2","21",12,"cf.sigma",0.312418943597657,1.00143642315272,3700
"71","Lactin 2","21",12,"cf.tmax",40.5878081209821,1.00085016463536,6000
"72","Lactin 2","21",12,"deviance",10.6244885223597,1.0007958083326,6000
"73","Lactin 2","22",13,"cf.a",0.0581309829878938,1.00150436928357,3500
"74","Lactin 2","22",13,"cf.b",-1.6176390610362,1.00118382789146,5100
"75","Lactin 2","22",13,"cf.delta_t",3.77617694537845,1.00162615125891,3100
"76","Lactin 2","22",13,"cf.sigma",0.319379384009638,1.00096745297956,6000
"77","Lactin 2","22",13,"cf.tmax",40.841348553786,1.00174315053111,2800
"78","Lactin 2","22",13,"deviance",11.6326118680885,1.00096515859408,6000
"79","Lactin 2","23",14,"cf.a",0.0635783434004867,1.00088047420376,6000
"80","Lactin 2","23",14,"cf.b",-1.50115927520953,1.00103141021721,6000
"81","Lactin 2","23",14,"cf.delta_t",4.87473630613531,1.00080986701569,6000
"82","Lactin 2","23",14,"cf.sigma",0.324670329104384,1.00081296507177,6000
"83","Lactin 2","23",14,"cf.tmax",40.8676116469522,1.00094651554822,6000
"84","Lactin 2","23",14,"deviance",12.4535736435502,1.00119864556121,5000
"85","Lactin 2","24",15,"cf.a",0.0553112106101442,1.00067739360329,6000
"86","Lactin 2","24",15,"cf.b",-1.3840691103655,1.00063991010484,6000
"87","Lactin 2","24",15,"cf.delta_t",4.10647611934845,1.00075646777724,6000
"88","Lactin 2","24",15,"cf.sigma",0.280235465698612,1.00088480969601,6000
"89","Lactin 2","24",15,"cf.tmax",40.8496515490855,1.00079435356603,6000
"90","Lactin 2","24",15,"deviance",5.32227849730286,1.00093343075521,6000
"91","Lactin 2","25",16,"cf.a",0.0641793511786344,1.00151690447426,3400
"92","Lactin 2","25",16,"cf.b",-1.50395361401089,1.00164212145701,3100
"93","Lactin 2","25",16,"cf.delta_t",5.60662917122167,1.00105446518246,6000
"94","Lactin 2","25",16,"cf.sigma",0.192596088861679,1.00084015062581,6000
"95","Lactin 2","25",16,"cf.tmax",41.1149641080125,1.00082964640938,6000
"96","Lactin 2","25",16,"deviance",-12.6942456607126,1.00114351109103,5400
"97","Lactin 2","26",17,"cf.a",0.0554764090440678,1.00124369231503,4700
"98","Lactin 2","26",17,"cf.b",-1.3921202327409,1.00139756997665,3900
"99","Lactin 2","26",17,"cf.delta_t",4.14676033009294,1.00136295911825,4100
"100","Lactin 2","26",17,"cf.sigma",0.186168578364581,1.00146202551147,3600
"101","Lactin 2","26",17,"cf.tmax",40.9445956004492,1.00101427737126,6000
"102","Lactin 2","26",17,"deviance",-14.2266683507211,1.00135180237081,4100
"103","Lactin 2","27",18,"cf.a",0.052758579140348,1.00127697431102,4500
"104","Lactin 2","27",18,"cf.b",-1.28882039576063,1.00183127284542,2600
"105","Lactin 2","27",18,"cf.delta_t",4.92377458367092,1.00084718275045,6000
"106","Lactin 2","27",18,"cf.sigma",0.510010803838349,1.00083975420626,6000
"107","Lactin 2","27",18,"cf.tmax",41.1258455534027,1.00070908476559,6000
"108","Lactin 2","27",18,"deviance",34.1723354975297,1.00065589411021,6000
"109","Lactin 2","28",19,"cf.a",0.0567049448013349,1.00156259734416,3300
"110","Lactin 2","28",19,"cf.b",-1.40914629380478,1.00100853334853,6000
"111","Lactin 2","28",19,"cf.delta_t",2.10010286536303,1.00203131176301,2300
"112","Lactin 2","28",19,"cf.sigma",0.445101922844885,1.0008677090982,6000
"113","Lactin 2","28",19,"cf.tmax",40.3624949801977,1.00165693878176,3000
"114","Lactin 2","28",19,"deviance",27.6160607874485,1.00134358620204,4100
"115","Lactin 2","29",20,"cf.a",0.0590904154615184,1.00137159559461,4000
"116","Lactin 2","29",20,"cf.b",-1.49521304063664,1.00105898267185,6000
"117","Lactin 2","29",20,"cf.delta_t",4.54658085548117,1.0013232336476,4200
"118","Lactin 2","29",20,"cf.sigma",0.309089635756218,1.00202693264801,2300
"119","Lactin 2","29",20,"cf.tmax",40.7599859695263,1.00114835232493,5400
"120","Lactin 2","29",20,"deviance",10.0356834155072,1.00155598284563,3300
"121","Lactin 2","3",21,"cf.a",0.0635492620412135,1.00108614355537,6000
"122","Lactin 2","3",21,"cf.b",-1.55208583971775,1.00091809744421,6000
"123","Lactin 2","3",21,"cf.delta_t",5.07356604841775,1.00130500858725,4300
"124","Lactin 2","3",21,"cf.sigma",0.378273646876389,1.00089691100635,6000
"125","Lactin 2","3",21,"cf.tmax",40.8521920343424,1.00071216955469,6000
"126","Lactin 2","3",21,"deviance",19.7702828654425,1.00133740567003,4200
"127","Lactin 2","30",22,"cf.a",0.0627050096337243,1.00079480330986,6000
"128","Lactin 2","30",22,"cf.b",-1.37907105074012,1.00099256092062,6000
"129","Lactin 2","30",22,"cf.delta_t",5.43956167574717,1.00093126450001,6000
"130","Lactin 2","30",22,"cf.sigma",0.238132033837636,1.00095866043723,6000
"131","Lactin 2","30",22,"cf.tmax",40.9578041716225,1.00082289061086,6000
"132","Lactin 2","30",22,"deviance",-2.33730607799503,1.00067299702266,6000
"133","Lactin 2","31",23,"cf.a",0.0608903937774815,1.00090953426744,6000
"134","Lactin 2","31",23,"cf.b",-1.48634283903675,1.00060797491113,6000
"135","Lactin 2","31",23,"cf.delta_t",4.57033826048559,1.00073323728968,6000
"136","Lactin 2","31",23,"cf.sigma",0.409177284020613,1.00077955236419,6000
"137","Lactin 2","31",23,"cf.tmax",40.8335376495987,1.00083818182892,6000
"138","Lactin 2","31",23,"deviance",23.6437159260172,1.00108918607326,5900
"139","Lactin 2","32",24,"cf.a",0.0556247748641858,1.00139304832244,3900
"140","Lactin 2","32",24,"cf.b",-1.49587334100429,1.00106407287664,6000
"141","Lactin 2","32",24,"cf.delta_t",3.8643540120846,1.00114824369203,5400
"142","Lactin 2","32",24,"cf.sigma",0.231452547331702,1.00132622931096,4200
"143","Lactin 2","32",24,"cf.tmax",40.7900078643611,1.00116702504248,5200
"144","Lactin 2","32",24,"deviance",-3.80389433283832,1.00120637158208,4900
"145","Lactin 2","33",25,"cf.a",0.053274423177403,1.00061325562318,6000
"146","Lactin 2","33",25,"cf.b",-1.31948881545197,1.00063909980236,6000
"147","Lactin 2","33",25,"cf.delta_t",3.41455086837654,1.00074441880711,6000
"148","Lactin 2","33",25,"cf.sigma",0.226363917500719,1.00079699507741,6000
"149","Lactin 2","33",25,"cf.tmax",40.6824404968526,1.00077837290075,6000
"150","Lactin 2","33",25,"deviance",-4.88201398975394,1.00084232110523,6000
"151","Lactin 2","35",26,"cf.a",0.0535262796551587,1.00064151805395,6000
"152","Lactin 2","35",26,"cf.b",-1.2763147042953,1.00102475707514,6000
"153","Lactin 2","35",26,"cf.delta_t",2.27094342735137,1.00057143420327,6000
"154","Lactin 2","35",26,"cf.sigma",0.408887724734399,1.00183008930601,2600
"155","Lactin 2","35",26,"cf.tmax",40.3264947343443,1.00086326204689,6000
"156","Lactin 2","35",26,"deviance",23.5457753085366,1.00121058717644,4900
"157","Lactin 2","4",27,"cf.a",0.0534264595035547,1.00075701365006,6000
"158","Lactin 2","4",27,"cf.b",-1.6889988129972,1.00096726621359,6000
"159","Lactin 2","4",27,"cf.delta_t",2.72082353453022,1.00069864279078,6000
"160","Lactin 2","4",27,"cf.sigma",0.430280732703775,1.00161253609569,3100
"161","Lactin 2","4",27,"cf.tmax",40.7413126010603,1.00062028322838,6000
"162","Lactin 2","4",27,"deviance",25.9846407466781,1.00115361160656,5300
"163","Lactin 2","5",28,"cf.a",0.0522260262277631,1.000830848079,6000
