"","population","rep.ID","T.min","T.opt","T.max","T.µ.max","T.br","T.br.min","T.br.max","T.a","T.b","T.tmax","T.d.t","I.µ.max","I.comp","I.K.s","N.µ.max","N.comp","N.K.s","P.µ.max","P.comp","P.K.s","S.µ.max","S.c","S.b","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"1","25","25.B02",8.13613460800096,32.6212305184441,40.2146903539067,4.34983321289065,17.5223152601449,20.9298522477196,38.4521675078645,0.0707945144130867,-1.72629349428123,41.1937749729072,5.60440196121814,1.76977413957213,0.103614223020522,20.8644354509528,1.70380345663104,0.21075696409091,9.69049803921585,1.49071761161582,2.89271091719403,0.574104650933244,1.24413574285619,6.5488885150874,3.72157721897744,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,414.9233026,"anc2","BS"
"2","6","6.C02",4.79422446046498,35.0573108290145,40.1583288835643,4.30423888735437,15.7636165932987,23.421826420207,39.1854430135057,0.0524055836731266,-1.28350635577256,40.6113187438861,2.34915080937941,1.58254300251547,0.108876737454317,16.741859228635,1.50149014573643,0.248264411957768,6.78628097264876,1.57203178748434,1.90487445154535,0.948501098816962,1.04665223570319,3.70420071965949,4.12238076941617,289.25,62.5,1.3731,0.672,0.4053,-3.57645812263556,378.0189655,"cc1690","P"
"3","24","24.D02",5.42133721163202,33.9116442650492,40.4508673212973,4.01171063491851,17.1957010127685,21.8093371093336,39.0050381221021,0.0562423038100287,-1.35595685037903,41.1294737387871,3.60832826917987,1.92066555040731,0.0521091128573644,46.547612926503,1.67502600924141,0.0873211875201347,22.7254289456434,1.70086879958264,1.79181749536768,1.13431119423209,1.71211181941295,2.58207504746007,2.11405460133286,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,394.5330636,"anc4","C"
"4","1","1.E02",6.8400827695283,34.7665605656414,40.1887483230388,3.91037393157809,15.7456539278087,23.3365742685269,39.0822281963356,0.0521805045295136,-1.4282070741487,40.769924843167,2.62871804292846,1.61919894222376,0.0783909449241481,24.1143446357035,1.50837318723221,0.25759566439503,6.58800658331524,1.53293868740655,1.47797915996696,1.17352439362807,1.20956990893217,1.68031224721449,4.67791771571646,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,485.538277,"anc2","N"
"5","25","25.F02",6.33294333160738,33.7621960526308,40.100021001046,4.05979721652443,16.6905497761766,22.062744657029,38.7532944332056,0.0567346502264002,-1.42938921905995,40.7841256892634,3.53162895636057,1.49216002257903,0.191273316736804,8.64696839633636,1.55507568376515,0.31342930636565,5.67758766948726,1.51249909673786,2.30958097838402,0.735701432491274,1.24413574285619,6.5488885150874,3.72157721897744,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,414.9233026,"anc2","BS"
"6","11","11.G02",5.07027343839689,35.0586444253498,40.0682461743367,4.17068654708185,15.6209066991521,23.4839753193895,39.1048820185416,0.0517068474749145,-1.29607481000855,40.5099506905773,2.270055443113,1.41810769413888,0.154339948766357,9.84239193179252,1.60299528419159,0.193333830242613,9.68330467587326,1.49764455369569,2.0821094761341,0.802733744634469,1.1470731426628,3.10828673940117,4.48759964376866,276.805,46.585,10.7846,4.4457,0.9211,-0.825511920732416,444.3400363,"anc4","N"
"7","28","28.B02",7.59163401741752,33.6998451045219,40.268749409249,4.94937966417577,16.5124345633591,22.3173520893344,38.8297866526935,0.0645140489442907,-1.62652726872379,40.9584096119598,4.0138119305125,1.69776860318353,0.139600146989072,14.3941097446276,1.47788927272946,0.224839498317903,7.26131354623207,1.58872025306441,2.42524417744317,0.757109762442185,1.13376351456684,3.38583871892118,2.57820598044776,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,381.8761014,"anc5","P"
"8","21","21.C02",5.84023409108211,33.052183484873,40.2271725978222,4.76317903059359,17.5533745804523,21.0641505068237,38.617525087276,0.0665960337630591,-1.4617418875307,40.9426109316224,4.74712723599127,1.76182657212218,0.157590273012187,13.7012432559365,1.65950039091022,0.540462120555283,3.6203388133928,1.45437130038903,3.4344162523681,0.463879741112622,1.62086994627861,2.84186656063722,2.00106499117798,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,366.1876204,"anc4","B"
"9","18","18.D02",5.4730094117257,33.5258848656539,41.0442164393007,3.51487109015844,18.527773621872,20.8442123794027,39.3719860012747,0.0562067759768913,-1.35304280565526,41.9664695981775,4.70237023583984,1.8377311793654,0.0586999388192601,38.6425852357389,1.71252201700065,0.193996408980621,10.6845393557725,1.4681161277653,1.15746484695677,1.39261409081057,1.552667255796,6.54588094527288,0.266340524667667,511.14,94.185,11.7904,5.8381,1.1723,0.0111057760644169,452.8406242,"anc5","S"
"10","26","26.E02",7.76999426092544,33.031751172007,39.9291207768273,3.80556293945049,16.9319382107622,21.4630871193027,38.3950253300649,0.0597470363794685,-1.58231386457298,40.8162588492443,4.3005667446885,1.76334389655326,0.0543017893223172,39.4833171644592,1.62091065202458,0.18981034233421,9.9530081338165,1.57939690188506,0.987537081921492,1.84468542359641,1.2980085832589,3.30196634357672,1.50707410618673,427.29,79.705,11.148,4.8431,0.8231,-0.833273928370169,440.9316564,"anc3","L"
