"","Sp.id","Parameter","mean","Rhat","n.eff"
"1",1,"cf.a",0.0425526209952658,1.46544053011438,8
"2",1,"cf.b",-1.07183467945544,1.29970626730996,12
"3",1,"cf.delta_t",7.45614338459693,1.3765561291997,9
"4",1,"cf.sigma",0.0330345271479681,1.01927064324353,110
"5",1,"cf.tmax",35.445128253135,1.01832395690785,660
"6",1,"deviance",-73.2396861030309,1.04915765454008,46
"7",2,"cf.a",0.0350166363325594,1.00120482713833,2800
"8",2,"cf.b",-0.599206234237887,1.00099427901459,3000
"9",2,"cf.delta_t",14.5332182392552,1.00087767046192,3000
"10",2,"cf.sigma",0.171388017943197,1.00089382778875,3000
"11",2,"cf.tmax",29.9206061214695,1.00912931261559,3000
"12",2,"deviance",-6.38192512493773,1.00115054923592,3000
"13",3,"cf.a",0.0332555753586971,1.00098834640425,3000
"14",3,"cf.b",-0.583923699671339,1.00177024283731,1600
"15",3,"cf.delta_t",14.2919221797066,1.00486271791643,2400
"16",3,"cf.sigma",0.147593842098927,1.00054933384977,3000
"17",3,"cf.tmax",32.8564374366693,1.00315490479621,3000
"18",3,"deviance",-8.16583028163702,1.00104559109642,3000
"19",4,"cf.a",0.0379457575475807,1.00167043193314,2300
"20",4,"cf.b",-0.614082345923637,1.00167503967271,1700
"21",4,"cf.delta_t",12.8734228404228,1.00227399336356,1100
"22",4,"cf.sigma",0.301203999722914,1.00100420591333,3000
"23",4,"cf.tmax",30.8875706680789,1.00051996179061,3000
"24",4,"deviance",-1.07999601324836,1.00137285955096,3000
"25",5,"cf.a",0.0403346334907963,1.00077618652925,3000
"26",5,"cf.b",-0.813048314541705,1.00123901911814,2700
"27",5,"cf.delta_t",11.1385931330558,1.001499652726,3000
"28",5,"cf.sigma",0.178687165329705,1.00173801469082,1600
"29",5,"cf.tmax",35.9400362474157,1.01833562686331,3000
"30",5,"deviance",-7.50193387090867,1.00139882960819,2200
"31",6,"cf.a",0.0508144119505359,1.00108260315556,3000
"32",6,"cf.b",-1.2437694623032,1.0005462407526,3000
"33",6,"cf.delta_t",9.66820571398298,1.00076755916307,3000
