"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"69","Lactin 2","21",12,"cf.delta_t",3.81205184901362,1.00079422561122,6000
"70","Lactin 2","21",12,"cf.sigma",0.228762118927828,1.00070879898425,6000
"71","Lactin 2","21",12,"cf.tmax",40.5264855789075,1.0007745148768,6000
"72","Lactin 2","21",12,"deviance",-4.39611440737941,1.00076793164682,6000
"73","Lactin 2","22",13,"cf.a",0.0583798900758308,1.00192497341115,2500
"74","Lactin 2","22",13,"cf.b",-1.63730815386286,1.00120784228235,4900
"75","Lactin 2","22",13,"cf.delta_t",3.47786746952302,1.00168629585403,3000
"76","Lactin 2","22",13,"cf.sigma",0.296655233559621,1.00101169799755,6000
"77","Lactin 2","22",13,"cf.tmax",40.7593231673382,1.00107482536417,6000
"78","Lactin 2","22",13,"deviance",8.18659023678695,1.00114807815228,5400
"79","Lactin 2","23",14,"cf.a",0.0660557281789994,1.0006075603658,6000
"80","Lactin 2","23",14,"cf.b",-1.60103964413824,1.00058249602694,6000
"81","Lactin 2","23",14,"cf.delta_t",4.86952678981933,1.0006676989231,6000
"82","Lactin 2","23",14,"cf.sigma",0.319917694689794,1.00157755166689,3200
"83","Lactin 2","23",14,"cf.tmax",40.8515205297635,1.0006353629759,6000
"84","Lactin 2","23",14,"deviance",11.7692054299102,1.00126156982193,4600
"85","Lactin 2","24",15,"cf.a",0.0530295108745205,1.00113828316152,5500
"86","Lactin 2","24",15,"cf.b",-1.32305093879914,1.00070976536427,6000
"87","Lactin 2","24",15,"cf.delta_t",2.92555712313329,1.00136021597023,4100
"88","Lactin 2","24",15,"cf.sigma",0.28682109019522,1.00097069334296,6000
"89","Lactin 2","24",15,"cf.tmax",40.5813699352209,1.00127454492588,4500
"90","Lactin 2","24",15,"deviance",6.62655729279915,1.0016000438565,3200
"91","Lactin 2","25",16,"cf.a",0.0647941165424899,1.00097766022881,6000
"92","Lactin 2","25",16,"cf.b",-1.64792751659868,1.00105458117511,6000
"93","Lactin 2","25",16,"cf.delta_t",4.95997332418563,1.00106893989237,6000
"94","Lactin 2","25",16,"cf.sigma",0.24966162394532,1.00094013120263,6000
"95","Lactin 2","25",16,"cf.tmax",41.0106465666657,1.00174899236883,2800
"96","Lactin 2","25",16,"deviance",-0.14118862973828,1.00110691344417,5800
"97","Lactin 2","26",17,"cf.a",0.0570381589216872,1.00142464384841,3800
"98","Lactin 2","26",17,"cf.b",-1.44519838429524,1.00179627796646,2700
"99","Lactin 2","26",17,"cf.delta_t",3.81664605767296,1.00121670940332,4900
"100","Lactin 2","26",17,"cf.sigma",0.177614084351972,1.00098866797137,6000
"101","Lactin 2","26",17,"cf.tmax",40.829328536168,1.00102472499827,6000
"102","Lactin 2","26",17,"deviance",-16.5144176870201,1.00055425219371,6000
"103","Lactin 2","27",18,"cf.a",0.0537442390276359,1.0012178799409,4900
"104","Lactin 2","27",18,"cf.b",-1.32663384550125,1.00133768009319,4200
"105","Lactin 2","27",18,"cf.delta_t",4.90584419909636,1.00554616517556,2700
"106","Lactin 2","27",18,"cf.sigma",0.489509627387154,1.00099393753474,6000
"107","Lactin 2","27",18,"cf.tmax",41.1112037056195,1.00081396558932,6000
"108","Lactin 2","27",18,"deviance",32.2963664546834,1.001363294022,4100
"109","Lactin 2","28",19,"cf.a",0.0606104066386711,1.00109674793279,5900
"110","Lactin 2","28",19,"cf.b",-1.6176367417542,1.00066905645305,6000
"111","Lactin 2","28",19,"cf.delta_t",2.91296505450619,1.00264242063824,2100
"112","Lactin 2","28",19,"cf.sigma",0.479744443343931,1.00064301531554,6000
"113","Lactin 2","28",19,"cf.tmax",40.529186095297,1.00180675993815,2700
"114","Lactin 2","28",19,"deviance",31.297668875027,1.00112774930886,5600
"115","Lactin 2","29",20,"cf.a",0.0577855799349919,1.00059805631851,6000
"116","Lactin 2","29",20,"cf.b",-1.48403874559922,1.00112901036455,5600
"117","Lactin 2","29",20,"cf.delta_t",3.8785104123387,1.00069651425603,6000
"118","Lactin 2","29",20,"cf.sigma",0.289525902703622,1.00078133626632,6000
"119","Lactin 2","29",20,"cf.tmax",40.6433174021395,1.00095015805733,6000
"120","Lactin 2","29",20,"deviance",7.02132942396992,1.0010537834602,6000
"121","Lactin 2","3",21,"cf.a",0.0632787589805573,1.00125116844217,4700
"122","Lactin 2","3",21,"cf.b",-1.57301781481819,1.00109105743351,5900
"123","Lactin 2","3",21,"cf.delta_t",4.80962463891278,1.00112096779253,5600
"124","Lactin 2","3",21,"cf.sigma",0.379301661334634,1.0009105701749,6000
"125","Lactin 2","3",21,"cf.tmax",40.8149410471433,1.00089116110463,6000
"126","Lactin 2","3",21,"deviance",19.9174585156521,1.0007479566897,6000
"127","Lactin 2","30",22,"cf.a",0.0629619909467474,1.00073712321696,6000
"128","Lactin 2","30",22,"cf.b",-1.40291223764992,1.00078081454558,6000
"129","Lactin 2","30",22,"cf.delta_t",5.18281851904831,1.00076301167843,6000
"130","Lactin 2","30",22,"cf.sigma",0.241880528740191,1.00110033187986,5800
"131","Lactin 2","30",22,"cf.tmax",40.9077744453498,1.0013018012393,4400
"132","Lactin 2","30",22,"deviance",-1.69583980848984,1.00087822289772,6000
"133","Lactin 2","31",23,"cf.a",0.0606834293569114,1.00113939644,5500
"134","Lactin 2","31",23,"cf.b",-1.50864899932968,1.00152286890416,3400
"135","Lactin 2","31",23,"cf.delta_t",4.08687415832863,1.00067702895755,6000
"136","Lactin 2","31",23,"cf.sigma",0.443300988446342,1.00120122454997,5000
"137","Lactin 2","31",23,"cf.tmax",40.7386203622102,1.00133923813856,4200
"138","Lactin 2","31",23,"deviance",27.3587458944455,1.00089107037477,6000
"139","Lactin 2","32",24,"cf.a",0.0560797165498213,1.00082075189444,6000
"140","Lactin 2","32",24,"cf.b",-1.52560744415573,1.00100024829122,6000
"141","Lactin 2","32",24,"cf.delta_t",3.3791897702544,1.0007479696429,6000
"142","Lactin 2","32",24,"cf.sigma",0.229240089520453,1.00082417971363,6000
"143","Lactin 2","32",24,"cf.tmax",40.670237408212,1.00075663412176,6000
"144","Lactin 2","32",24,"deviance",-4.27734456505459,1.0008630473233,6000
"145","Lactin 2","33",25,"cf.a",0.0538338192289472,1.0007150046248,6000
"146","Lactin 2","33",25,"cf.b",-1.33125491849878,1.00072043611546,6000
"147","Lactin 2","33",25,"cf.delta_t",3.29540784121736,1.00085311486879,6000
"148","Lactin 2","33",25,"cf.sigma",0.167459715488318,1.00138238903218,4000
"149","Lactin 2","33",25,"cf.tmax",40.6427357552808,1.00068333608754,6000
"150","Lactin 2","33",25,"deviance",-19.4875183031983,1.00134845635628,4100
"151","Lactin 2","35",26,"cf.a",0.0531481271054652,1.00123166839821,4800
"152","Lactin 2","35",26,"cf.b",-1.2453342807241,1.00093578039703,6000
"153","Lactin 2","35",26,"cf.delta_t",2.11225289606786,1.00100942275211,6000
"154","Lactin 2","35",26,"cf.sigma",0.385541719638975,1.00113325384768,5500
"155","Lactin 2","35",26,"cf.tmax",40.2954273250558,1.00083387688277,6000
"156","Lactin 2","35",26,"deviance",20.7575737510471,1.00074340299138,6000
"157","Lactin 2","4",27,"cf.a",0.0525273624505399,1.00163097790843,3100
"158","Lactin 2","4",27,"cf.b",-1.63033813182956,1.00185727960934,2600
"159","Lactin 2","4",27,"cf.delta_t",2.47175759208758,1.00122087265943,4800
"160","Lactin 2","4",27,"cf.sigma",0.442651301282407,1.00141775054872,3800
"161","Lactin 2","4",27,"cf.tmax",40.6643192628653,1.00142243095357,3800
"162","Lactin 2","4",27,"deviance",27.2157516531689,1.00131319280558,4300
"163","Lactin 2","5",28,"cf.a",0.0531865025929482,1.00059245519162,6000
"164","Lactin 2","5",28,"cf.b",-1.45305988153687,1.0006299906468,6000
"165","Lactin 2","5",28,"cf.delta_t",2.80357363130539,1.00067465395491,6000
"166","Lactin 2","5",28,"cf.sigma",0.441429490748346,1.0014571025047,3700
"167","Lactin 2","5",28,"cf.tmax",40.5836926292019,1.00066738863465,6000
"168","Lactin 2","5",28,"deviance",27.3837927513111,1.00098953752452,6000
"169","Lactin 2","6",29,"cf.a",0.0538299324106434,1.00090161695929,6000
"170","Lactin 2","6",29,"cf.b",-1.55875313091664,1.00112088867361,5600
"171","Lactin 2","6",29,"cf.delta_t",2.30671782640044,1.00059866279742,6000
"172","Lactin 2","6",29,"cf.sigma",0.241978129708104,1.0008552597374,6000
"173","Lactin 2","6",29,"cf.tmax",40.4158585802436,1.00059474459563,6000
"174","Lactin 2","6",29,"deviance",-1.69128846422376,1.00068618739959,6000
"175","Lactin 2","7",30,"cf.a",0.0562043879315589,1.00077425714888,6000
"176","Lactin 2","7",30,"cf.b",-1.67707164306824,1.00105546891663,6000
"177","Lactin 2","7",30,"cf.delta_t",3.10415680751201,1.00080093820022,6000
