,Species,dataset,r.max,R,comp,Sp count,Sp.name
84,Actinastrum hantzschii ,"Narwani et al., 2015",1.796146,0.937413,1.066765663,1,Actinastrum hantzschii 
23,Acutodesmus obliquus,"Edwards et al., 2016",1.967490547,1.303286822,0.767290809,2,Acutodesmus obliquus
11,Anabaena cylindrica,"Edwards et al., 2016",0.602659244,0.961454066,1.04009129,3,Anabaena cylindrica
46,Ankistrodesmus falcatus,"Edwards et al., 2016",1.608112242,3.254069011,0.307307558,4,Ankistrodesmus falcatus
85,Ankistrodesmus falcatus,"Narwani et al., 2015",0.4703815,0.877619,1.139446616,4,Ankistrodesmus falcatus
86,Arthrodesmus convergens,"Narwani et al., 2015",0.255406,0.977597,1.022916396,5,Arthrodesmus convergens
10,Asterionella formosa,"Edwards et al., 2016",1.222029146,3.455015281,0.28943432,6,Asterionella formosa
67,Asterionella formosa,"Levasseur et al., 2025",0.761497591,2.256564985,0.44315143,6,Asterionella formosa
87,Botryococcus braunii,"Narwani et al., 2015",0.3061119,0.802917,1.245458746,7,Botryococcus braunii
88,Botryococcus sudeticus,"Narwani et al., 2015",0.7588419,0.784562,1.274596526,8,Botryococcus sudeticus
1,Ceratium furca,"Edwards et al., 2016",0.618343431,13.49837675,0.074082982,9,Ceratium furca
2,Ceratium fusus,"Edwards et al., 2016",0.718048659,14.05678478,0.071140024,10,Ceratium fusus
55,Chaetoceros calcitrans,"Edwards et al., 2016",2.013223047,2.580209585,0.387565415,11,Chaetoceros calcitrans
25,Chaetoceros deflandrei,"Edwards et al., 2016",0.677855382,9.895570346,0.101055317,12,Chaetoceros deflandrei
89,Chlamydocapsa ampla,"Narwani et al., 2015",1.3801,1.62668,0.614749059,13,Chlamydocapsa ampla
66,Chlamydomonas_reinhardtii,"Lewington-Pearce et al., 2019",1.080029354,1.755145199,0.569753432,14,Chlamydomonas reinhardtii
90,Chlorella sorokiniana,"Narwani et al., 2015",0.9982451,1.04369,0.958138911,15,Chlorella sorokiniana
68,Chlorella sp.,"Levasseur et al., 2025",1.189950762,0.600183449,1.666157242,16,NA
19,Chlorella vulgaris,"Edwards et al., 2016",1.244297763,2.080406393,0.480675316,17,Chlorella vulgaris
91,Chlorococcum aquaticum ,"Narwani et al., 2015",1.22698,0.999712,1.000288083,18,Chlorococcum aquaticum 
4,Chroococcus minutus,"Edwards et al., 2016",1.570487702,1.737796114,0.575441499,19,Chroococcus minutus
48,Closterium parvulum,"Edwards et al., 2016",0.401354871,5.533964485,0.18070228,20,Closterium parvulum
92,Coelastrum cambricum,"Narwani et al., 2015",0.651015,0.649421,1.539833174,21,Coelastrum cambricum
12,Coelastrum microporum,"Edwards et al., 2016",2.195779014,2.39987781,0.416687881,22,Coelastrum microporum
93,Coelastrum microporum,"Narwani et al., 2015",0.9071787,0.523071,1.911786354,22,Coelastrum microporum
7,Coelastrum microporum f. astroidea,"Edwards et al., 2016",1.646032533,5.321139465,0.187929673,23,Coelastrum microporum
94,Coelastrum reticulatum,"Narwani et al., 2015",1.169209,1.01025,0.989853997,24,Coelastrum reticulatum
69,Coelastrum sp.,"Levasseur et al., 2025",1.519725873,2.115453135,0.472711961,25,NA
26,Corethron criophilum,"Edwards et al., 2016",0.212420812,29.55819489,0.033831565,26,Corethron criophilum
