"","Sp.id","Parameter","mean","Rhat","n.eff"
"72","Scenedesmus quadricauda","r_pred_new[1349]",0.528620990410007,1.00139084730634,2200
"73","Chlorella vulgaris","K_s",6.80909132770493,1.00538908993274,2000
"74","Chlorella vulgaris","deviance",-10.4616187402501,1.00103678227076,3000
"75","Chlorella vulgaris","r_max",0.814453118662686,1.00189869677591,1400
"76","Chlorella vulgaris","r_pred_new[1441]",0.806772595350935,1.00187556365678,1500
"77","Staurastrum pingue","K_s",6.85163189900722,1.00097601497153,3000
"78","Staurastrum pingue","deviance",-15.5940254143367,1.00057448414304,3000
"79","Staurastrum pingue","r_max",0.379586904733603,1.00079525387642,3000
"80","Staurastrum pingue","r_pred_new[1391]",0.375853004739727,1.00080366760371,3000
"81","Synechocystis minima","K_s",5.12532569225327,1.00294666600402,2200
"82","Synechocystis minima","deviance",-13.1686893698282,1.00132974698885,2400
"83","Synechocystis minima","r_max",0.495645329256415,1.00080552313741,3000
"84","Synechocystis minima","r_pred_new[1441]",0.492085938578601,1.00079550192315,3000
"85","Acutodesmus obliquus","K_s",4.91944042546664,1.00142927161687,2200
"86","Acutodesmus obliquus","deviance",-5.74396779207,1.00078920041687,3000
"87","Acutodesmus obliquus","r_max",0.125825526575758,1.00069589574029,3000
"88","Acutodesmus obliquus","r_pred_new[1441]",0.124963873398347,1.00068639915816,3000
"89","Phaeodactylum tricornutum","K_s",7.10715474578894,1.00072871096467,3000
"90","Phaeodactylum tricornutum","deviance",1.36737883323996,1.00050757523353,3000
"91","Phaeodactylum tricornutum","r_max",1.15139868851219,1.00616535369526,1800
"92","Phaeodactylum tricornutum","r_pred_new[417]",1.11279197143916,1.00651922020108,1800
"93","Chaetoceros deflandrei","K_s",5.1274667820756,1.00112303896469,3000
"94","Chaetoceros deflandrei","deviance",-2826.85221380866,1.00310041367971,1800
"95","Chaetoceros deflandrei","r_max",5.95653242567185e-155,1.00145802222852,2100
"96","Chaetoceros deflandrei","r_pred_new[399]",5.81620404755718e-155,1.001465677922,2100
"97","Corethron criophilum","K_s",5.06571845475657,1.00409742045857,1500
"98","Corethron criophilum","deviance",-2116.77288340514,1.00159264768351,2700
"99","Corethron criophilum","r_max",3.57141255299708e-154,1.00296628213651,1100
"100","Corethron criophilum","r_pred_new[347]",3.47793728150111e-154,1.00297402361078,1100
"101","Nitzschia cylindrus","K_s",5.0420530373723,1.0009040821128,3000
"102","Nitzschia cylindrus","deviance",-2826.68670073691,1.00103034688166,3000
"103","Nitzschia cylindrus","r_max",6.27505662230842e-155,1.00118090330673,2900
"104","Nitzschia cylindrus","r_pred_new[399]",6.13337517884509e-155,1.00118274578071,2900
"105","Nitzschia kerguelensis","K_s",5.0471941363245,1.00717683936795,870
"106","Nitzschia kerguelensis","deviance",-2826.71564522267,1.00482687037358,1900
"107","Nitzschia kerguelensis","r_max",6.72784605468467e-155,1.00162246661249,1800
"108","Nitzschia kerguelensis","r_pred_new[399]",6.57763509044454e-155,1.00159654522926,1800
"109","Nitzschia turgiduloides","K_s",5.07411720257395,1.00052320348716,3000
"110","Nitzschia turgiduloides","deviance",-2826.7369137348,1.00080538932165,3000
"111","Nitzschia turgiduloides","r_max",6.31208498893789e-155,1.0007055360067,3000
"112","Nitzschia turgiduloides","r_pred_new[399]",6.17000463197829e-155,1.00070437688582,3000
"113","Stellarima microtrias","K_s",5.20225162908857,1.00095401076025,3000
"114","Stellarima microtrias","deviance",-2826.75547379583,1.00390728441074,1400
"115","Stellarima microtrias","r_max",6.39597818674181e-155,1.00055481991949,3000
"116","Stellarima microtrias","r_pred_new[399]",6.24622783499508e-155,1.00055758992075,3000
"117","Synedra sp.","K_s",5.04338379893251,1.00429694910522,3000
"118","Synedra sp.","deviance",-2826.73518810067,1.00093938845627,3000
"119","Synedra sp.","r_max",6.41179002174237e-155,1.00061068241161,3000
"120","Synedra sp.","r_pred_new[399]",6.26731472139111e-155,1.00060746439427,3000
"121","Synura sphagnicola","K_s",5.61175024443881,1.00150868775042,3000
"122","Synura sphagnicola","deviance",0.0217347481839917,1.00152900593368,3000
"123","Synura sphagnicola","r_max",0.356127267985726,1.00422791267069,3000
"124","Synura sphagnicola","r_pred_new[223]",0.338529248997947,1.00435754634661,3000
"125","Isochrysis galbana","K_s",7.12757763741546,1.0031650543504,3000
"126","Isochrysis galbana","deviance",-3.09019449650324,1.00104964221411,3000
"127","Isochrysis galbana","r_max",1.2370319998812,1.02001699229891,980
"128","Isochrysis galbana","r_pred_new[337]",1.18599076215492,1.0209003561802,990
"129","Rhodomonas salina","K_s",5.70560626750293,1.00124486403124,2700
"130","Rhodomonas salina","deviance",1.68814895643215,1.00079618098293,3000
"131","Rhodomonas salina","r_max",1.01380739292539,1.00752947007436,3000
"132","Rhodomonas salina","r_pred_new[337]",0.979668239216983,1.00790891169236,3000
"133","Dactyliosolen fragilissimus","K_s",2.20914864076457,1.00372231628875,2600
"134","Dactyliosolen fragilissimus","deviance",-15.2263042429981,1.00110765431265,3000
"135","Dactyliosolen fragilissimus","r_max",0.845212086203882,1.03432198198294,3000
"136","Dactyliosolen fragilissimus","r_pred_new[518]",0.838037704145906,1.03719081577246,3000
"137","Rhizosolenia fragilissima","K_s",2.18877062422302,1.00210318047475,1200
"138","Rhizosolenia fragilissima","deviance",-15.2318393692731,1.00294001280824,820
"139","Rhizosolenia fragilissima","r_max",0.842064183862431,1.01191816721135,1500
"140","Rhizosolenia fragilissima","r_pred_new[518]",0.83499467189274,1.01445195514025,1200
"141","Fragilaria barbararum","K_s",3.44266154402892,1.00169394114596,1700
"142","Fragilaria barbararum","deviance",-14.0886389661128,1.00088602910339,3000
"143","Fragilaria barbararum","r_max",1.14821169704174,1.0020901923099,1300
"144","Fragilaria barbararum","r_pred_new[41]",0.977555846579559,1.00266134837944,1300
"145","Fragilaria cf. striatula","K_s",2.97891399310118,1.00180524704294,1500
"146","Fragilaria cf. striatula","deviance",-10.0109279929825,1.00089506511207,3000
"147","Fragilaria cf. striatula","r_max",1.46063317394603,1.00254419676326,980
"148","Fragilaria cf. striatula","r_pred_new[41]",1.26786924161442,1.00221955439269,1200
"149","Eucampia zodiacus","K_s",7.9461602823128,1.00054945431145,3000
"150","Eucampia zodiacus","deviance",11.0114678838006,1.00096814199871,3000
"151","Eucampia zodiacus","r_max",1.26131541357453,1.0011012728456,3000
"152","Eucampia zodiacus","r_pred_new[701]",1.23313235881212,1.00110731236049,3000
"153","Coscinodiscus granii","K_s",8.0693756090505,1.00056067466964,3000
"154","Coscinodiscus granii","deviance",5.0086032174062,1.0023018648106,1200
"155","Coscinodiscus granii","r_max",1.00496813662252,1.00146769279442,3000
"156","Coscinodiscus granii","r_pred_new[701]",0.982189788049538,1.00153748003245,3000
"157","Coscinodiscus wailesii","K_s",7.60421581719076,1.00311539912944,3000
"158","Coscinodiscus wailesii","deviance",7.72081105145854,1.00057227420257,3000
"159","Coscinodiscus wailesii","r_max",0.863345647707108,1.00072315082286,3000
"160","Coscinodiscus wailesii","r_pred_new[701]",0.84479091234957,1.00070727882521,3000
"161","Cryptomonas sp. 1","K_s",7.56360288331184,1.00648807256971,1600
"162","Cryptomonas sp. 1","deviance",-28.0541593953162,1.00180929930654,3000
"163","Cryptomonas sp. 1","r_max",0.415304752802863,1.00101543849898,3000
"164","Cryptomonas sp. 1","r_pred_new[581]",0.404698997816807,1.00093232766679,3000
"165","Cryptomonas sp. 2","K_s",7.58587053762783,1.00345483196793,1500
"166","Cryptomonas sp. 2","deviance",-1.76037737058252,1.00170256025875,1700
