"","population","population.number","temperature","well.ID","r.exp"
"120","16",6,34,"E11_71",3.74242691479909
"121","17",7,10,"B08_6",0.529703281165974
"122","17",7,10,"C11_6",0.452243298110506
"123","17",7,10,"E07_6",0.417876582702253
"124","17",7,10,"F05_6",-0.216260475065296
"125","17",7,16,"B08_21",1.02108729598962
"126","17",7,16,"C11_21",-0.269414763670992
"127","17",7,16,"E07_21",0.995244895730583
"128","17",7,16,"F05_21",1.06649171112801
"129","17",7,22,"B08_36",2.31814227770778
"130","17",7,22,"C11_36",1.9272423516117
"131","17",7,22,"E07_36",2.15719257563722
"132","17",7,22,"F05_36",2.00386496878612
"133","17",7,28,"B08_51",3.23455537233777
"134","17",7,28,"C11_51",3.47028778258785
"135","17",7,28,"E07_51",3.49734842544253
"136","17",7,28,"F05_51",3.59539277916168
"137","17",7,34,"B08_66",6.58503873496484
"138","17",7,34,"C11_66",4.74773540520397
"139","17",7,34,"E07_66",5.20112232335175
"140","17",7,34,"F05_66",6.24788152297529
"141","18",8,10,"B11_6",-0.326089802703322
"142","18",8,10,"D02_6",0.46891164113403
"143","18",8,10,"E06_6",-0.107795719824824
"144","18",8,10,"E11_6",0.49606204812255
"145","18",8,16,"B11_21",0.961011280268552
"146","18",8,16,"D02_21",-0.269414763670991
"147","18",8,16,"E06_21",-0.255126640263496
"148","18",8,16,"E11_21",-0.406237553321884
"149","18",8,22,"B11_36",1.891681823634
"150","18",8,22,"D02_36",1.86471751255379
"151","18",8,22,"E06_36",1.81806977970264
"152","18",8,22,"E11_36",1.74226264195214
"153","18",8,28,"B11_51",3.1765755713615
"154","18",8,28,"D02_51",3.04959917936932
"155","18",8,28,"E06_51",3.0052524683929
"156","18",8,28,"E11_51",2.91577991482928
"157","18",8,34,"B11_66",3.54231240525053
"158","18",8,34,"D02_66",3.46557742533395
"159","18",8,34,"E06_66",3.34111292129565
"160","18",8,34,"E11_66",3.24233162305943
"161","19",9,10,"B03_1",-0.24501051198301
"162","19",9,10,"D04_1",-0.57304275241803
"163","19",9,10,"D10_1",-0.675760427884175
"164","19",9,10,"F03_1",0.395294509783526
"165","19",9,16,"B03_16",2.2754567457547
"166","19",9,16,"D04_16",-0.34650925868112
"167","19",9,16,"D10_16",-2.69278526098907
"168","19",9,16,"F03_16",-0.646525332961398
"169","19",9,22,"B03_31",2.04830310444298
"170","19",9,22,"D04_31",-0.241216798158518
"171","19",9,22,"D10_31",1.69139423638186
"172","19",9,22,"F03_31",1.73118755367499
"173","19",9,28,"B03_46",3.46776915389467
"174","19",9,28,"D04_46",2.94200452885072
"175","19",9,28,"D10_46",3.3664345865431
"176","19",9,28,"F03_46",2.95164746119724
"177","19",9,34,"B03_61",4.12600161915826
"178","19",9,34,"D04_61",3.62667509005248
"179","19",9,34,"D10_61",3.89800484025051
"180","19",9,34,"F03_61",3.44169915860393
"181","1",1,10,"B09_1",NA
"182","1",1,10,"C06_1",NA
"183","1",1,10,"E02_1",NA
"184","1",1,10,"F11_1",NA
"185","1",1,16,"B09_16",NA
"186","1",1,16,"C06_16",NA
"187","1",1,16,"E02_16",NA
"188","1",1,16,"F11_16",NA
"189","1",1,22,"B09_31",NA
"190","1",1,22,"C06_31",NA
"191","1",1,22,"E02_31",NA
"192","1",1,22,"F11_31",NA
"193","1",1,28,"B09_46",NA
"194","1",1,28,"C06_46",NA
"195","1",1,28,"E02_46",NA
"196","1",1,28,"F11_46",NA
"197","1",1,34,"B09_61",NA
"198","1",1,34,"C06_61",NA
"199","1",1,34,"E02_61",NA
"200","1",1,34,"F11_61",NA
"201","10",2,10,"C02_11",NA
"202","10",2,10,"D05_11",NA
"203","10",2,10,"D11_11",NA
"204","10",2,10,"F08_11",NA
"205","10",2,16,"C02_26",NA
"206","10",2,16,"D05_26",NA
"207","10",2,16,"D11_26",NA
"208","10",2,16,"F08_26",NA
"209","10",2,22,"C02_41",NA
"210","10",2,22,"D05_41",NA
"211","10",2,22,"D11_41",NA
"212","10",2,22,"F08_41",NA
"213","10",2,28,"C02_56",NA
"214","10",2,28,"D05_56",NA
"215","10",2,28,"D11_56",NA
"216","10",2,28,"F08_56",NA
"217","10",2,34,"C02_71",NA
"218","10",2,34,"D05_71",NA
"219","10",2,34,"D11_71",NA
"220","10",2,34,"F08_71",NA
"221","11",3,10,"B07_1",NA
"222","11",3,10,"C07_1",NA
"223","11",3,10,"D11_1",NA
"224","11",3,10,"G02_1",NA
"225","11",3,16,"B07_16",NA
"226","11",3,16,"C07_16",NA
"227","11",3,16,"D11_16",NA
"228","11",3,16,"G02_16",NA
"229","11",3,22,"B07_31",NA
"230","11",3,22,"C07_31",NA
"231","11",3,22,"D11_31",NA
"232","11",3,22,"G02_31",NA
"233","11",3,28,"B07_46",NA
"234","11",3,28,"C07_46",NA
"235","11",3,28,"D11_46",NA
"236","11",3,28,"G02_46",NA
"237","11",3,34,"B07_61",NA
"238","11",3,34,"C07_61",NA
"239","11",3,34,"D11_61",NA
"240","11",3,34,"G02_61",NA
"241","14",4,10,"B04_1",NA
"242","14",4,10,"D06_1",NA
"243","14",4,10,"D09_1",NA
"244","14",4,10,"F08_1",NA
"245","14",4,16,"B04_16",NA
"246","14",4,16,"D06_16",NA
"247","14",4,16,"D09_16",NA
"248","14",4,16,"F08_16",NA
"249","14",4,22,"B04_31",NA
"250","14",4,22,"D06_31",NA
"251","14",4,22,"D09_31",NA
"252","14",4,22,"F08_31",NA
"253","14",4,28,"B04_46",NA
"254","14",4,28,"D06_46",NA
"255","14",4,28,"D09_46",NA
"256","14",4,28,"F08_46",NA
"257","14",4,34,"B04_61",NA
"258","14",4,34,"D06_61",NA
"259","14",4,34,"D09_61",NA
"260","14",4,34,"F08_61",NA
"261","15",5,10,"B02_11",NA
"262","15",5,10,"C11_11",NA
"263","15",5,10,"E07_11",NA
"264","15",5,10,"F02_11",NA
"265","15",5,16,"B02_26",NA
"266","15",5,16,"C11_26",NA
"267","15",5,16,"E07_26",NA
"268","15",5,16,"F02_26",NA
"269","15",5,22,"B02_41",NA
"270","15",5,22,"C11_41",NA
"271","15",5,22,"E07_41",NA
"272","15",5,22,"F02_41",NA
"273","15",5,28,"B02_56",NA
"274","15",5,28,"C11_56",NA
"275","15",5,28,"E07_56",NA
"276","15",5,28,"F02_56",NA
"277","15",5,34,"B02_71",NA
"278","15",5,34,"C11_71",NA
"279","15",5,34,"E07_71",NA
"280","15",5,34,"F02_71",NA
"281","16",6,10,"B05_11",NA
"282","16",6,10,"C08_11",NA
"283","16",6,10,"E04_11",NA
"284","16",6,10,"E11_11",NA
"285","16",6,16,"B05_26",NA
"286","16",6,16,"C08_26",NA
"287","16",6,16,"E04_26",NA
"288","16",6,16,"E11_26",NA
"289","16",6,22,"B05_41",NA
"290","16",6,22,"C08_41",NA
"291","16",6,22,"E04_41",NA
"292","16",6,22,"E11_41",NA
"293","16",6,28,"B05_56",NA
"294","16",6,28,"C08_56",NA
"295","16",6,28,"E04_56",NA
"296","16",6,28,"E11_56",NA
"297","16",6,34,"B05_71",NA
"298","16",6,34,"C08_71",NA
"299","16",6,34,"E04_71",NA
"300","16",6,34,"E11_71",NA
"301","17",7,10,"B08_6",NA
"302","17",7,10,"C11_6",NA
"303","17",7,10,"E07_6",NA
"304","17",7,10,"F05_6",NA
"305","17",7,16,"B08_21",NA
"306","17",7,16,"C11_21",NA
"307","17",7,16,"E07_21",NA
"308","17",7,16,"F05_21",NA
"309","17",7,22,"B08_36",NA
"310","17",7,22,"C11_36",NA
"311","17",7,22,"E07_36",NA
"312","17",7,22,"F05_36",NA
"313","17",7,28,"B08_51",NA
"314","17",7,28,"C11_51",NA
"315","17",7,28,"E07_51",NA
"316","17",7,28,"F05_51",NA
"317","17",7,34,"B08_66",NA
"318","17",7,34,"C11_66",NA
"319","17",7,34,"E07_66",NA
"320","17",7,34,"F05_66",NA
"321","18",8,10,"B11_6",NA
"322","18",8,10,"D02_6",NA
"323","18",8,10,"E06_6",NA
"324","18",8,10,"E11_6",NA
"325","18",8,16,"B11_21",NA
"326","18",8,16,"D02_21",NA
"327","18",8,16,"E06_21",NA
"328","18",8,16,"E11_21",NA
