"","model","AICc"
"1","Deutsch",18.813025186392
"2","Lactin2",19.4509605152865
"3","Ratkowsky",22.6664739883398
"4","Ratkowsky bounded",22.633757711744
"5","Rezende",19.877755759802
"6","Ashrafi II",72.3961287613516
"7","Atkin",45.8754954354174
"8","Mitchell-Angilletta",62.2000322936414
"9","Analytis-Kontodimas",36.6050944925593
"10","Eubank",65.3167684383679
"11","Taylor-Sexton",32.0493601825067
"12","Briere",27.8615961456643
