"","Pop.fac","Pop.num","Model","DIC"
"1","Mean of all","Mean of all","Lactin 2",14.034703374644
"2","Mean of all","Mean of all","Thomas 1",26.7662842642366
"3","1","1","Lactin 2",4.44350938906335
"4","10","2","Lactin 2",-6.79402701009915
"5","11","3","Lactin 2",8.10241143631003
"6","14","4","Lactin 2",1.20863275157457
"7","15","5","Lactin 2",16.2584247206167
"8","16","6","Lactin 2",14.279706930063
"9","17","7","Lactin 2",37.5560106708604
"10","18","8","Lactin 2",-6.13032429945264
"11","19","9","Lactin 2",24.9178455754926
"12","2","10","Lactin 2",26.3908730750559
"13","20","11","Lactin 2",15.7664004218865
"14","21","12","Lactin 2",17.5912488016648
"15","22","13","Lactin 2",18.5127218220745
"16","23","14","Lactin 2",18.2203228043194
"17","24","15","Lactin 2",11.5178786174617
"18","25","16","Lactin 2",-5.95860138801552
"19","26","17","Lactin 2",-7.14548391108268
"20","27","18","Lactin 2",40.8730170862909
"21","28","19","Lactin 2",34.7358491604734
"22","29","20","Lactin 2",16.1376517628628
"23","3","21","Lactin 2",26.0779489645033
"24","30","22","Lactin 2",4.10950796150645
"25","31","23","Lactin 2",29.2904342248131
"26","32","24","Lactin 2",3.54093088122162
"27","33","25","Lactin 2",2.39386127742655
"28","35","26","Lactin 2",30.2309246322326
"29","4","27","Lactin 2",33.213035737989
"30","5","28","Lactin 2",31.7864385781167
"31","6","29","Lactin 2",15.2858666988364
"32","7","30","Lactin 2",5.91262713947989
"33","8","31","Lactin 2",-6.22963188622516
"34","9","32","Lactin 2",8.40593244600863
"35","anc2","33","Lactin 2",20.1074614803051
"36","anc3","34","Lactin 2",9.35260954106854
"37","anc4","35","Lactin 2",1.96893148351795
"38","anc5","36","Lactin 2",-7.06208509828065
"39","cc1629","37","Lactin 2",8.50347605746313
"40","cc1690","38","Lactin 2",35.9463896990702
"41","1","1","Thomas 1",12.5822438080574
"42","10","2","Thomas 1",16.8324588538649
"43","11","3","Thomas 1",24.7485475714304
"44","14","4","Thomas 1",18.8126812771096
"45","15","5","Thomas 1",28.8011273314983
"46","16","6","Thomas 1",25.5522568981403
"47","17","7","Thomas 1",52.8971099656679
"48","18","8","Thomas 1",17.1494835963956
"49","19","9","Thomas 1",39.0822845986399
"50","2","10","Thomas 1",32.2512675367218
"51","20","11","Thomas 1",26.673172791172
"52","21","12","Thomas 1",30.4157275315194
"53","22","13","Thomas 1",23.8371212404741
"54","23","14","Thomas 1",30.2418345445188
"55","24","15","Thomas 1",25.935867458608
"56","25","16","Thomas 1",5.69275035942398
"57","26","17","Thomas 1",15.2822205455234
"58","27","18","Thomas 1",45.1815755445742
"59","28","19","Thomas 1",47.3469744721969
"60","29","20","Thomas 1",26.9388395382624
"61","3","21","Thomas 1",32.9952430111425
"62","30","22","Thomas 1",21.6109881164525
"63","31","23","Thomas 1",38.138250210123
"64","32","24","Thomas 1",15.8042419844856
"65","33","25","Thomas 1",24.4187516638162
"66","35","26","Thomas 1",46.6274602073507
"67","4","27","Thomas 1",31.2630138025008
"68","5","28","Thomas 1",38.4934057145847
"69","6","29","Thomas 1",21.2787559543354
"70","7","30","Thomas 1",15.8457118405376
"71","8","31","Thomas 1",2.11035115619048
"72","9","32","Thomas 1",29.8340981081341
"73","anc2","33","Thomas 1",26.9461716699239
"74","anc3","34","Thomas 1",15.1993520444676
"75","anc4","35","Thomas 1",23.3824391437515
"76","anc5","36","Thomas 1",33.8178417673321
"77","cc1629","37","Thomas 1",9.1009416622561
"78","cc1690","38","Thomas 1",43.9962385198086
