"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"62","Lactin 2","20",11,"11.D08","cf.b",-1.29222429378914,1.00487604196489,800
"63","Lactin 2","20",11,"11.D08","cf.delta_t",5.58845617598795,1.00253526492435,1700
"64","Lactin 2","20",11,"11.D08","cf.sigma",0.456594358244908,1.0016657667231,3000
"65","Lactin 2","20",11,"11.D08","cf.tmax",40.9444019458655,1.10983909631722,2300
"66","Lactin 2","20",11,"11.D08","deviance",3.12799592962379,1.00195661250786,2400
"67","Lactin 2","20",11,"11.E09","cf.a",0.0682364176033718,1.02140469674762,280
"68","Lactin 2","20",11,"11.E09","cf.b",-1.15088225789084,1.01609958107194,290
"69","Lactin 2","20",11,"11.E09","cf.delta_t",4.43488953019232,1.01049640627341,360
"70","Lactin 2","20",11,"11.E09","cf.sigma",0.376770042958782,1.00162294928089,3300
"71","Lactin 2","20",11,"11.E09","cf.tmax",40.5076371525398,1.12753621140353,450
"72","Lactin 2","20",11,"11.E09","deviance",-1.25248313732795,1.00211243557572,3700
"73","Lactin 2","21",12,"12.C02","cf.a",0.0814994529630896,1.00145113387493,3700
"74","Lactin 2","21",12,"12.C02","cf.b",-1.35833247134125,1.00071684134119,6000
"75","Lactin 2","21",12,"12.C02","cf.delta_t",6.11451389749968,1.00162153620791,3100
"76","Lactin 2","21",12,"12.C02","cf.sigma",0.520152411908458,1.00110689378727,5800
"77","Lactin 2","21",12,"12.C02","cf.tmax",40.980282696545,1.160177664231,1700
"78","Lactin 2","21",12,"12.C02","deviance",5.31649892833929,1.001343216812,4100
"79","Lactin 2","21",12,"12.C09","cf.a",0.0789028243622629,1.0041268944637,6000
"80","Lactin 2","21",12,"12.C09","cf.b",-1.34403589660096,1.00169418339241,2900
"81","Lactin 2","21",12,"12.C09","cf.delta_t",5.66372613859238,1.00254583523363,2700
"82","Lactin 2","21",12,"12.C09","cf.sigma",0.514199225983016,1.00183227880237,2600
"83","Lactin 2","21",12,"12.C09","cf.tmax",40.9144215790466,1.12160494421557,840
"84","Lactin 2","21",12,"12.C09","deviance",5.16478157442379,1.0021973093802,3100
"85","Lactin 2","21",12,"12.E09","cf.a",0.08381754462359,1.00557414748413,850
"86","Lactin 2","21",12,"12.E09","cf.b",-1.34728345778235,1.00121829767602,4900
"87","Lactin 2","21",12,"12.E09","cf.delta_t",6.28164069862418,1.00331074115894,2400
"88","Lactin 2","21",12,"12.E09","cf.sigma",0.400607758238941,1.0015728629315,4000
"89","Lactin 2","21",12,"12.E09","cf.tmax",41.0564582358275,1.2500825095248,1200
"90","Lactin 2","21",12,"12.E09","deviance",1.96360842741515,1.00218821400799,4200
"91","Lactin 2","21",12,"12.F04","cf.a",0.079013584248524,1.00717342001504,680
"92","Lactin 2","21",12,"12.F04","cf.b",-1.37917856489628,1.00422206423373,1100
"93","Lactin 2","21",12,"12.F04","cf.delta_t",5.05098886560925,1.0026671319602,1600
"94","Lactin 2","21",12,"12.F04","cf.sigma",0.412207981021386,1.00077614874425,6000
"95","Lactin 2","21",12,"12.F04","cf.tmax",40.9520490801228,1.02931858068337,5600
"96","Lactin 2","21",12,"12.F04","deviance",1.92739920720865,1.00076913802049,6000
"97","Lactin 2","22",13,"13.B05","cf.a",0.067302741606864,1.00759179426239,740
"98","Lactin 2","22",13,"13.B05","cf.b",-1.2727061487239,1.00107452470437,6000
"99","Lactin 2","22",13,"13.B05","cf.delta_t",4.20937205622069,1.00537323368928,720
"100","Lactin 2","22",13,"13.B05","cf.sigma",0.626511425689491,1.00332465824156,1200
"101","Lactin 2","22",13,"13.B05","cf.tmax",40.531908397638,1.14194439703009,1500
"102","Lactin 2","22",13,"13.B05","deviance",6.75983312171099,1.0033539756436,1200
"103","Lactin 2","22",13,"13.D03","cf.a",0.0724536455304746,1.00326925037274,2200
"104","Lactin 2","22",13,"13.D03","cf.b",-1.24437840179561,1.00088387858761,6000
"105","Lactin 2","22",13,"13.D03","cf.delta_t",5.62043082491447,1.00108763247813,6000
"106","Lactin 2","22",13,"13.D03","cf.sigma",0.543402264737306,1.00160069966516,3200
