"","population","population.number","light.lvl","well.ID","r.exp"
"121","14",4,"1","B04_1",0.18746910195586
"122","14",4,"1","D06_1",0.423917339185401
"123","14",4,"1","D09_1",0.118900185556785
"124","14",4,"1","F08_1",0.109553298000529
"125","14",4,"2","B04_4",0.016738716858934
"126","14",4,"2","D06_4",0.335887006279575
"127","14",4,"2","D09_4",0.18675810467231
"128","14",4,"2","F08_4",0.245632599720647
"129","14",4,"3","B04_7",0.589477188867442
"130","14",4,"3","D06_7",0.420039806332503
"131","14",4,"3","D09_7",0.259707889680368
"132","14",4,"3","F08_7",0.259707890926758
"133","14",4,"4","B04_10",0.489445423870533
"134","14",4,"4","D06_10",0.739811396738168
"135","14",4,"4","D09_10",0.910153247377989
"136","14",4,"4","F08_10",0.122411550654639
"137","14",4,"5","B04_13",0.435967746079494
"138","14",4,"5","D06_13",1.13470492307949
"139","14",4,"5","D09_13",1.19941966656576
"140","14",4,"5","F08_13",1.09393251470435
"141","14",4,"6","B04_16",1.55987814852485
"142","14",4,"6","D06_16",1.48561135817795
"143","14",4,"6","D09_16",1.58425089751449
"144","14",4,"6","F08_16",1.51750830317706
"145","14",4,"7","B04_19",0.31424689724536
"146","14",4,"7","D06_19",0.75132069185868
"147","14",4,"7","D09_19",1.48441288970227
"148","14",4,"7","F08_19",0.405997800658276
"149","14",4,"8","B04_22",1.3574251850969
"150","14",4,"8","D06_22",1.01859202009374
"151","14",4,"8","D09_22",1.50289917900092
"152","14",4,"8","F08_22",1.09519943879733
"153","14",4,"9","B04_25",0.733431396362187
"154","14",4,"9","D06_25",0.960755139430844
"155","14",4,"9","D09_25",0.969615270225809
"156","14",4,"9","F08_25",1.13868384315346
"157","14",4,"10","B04_28",1.23390032379483
"158","14",4,"10","D06_28",1.20271229287867
"159","14",4,"10","D09_28",0.422165526156478
"160","14",4,"10","F08_28",0.542940793529697
"161","15",5,"1","B02_3",0.0958442202076633
"162","15",5,"1","C11_3",0.185422287605975
"163","15",5,"1","E07_3",0.184768213715856
"164","15",5,"1","F02_3",0.248826612453261
"165","15",5,"2","B02_6",0.0635023138152255
"166","15",5,"2","C11_6",0.130774377092414
"167","15",5,"2","E07_6",0.269565137702352
"168","15",5,"2","F02_6",0.219064217746032
"169","15",5,"3","B02_9",0.405539312894825
"170","15",5,"3","C11_9",0.313719544386501
"171","15",5,"3","E07_9",0.22108355673729
"172","15",5,"3","F02_9",0.279368127108812
"173","15",5,"4","B02_12",0.232774488928996
"174","15",5,"4","C11_12",0.713479454264635
"175","15",5,"4","E07_12",0.806375675489165
"176","15",5,"4","F02_12",0.646239353094339
"177","15",5,"5","B02_15",1.45968377120948
"178","15",5,"5","C11_15",0.831769183078789
"179","15",5,"5","E07_15",1.07517863594727
"180","15",5,"5","F02_15",0.739777504943502
"181","15",5,"6","B02_18",0.372372884466845
"182","15",5,"6","C11_18",0.870927704272375
"183","15",5,"6","E07_18",1.1545943434066
"184","15",5,"6","F02_18",0.588599622985175
"185","15",5,"7","B02_21",2.09725847313321
