"","Sp.id","Parameter","mean","Rhat","n.eff"
"1","Synechococcus","K_s",8.26659765690596,1.00106258225505,3000
"2","Synechococcus","deviance",2.65155992651625,1.00109451299386,3000
"3","Synechococcus","r_max",0.612173664467021,1.00127261328159,2600
"4","Synechococcus","r_pred_new[567]",0.578260625045229,1.0014330956848,2100
"5","Kirchneriella_subcapitata","K_s",8.29536735850804,1.00225059760162,1100
"6","Kirchneriella_subcapitata","deviance",-56.6948492218967,1.00219154318955,2100
"7","Kirchneriella_subcapitata","r_max",0.587988778985372,1.00134826846644,2400
"8","Kirchneriella_subcapitata","r_pred_new[567]",0.555371445209115,1.00117956431523,2900
"9","Microcystis_aeruginosa","K_s",6.11117111787125,1.00081110522664,3000
"10","Microcystis_aeruginosa","deviance",-53.5460794589448,1.00256552179441,3000
"11","Microcystis_aeruginosa","r_max",0.222429650694546,1.00240790097484,1000
"12","Microcystis_aeruginosa","r_pred_new[567]",0.213036729225189,1.00258958828997,960
"13","Pediastrum_boryanum","K_s",8.25638440408027,1.00342399286162,3000
"14","Pediastrum_boryanum","deviance",-35.7524825537889,1.0010205838271,3000
"15","Pediastrum_boryanum","r_max",0.445109325227884,1.00092778976689,3000
"16","Pediastrum_boryanum","r_pred_new[567]",0.420480703133599,1.00101654610742,3000
"17","Cyclotella_meneghiniana","K_s",7.06833601428076,1.00111805876356,3000
"18","Cyclotella_meneghiniana","deviance",33.2159651468675,1.00190021358734,1400
"19","Cyclotella_meneghiniana","r_max",0.517496555275918,1.0005516686176,3000
"20","Cyclotella_meneghiniana","r_pred_new[567]",0.492479053202696,1.00056204464736,3000
"21","Scenedesmus_acuminatus","K_s",9.35143233320311,1.00537190284727,1700
"22","Scenedesmus_acuminatus","deviance",-52.6650457938772,1.00117413124472,3000
"23","Scenedesmus_acuminatus","r_max",0.628493090701345,1.00116229403406,3000
"24","Scenedesmus_acuminatus","r_pred_new[567]",0.589549788699883,1.00105942035972,3000
"25","Chlamydomonas_reinhardtii","K_s",7.98191101726443,1.00321098263481,1300
"26","Chlamydomonas_reinhardtii","deviance",1.74543912418208,1.00056169014863,3000
"27","Chlamydomonas_reinhardtii","r_max",1.09711567595618,1.00290279501773,830
"28","Chlamydomonas_reinhardtii","r_pred_new[567]",1.03841504328335,1.00295131818619,820
