"","Sp.id","Sp.name","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Acutodesmus obliquus",15.8050160392553,36.2937111664425,31.6460413224639,1.62570703014961,10.6054717132077
"2",2,"Anabaena cylindrica",16.4046276728575,43.4974520521174,37.2363708636862,0.505815875798556,14.2152134784378
"3",3,"Ankistrodesmus falcatus",-3.18129046072069,36.4346357490069,26.3482902565393,0.560960154068351,22.2152607467042
"4",4,"Asterionella formosa",-12.0027604796668,27.938533650423,19.8141249072402,0.924992374372708,19.0151030960719
"5",5,"Ceratium furca",10.4011630695411,31.4503398096343,24.3792638179719,0.613821014901268,13.6621851442615
"6",6,"Ceratium fusus",9.67693182906551,30.9402752488642,25.7292439706336,0.508629745198151,12.795289397909
"7",7,"Chaetoceros calcitrans",10.7304190679583,30.9944523298413,24.4087785404747,1.36229370663619,12.9966189191135
"8",8,"Chaetoceros deflandrei",-40.0563834387976,16.0001401072349,13.9135791116763,0.575913978001211,24.6207010726876
"9",9,"Chlorella vulgaris",7.50941876532348,38.2699747634991,27.5033168826708,0.491128834889372,20.3163389465737
"10",10,"Chroococcus minutus",-10.9117656500796,38.5654250783101,29.1379195943047,1.36724600433599,22.3079927100707
"11",11,"Closterium parvulum",-1.71456957706088,30.0003030718777,23.9943068013593,0.332873081179099,18.0252838082651
"12",12,"Coelastrum microporum f. astroidea",6.53488755987965,41.5006538882955,33.3307033807416,1.6660808731941,18.4933838449108
"13",13,"Coelastrum microporum",13.5398148263252,41.2581872023081,33.1147353614586,1.47510135484221,17.2081487886036
"14",14,"Corethron criophilum",-27.9265637432219,7.8650486341975,-3.32926801596683,0.235215153734773,22.7239225129559
"15",15,"Coscinodiscus granii",-1e+09,43.9999995212103,36.5799614110716,3.554205451388,18.153399051743
"16",16,"Coscinodiscus wailesii",-1e+09,25.8493658574886,19.6378605843088,1.12533036589197,15.1991538947913
"17",17,"Cosmarium subprotumidum",14.4050970369745,41.375696650875,34.31249253953,1.02026482169553,16.2845553481401
"18",18,"Cryptomonas sp. 1",3.31117316601653,25.9506302221238,18.6399519666301,0.35613693426634,14.4503399724114
"19",19,"Cryptomonas sp. 2",-3.69042725897041,30.5545814060399,24.9827101198921,0.805144914353131,13.4224520037132
"20",20,"Cylindrotheca closterium",-4.96946167600887,35.2421018814497,26.0684012091389,0.524259626661931,20.9033598142343
"21",21,"Dactyliosolen fragilissimus",2.07210896927573,33.3036607329046,23.7496913218769,0.916609813712328,19.5388473202715
"22",22,"Diacronema lutheri",7.63297122708975,28.7394988264356,21.0234514549127,0.402606163371279,14.1502797145474
"23",23,"Dictyosphaerium pulchellum",14.3269199972609,36.3042414128964,30.0417088079625,1.49435479163413,13.5553942932861
"24",24,"Eucampia zodiacus",-1e+09,31.3795144061017,24.5689528137366,3.0180349246666,16.6754415173968
"25",25,"Fragilaria barbararum",-1e+09,18.8396319798499,13.3631891101294,1.03716129381105,13.41006175728
"26",26,"Fragilaria bidens",8.05161879029709,32.781498328209,24.2144899186116,0.601483666676659,16.2773105239217
"27",27,"Fragilaria cf. striatula",-13.2601202707404,17.9361120709779,13.2412595428529,1.3909027302686,11.3797227139198
"28",28,"Fragilaria crotonensis",-0.085619027803922,29.9241814366576,20.6950528677599,0.558966616297211,19.0721816866068
"29",29,"Fragilaria crotonensis",11.6630770074004,34.408432181722,25.2904864911364,0.0926179661633922,15.6323940282695
"30",30,"Isochrysis galbana",-1e+09,43.99999911522,37.1684015342098,4.936766626219,16.7134231874175
"31",31,"Leptocylindricus danicus",3.73927285388695,22.3856856170865,17.976345507833,2.23147703198762,9.94717944779375
"32",32,"Micractinium pusillum",14.0795655753297,39.8019802414907,30.9045554761495,0.264905567144178,16.8845157339767
"33",33,"Microcystis flos-aquae",5.37211094841091,42.8895669302564,36.5658493086579,1.72878087166463,18.962137441985
"34",34,"Microcystis ichthyoblabe",-0.925725656886208,42.2241345414508,34.1593986930674,1.09857227663591,22.9109965432616
"35",35,"Monoraphidium contortum",-9.16833731775778,30.1283935698955,18.2880398609659,0.587904932696674,24.501725739361
"36",36,"Monoraphidium minutum",15.6081769701784,43.253036163169,36.4009949636009,1.84513022939844,15.2287116855213
"37",37,"Nannochloropsis oceanica",7.47966434801929,35.5094023999424,27.1297785715154,1.53425679544088,17.303034284706
"38",39,"Nitzschia kerguelensis",-9.31797295788534,7.97409213753427,3.66807577920388,0.49205114901493,9.60570709463385
"39",40,"Nitzschia turgiduloides",-4.94350276498098,8.98807188800477,4.75525429697045,0.469192094806614,8.70778547647898
"40",41,"Ochromonas sp.",9.97660051103599,35.0852182115205,25.5831935935694,0.306482815790756,17.0163803417382
"41",42,"Oocystella mongolica",-17.878789027696,33.0996521762695,14.9927854871952,0.222303578465612,33.8890157258308
"42",43,"Pediastrum boryanum",14.2775243379072,43.638962256883,37.3431525162725,0.965845253519836,14.5653397888973
"43",44,"Phaeocystis pouchetii",-8.62818844161221,30.3079798743468,21.2740593418988,1.62582961526751,20.930076098601
"44",45,"Phaeodactylum tricornutum",-8.12068422774477,27.9961562150406,22.4899131268686,1.50484995246218,17.1508564730231
"45",46,"Planktothrix agardhii",3.9126579400427,33.91431371292,22.318196674599,0.169668701765565,20.4358161057458
"46",47,"Planktothrix agardhii",11.2675751042723,36.5783881521495,31.4517220981927,1.92948073932005,12.0008403770403
"47",48,"Pseudochattonella farcimen",1.0778150486654,20.0082372190842,14.2255805311193,0.616381627609524,11.9966679090946
"48",49,"Pseudodidymocystis planctonica",-7.38472436275111,29.9999840279187,25.5552015458431,0.478880849750469,19.1710215649961
"49",50,"Rhizosolenia fragilissima",-1e+09,29.8253450485215,21.7513153726465,0.895027450157118,19.7595937768635
"50",51,"Rhodomonas salina",-1e+09,44.0000232510552,33.1867653103917,1.79439716868958,26.4753634245334
"51",52,"Scenedesmus crassus",-1e+09,43.9999997056204,36.0813930406704,1.7465538326625,19.3725498624887
"52",53,"Scenedesmus quadricauda",14.1467428385408,36.1100749360732,30.9212071752689,1.60127450419963,11.7067285515093
"53",54,"Selenastrum minutum",6.42986664229055,42.8167427588618,33.4854989560823,1.48337884099522,20.5010319666573
"54",55,"Skeletonema costatum",-5.31082139026755,36.8393289346242,27.8709898099589,3.05856837573391,21.1697674354228
"55",56,"Staurastrum pingue",0.422814881613157,35.1069688714662,27.0372743566159,0.538955456425436,18.2874830480596
"56",57,"Stellarima microtrias",-52.4620702239514,9.94712111345267,0.557784061532117,0.584648268191249,23.9458113888391
"57",58,"Synechocystis minima",3.60798132561766,43.7759450468531,36.2672709698236,0.724725149093591,17.8112465664556
"58",59,"Synedra sp.",-12.7492199524991,8.00000307556206,5.30443319823118,0.391271583941525,10.7638889059569
"59",60,"Synura sphagnicola",2.12783928313978,23.29121627093,16.4592129879621,0.707166502725744,13.5597858218766
"60",61,"Tetraselmis sp.",1.88058173871656,35.3252784100378,23.9949014506908,0.484661738368502,21.8349806331019
"61",62,"Thalassiosira allenii",-1e+09,31.6459609220266,18.6966113462736,1.0768170004835,32.1010937142523
"62",63,"Thalassiosira curviseriata",-1e+09,30.9476876286197,23.0797389914438,1.40824271332765,19.2602293566061
