"","population","population.number","temperature","well.ID","r.exp"
"121","17",7,10,"B08_6",0.529703281129856
"122","17",7,10,"C11_6",0.430715772142832
"123","17",7,10,"E07_6",0.417876582761126
"124","17",7,10,"F05_6",0.235485159536152
"125","17",7,16,"B08_21",0.941221310768938
"126","17",7,16,"C11_21",1.0076581480284
"127","17",7,16,"E07_21",0.901212350384131
"128","17",7,16,"F05_21",0.959767032858056
"129","17",7,22,"B08_36",2.31814227784688
"130","17",7,22,"C11_36",1.92724235160253
"131","17",7,22,"E07_36",1.94105615820501
"132","17",7,22,"F05_36",2.00386496776999
"133","17",7,28,"B08_51",2.98268469954955
"134","17",7,28,"C11_51",3.17230143086832
"135","17",7,28,"E07_51",2.97214009341492
"136","17",7,28,"F05_51",3.00000504670655
"137","17",7,34,"B08_66",6.5850387347928
"138","17",7,34,"C11_66",4.52437863781538
"139","17",7,34,"E07_66",5.20112232346683
"140","17",7,34,"F05_66",6.24788152278397
"141","18",8,10,"B11_6",0.189304920873245
"142","18",8,10,"D02_6",0.468911641132031
"143","18",8,10,"E06_6",0.477191753610371
"144","18",8,10,"E11_6",0.496062048200711
"145","18",8,16,"B11_21",0.961011280333684
"146","18",8,16,"D02_21",0.983399798216387
"147","18",8,16,"E06_21",0.97295207331021
"148","18",8,16,"E11_21",1.02216676339476
"149","18",8,22,"B11_36",1.89168182392939
"150","18",8,22,"D02_36",1.86471751274292
"151","18",8,22,"E06_36",1.81806977943655
"152","18",8,22,"E11_36",1.74226264244744
"153","18",8,28,"B11_51",3.17657557250869
"154","18",8,28,"D02_51",2.86473335630159
"155","18",8,28,"E06_51",2.77585951948952
"156","18",8,28,"E11_51",2.91577991603852
"157","18",8,34,"B11_66",3.01097658330591
"158","18",8,34,"D02_66",3.46557742527131
"159","18",8,34,"E06_66",2.83376498104955
"160","18",8,34,"E11_66",2.61005679818589
"161","19",9,10,"B03_1",0.209074820392698
"162","19",9,10,"D04_1",0.147185464401049
"163","19",9,10,"D10_1",0.321211499063085
