,Pop.fac,Pop.num,unique.id,K.s,r.max,R.jag,R.mth
97,8,31,31.B05,4.410036366,1.869284581,1.525,1.886236499
98,8,31,31.D03,4.143297164,1.680916158,1.625,2.069955362
99,8,31,31.E10,2.388590052,1.410679338,1.125,1.572402631
100,8,31,31.F06,2.214941548,1.556647924,1.05,1.244539056
101,9,32,32.C03,1.928233528,1.482072271,1.125,1.171069568
102,9,32,32.D05,2.068782636,1.547969398,1,1.172625669
103,9,32,32.E08,1.700351655,1.475013734,0.95,1.04063676
104,9,32,32.G03,3.057549155,1.349819003,1.675,2.167873297
105,anc2,33,33.B06,1.00483862,1.425329778,0.55,0.650283443
106,anc2,33,33.C10,4.05110088,1.301094713,2.55,3.061169448
107,anc2,33,33.E05,1.581662396,1.513839104,0.825,0.928595754
108,anc2,33,33.F10,0.914111826,1.297056955,0.7,0.694522477
109,anc3,34,34.B07,3.928587962,1.439075811,2.175,2.502638829
110,anc3,34,34.C06,5.08147492,1.603762819,2.475,2.726314737
111,anc3,34,34.D07,1.301405856,1.066919377,1.1,1.437678874
112,anc3,34,34.F05,3.39123549,1.385140581,2.05,2.301537361
113,anc4,35,35.B11,1.535272352,1.335993299,1.05,1.107938069
114,anc4,35,35.D04,1.089188906,1.339530789,0.75,0.782452465
115,anc4,35,35.E02,1.894585032,1.454609741,1.125,1.185955808
116,anc4,35,35.F06,1.247001151,1.314543637,0.925,0.925487421
117,anc5,36,36.B08,2.884979846,1.496031404,1.375,1.725998409
118,anc5,36,36.C11,3.371285528,1.469862738,1.325,2.074950229
119,anc5,36,36.E07,2.995544306,1.607624863,1.425,1.601245704
120,anc5,36,36.F05,0.817170872,1.537782298,0.425,0.468013882
121,cc1690,37,37.B04,4.880314358,1.612319759,2.35,2.597096574
122,cc1690,37,37.C05,2.54684683,1.571428852,1.25,1.410118193
123,cc1690,37,37.E05,1.394530377,1.458609336,0.85,0.869050632
124,cc1690,37,37.F07,2.288149483,1.630958007,1.125,1.196464943
125,14,4,4.B04,2.101864064,1.45794655,1.025,1.310817304
126,14,4,4.D06,2.840007738,1.428937041,1.425,1.830287189
127,14,4,4.D09,2.030080213,1.519020945,1,1.18542241
128,14,4,4.F08,1.124785381,1.405381489,0.7,0.745083517
