,Species,dataset,r.max,T.br,Sp count
12,Fragilaria bidens,"Edwards et al., 2016",0.856752945,20.50311277,69
13,Fragilaria crotonensis,"Edwards et al., 2016",0.516122804,17.10604146,70
47,Fragilaria crotonensis,"Levasseur et al., 2025",0.724471063,27.77566175,70
112,Fragilariopsis cylindrus,"Thomas et al., 2012",0.505213588,11.4446339,71
113,Fragilariopsis kerguelensis,"Thomas et al., 2012",0.475784583,8.799572978,72
114,"Gephyrocapsa oceanica strain AB1, CAWPOT","Thomas et al., 2012",1.048248476,15.56337644,73
115,Gephyrocapsa oceanica var. typica strain A4725,"Thomas et al., 2012",1.236339317,14.08079753,74
116,Gephyrocapsa oceanica var. typica strain A4727,"Thomas et al., 2012",1.316764466,13.74738332,75
117,Gymnodinium aureolum,"Thomas et al., 2012",0.413161127,11.2612298,76
118,Gymnodinium catenatum,"Thomas et al., 2012",0.390125627,11.67362773,77
119,Gymnodinium catenatum strain GCCV-10,"Thomas et al., 2012",0.204821407,16.6161269,78
120,Gymnodinium corollarium clone GCTV-B4,"Thomas et al., 2012",0.307572555,10.42975142,79
121,Gymnodinium isolate 581 (probably G. simplex),"Thomas et al., 2012",0.77470241,11.337367,80
122,Gymnodinium isolate 582 (probably G. simplex),"Thomas et al., 2012",1.122138562,12.48623957,81
123,Helicotheca tamesis,"Thomas et al., 2012",0.900820483,15.06499646,82
124,Heterocapsa rotundata,"Thomas et al., 2012",1.268814033,21.67610995,83
125,Heterosigma akashiwo,"Thomas et al., 2012",0.982417003,14.64189225,84
126,"Isochrysis galbana clone T-ISO, NEPCC 601","Thomas et al., 2012",0.879918236,16.14768827,85
127,Isochrysis sp. strain PS11,"Thomas et al., 2012",0.446774488,20.03010949,86
128,Karenia brevis strain APA,"Thomas et al., 2012",0.200552768,13.5638949,87
129,Karenia brevis strain MAN,"Thomas et al., 2012",0.146330246,12.52555145,88
130,Karenia mikimotoi,"Thomas et al., 2012",0.645061537,12.61362398,89
131,Karlodinium veneficum strain KT76E,"Thomas et al., 2012",0.476950136,15.46612821,90
36,Kirchneriella_subcapitata,"Lewington-Pearce et al., 2019",0.681405211,17.28539179,91
132,Klebsormidium strain UMACC 227,"Thomas et al., 2012",0.207631531,24.29080216,92
48,Lagerheimia subsalsa,"Levasseur et al., 2025",1.31691149,15.25660621,93
133,Leonella granifera strain GeoB*38,"Thomas et al., 2012",0.188708943,13.99698209,94
134,Leonella granifera strain GeoB*39,"Thomas et al., 2012",0.411009643,10.53650422,95
135,Leptocylindrus danicus,"Thomas et al., 2012",1.380116958,12.81895297,96
136,Men. 5 (Diatom),"Thomas et al., 2012",1.660591795,17.70959896,97
49,Messastrum gracile,"Levasseur et al., 2025",1.63089956,16.65871154,98
8,Micractinium pusillum,"Edwards et al., 2016",0.604468753,20.09860289,99
37,Microcystis_aeruginosa,"Lewington-Pearce et al., 2019",0.400063288,14.21239388,100
50,Microcystis aeruginosa,"Levasseur et al., 2025",1.734295979,14.23441016,100
51,Microcystis viridis,"Levasseur et al., 2025",1.252639252,16.14126865,101
137,Micromonas pusilla,"Thomas et al., 2012",2.57032369,22.38402878,102
138,Micromonas sp. strain CCMP2099,"Thomas et al., 2012",0.519933078,14.83480195,103
4,Monoraphidium,"Bestion et al., 2018",1.989058655,15.35195452,104
28,Monoraphidium contortum,"Edwards et al., 2016",0.5883321,24.73420977,105
142,Nannochloris (possibly Stichococcus) sp.,"Thomas et al., 2012",2.997066085,18.99566178,106
25,Nannochloropsis oceanica,"Edwards et al., 2016",1.540563638,17.51080973,107
143,Neoceratium furca,"Thomas et al., 2012",0.560205365,14.00797137,108
144,Neoceratium furca,"Thomas et al., 2012",0.247612878,12.72022416,108
145,Neoceratium fusus,"Thomas et al., 2012",0.457884699,13.74807359,108
146,Neoceratium fusus,"Thomas et al., 2012",0.186832376,15.54845172,108
147,Neoceratium lineatum,"Thomas et al., 2012",0.252793362,13.20730537,109
139,N-fixing unicellular cyanobacterium strain A 2.5,"Thomas et al., 2012",1.288345071,4.598098379,110
140,N-fixing unicellular cyanobacterium strain P-3,"Thomas et al., 2012",1.12213378,4.718615786,111
141,N-fixing unicellular cyanobacterium strain P-7,"Thomas et al., 2012",0.363925645,4.317377449,112
