"","Sp.id","Sp.name","T.min","T.max","T.opt","r.max","T.br"
"1",1,"Ankistrodesmus",-1e+09,37.1589794860676,28.4541888496354,1.27475153645336,21.3003164033483
"2",2,"Chlamydomonas",-6.63983754645165,38.9441139121335,28.143961981937,1.81167016102648,24.4747494545055
"3",3,"Chlorella",11.2404820940416,39.131577489114,32.0357448906042,2.93108542738392,15.6329730244249
"4",4,"Monoraphidium",3.95628603742213,39.1360453987519,33.5751600376338,1.92306685936903,17.2594645746112
"5",5,"Scenedesmus",-1e+09,39.999998632985,30.948697108455,1.6570676822508,22.1497939355459
"6",6,"Raphidocelis",1.6157521154806,36.5483005771491,26.9636933275984,1.5797076501279,20.6201105416709
